DATE,TIME,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Depth,F_Depth,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,FDOMQSU,FDOMRFU,pH,F_pH,pHmV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,CHLOROPHYLLRFU,ChlFluor,F_ChlFluor
1/14/2025,11:15, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,49.695,<0> (CND),32.44,<0> (CND),2.717,<0> (CND),95.3,<0> (CND),8.33,<0> (CND),23.1,7.94,8.11,<0> (CND),-105.5,6.08,12.243,<0> (CND),4.2,<0> (CND),1.193,0.51,2.12,<0> (CND)
1/14/2025,11:30, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,49.614,0,32.38,0,2.662,0,95.5,0,8.36,0,23.49,8.08,8.11,0,-105.5,6.1,12.215,0,4.13,0,1.199,0.49,2.06,0
1/14/2025,11:45, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,49.525,0,32.32,0,2.604,0,95.8,0,8.39,0,24.05,8.27,8.11,0,-105.5,6.08,12.196,0,4.09,0,1.207,0.52,2.18,0
1/14/2025,12:00, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,49.499,0,32.3,0,2.543,0,96,0,8.41,0,24.1,8.29,8.11,0,-105.4,6.09,12.218,0,3.98,0,1.198,0.53,2.2,0
1/14/2025,12:15, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,49.548,0,32.34,0,2.482,0,96.6,0,8.45,0,23.63,8.13,8.1,0,-104.8,6.09,12.301,0,3.66,0,1.203,0.49,2.04,0
1/14/2025,12:30, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,49.519,0,32.32,0,2.423,0,96.8,0,8.45,0,23.87,8.21,8.1,0,-104.7,6.09,12.314,0,4.01,0,1.202,0.53,2.21,0
1/14/2025,12:45, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,49.581,0,32.37,0,2.367,0,97.3,0,8.49,0,23.28,8,8.09,0,-104.5,6.09,12.379,0,3.36,0,1.206,0.46,1.93,0
1/14/2025,13:00, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,49.583,0,32.37,0,2.312,0,97.3,0,8.49,0,23.27,8,8.09,0,-104.3,6.09,12.417,0,2.98,0,1.209,0.46,1.91,0
1/14/2025,13:15, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,49.714,0,32.47,0,2.256,0,97.7,0,8.48,0,22.53,7.75,8.09,0,-104.1,6.08,12.55,0,2.94,0,1.201,0.52,2.16,0
1/14/2025,13:30, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.161,0,32.81,0,2.2,0,100.1,0,8.61,0,19.04,6.54,8.1,0,-104.9,6.08,12.957,0,2.66,0,1.197,0.44,1.84,0
1/14/2025,13:45, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.239,0,32.88,0,2.149,0,101.3,0,8.68,0,18.49,6.35,8.09,0,-104.6,6.09,13.099,0,2.67,0,1.194,0.42,1.77,0
1/14/2025,14:00, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.318,0,32.94,0,2.097,0,102.1,0,8.72,0,17.78,6.11,8.09,0,-104.4,6.08,13.259,0,2.43,0,1.205,0.39,1.63,0
1/14/2025,14:15, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.039,0,32.73,0,2.048,0,100.4,0,8.63,0,19.88,6.83,8.08,0,-104,6.08,12.982,0,3.46,0,1.209,0.45,1.89,0
1/14/2025,14:30, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,49.957,0,32.67,0,1.996,0,100,0,8.61,0,20.35,7,8.07,0,-103.5,6.09,12.939,0,2.72,0,1.212,0.44,1.85,0
1/14/2025,14:45, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,49.996,0,32.69,0,1.948,0,99.9,0,8.6,0,20.37,7,8.07,0,-103.5,6.08,12.904,0,2.71,0,1.199,0.49,2.07,0
1/14/2025,15:00, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,49.991,0,32.69,0,1.9,0,100,0,8.61,0,20.36,7,8.07,0,-103.4,6.08,12.913,0,2.66,0,1.197,0.49,2.06,0
1/14/2025,15:15, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.099,0,32.78,0,1.854,0,101.5,0,8.69,0,19.39,6.66,8.07,0,-103.5,6.08,13.158,0,2.55,0,1.198,0.47,1.97,0
1/14/2025,15:30, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.121,0,32.8,0,1.807,0,102.4,0,8.74,0,19.09,6.56,8.08,0,-104,6.09,13.299,0,2.82,0,1.21,0.47,1.97,0
1/14/2025,15:45, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.165,0,32.84,0,1.762,0,104.3,0,8.83,0,18.79,6.46,8.08,0,-104.1,6.08,13.673,0,2.77,0,1.201,0.48,2,0
1/14/2025,16:00, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.229,0,32.89,0,1.721,0,104.4,0,8.84,0,18.42,6.33,8.11,0,-105.5,6.08,13.681,0,2.74,0,1.2,0.5,2.09,0
1/14/2025,16:15, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.315,0,32.95,0,1.692,0,104.8,0,8.87,0,17.74,6.09,8.1,0,-105.2,6.09,13.691,0,2.72,0,1.208,0.5,2.1,0
1/14/2025,16:30, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.366,0,32.99,0,1.672,0,105.9,0,8.94,0,17.08,5.87,8.11,0,-105.8,6.08,13.788,0,2.8,0,1.201,0.52,2.16,0
1/14/2025,16:45, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.446,0,33.06,0,1.682,0,106.6,0,8.98,0,16.48,5.66,8.12,0,-106.1,6.08,13.888,0,3.23,0,1.197,0.56,2.35,0
1/14/2025,17:00, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.644,0,33.21,0,1.706,0,107.8,0,9.01,0,14.67,5.04,8.13,0,-107.1,6.09,14.181,0,4.09,0,1.205,0.91,3.73,0
1/14/2025,17:15, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.723,0,33.27,0,1.737,0,107.1,0,8.96,0,13.89,4.77,8.15,0,-108,6.07,14.134,0,4.11,0,1.211,1.02,4.19,0
1/14/2025,17:30, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.767,0,33.3,0,1.774,0,106.2,0,8.9,0,13.53,4.64,8.15,0,-108.3,6.08,14.06,0,4.25,0,1.205,1.07,4.39,0
1/14/2025,17:45, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.809,0,33.33,0,1.832,0,105.3,0,8.82,0,13.01,4.46,8.16,0,-108.7,6.08,14.079,0,4.16,0,1.2,1.14,4.66,0
1/14/2025,18:00, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.824,0,33.34,0,1.895,0,105.1,0,8.81,0,13,4.46,8.16,0,-108.6,6.08,14.021,0,4.43,0,1.199,1.18,4.81,0
1/14/2025,18:15, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.822,0,33.34,0,1.971,0,105,0,8.81,0,13.05,4.47,8.15,0,-108.4,6.07,14.02,0,4.09,0,1.194,1.14,4.66,0
1/14/2025,18:30, ,gtmfmwq_15E101700_011425_050000.bin,Fort Matanzas,GTMNERR,0,50.813,0,33.33,0,2.032,0,104.8,0,8.79,0,13.09,4.49,8.15,0,-108.3,6.08,13.979,0,3.89,0,1.193,1.12,4.58,0
