DATE,TIME,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Depth,F_Depth,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,FDOMQSU,FDOMRFU,pH,F_pH,pHmV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,CHLOROPHYLLRFU,ChlFluor,F_ChlFluor
4/9/2025,7:45, ,gtmfmwq_15E101700_040925_050000.bin,Fort Matanzas,GTMNERR,0,53.749,<0> (CND),35.55,<0> (CND),2.504,<0> (CND),84.8,<0> (CND),5.98,<0> (CND),14.83,4.94,7.94,<0> (CND),-67.7,6.05,22.512,<0> (CND),13.94,<0> (CND),1.193,1.45,5.84,<0> (CND)
4/9/2025,8:00, ,gtmfmwq_15E101700_040925_050000.bin,Fort Matanzas,GTMNERR,0,53.627,0,35.46,0,2.467,0,84.1,0,5.93,0,16.2,5.41,7.92,0,-66.6,6.05,22.528,0,13.29,0,1.193,1.31,5.28,0
4/9/2025,8:15, ,gtmfmwq_15E101700_040925_050000.bin,Fort Matanzas,GTMNERR,0,53.529,0,35.39,0,2.421,0,83.7,0,5.89,0,17.47,5.84,7.9,0,-65.4,6.05,22.606,0,13.16,0,1.199,1.19,4.8,0
4/9/2025,8:30, ,gtmfmwq_15E101700_040925_050000.bin,Fort Matanzas,GTMNERR,0,53.486,0,35.36,0,2.39,0,83.3,0,5.87,0,18,6.02,7.89,0,-64.9,6.05,22.632,0,12.75,0,1.203,1.3,5.22,0
4/9/2025,8:45, ,gtmfmwq_15E101700_040925_050000.bin,Fort Matanzas,GTMNERR,0,53.481,0,35.35,0,2.34,0,83.5,0,5.88,0,18.32,6.12,7.89,0,-64.9,6.06,22.632,0,11.23,0,1.198,1.23,4.98,0
4/9/2025,9:00, ,gtmfmwq_15E101700_040925_050000.bin,Fort Matanzas,GTMNERR,0,53.503,0,35.37,0,2.287,0,83.6,0,5.89,0,17.89,5.98,7.89,0,-64.9,6.06,22.605,0,11.76,0,1.2,1.21,4.87,0
4/9/2025,9:15, ,gtmfmwq_15E101700_040925_050000.bin,Fort Matanzas,GTMNERR,0,53.471,0,35.35,0,2.238,0,83.4,0,5.87,0,18.31,6.12,7.89,0,-64.6,6.06,22.645,0,10.52,0,1.211,1.16,4.7,0
4/9/2025,9:30, ,gtmfmwq_15E101700_040925_050000.bin,Fort Matanzas,GTMNERR,0,53.479,0,35.35,0,2.188,0,83.5,0,5.88,0,18.26,6.1,7.89,0,-64.7,6.06,22.638,0,10.34,0,1.212,1.15,4.62,0
4/9/2025,9:45, ,gtmfmwq_15E101700_040925_050000.bin,Fort Matanzas,GTMNERR,0,53.503,0,35.37,0,2.141,0,83.3,0,5.87,0,18,6.02,7.89,0,-64.7,6.06,22.602,0,10.02,0,1.193,1.19,4.8,0
4/9/2025,10:00, ,gtmfmwq_15E101700_040925_050000.bin,Fort Matanzas,GTMNERR,0,53.619,0,35.46,0,2.097,0,82.6,0,5.83,0,16.46,5.5,7.91,0,-65.8,6.06,22.458,0,10.36,0,1.198,1.08,4.35,0
4/9/2025,10:15, ,gtmfmwq_15E101700_040925_050000.bin,Fort Matanzas,GTMNERR,0,53.824,0,35.61,0,2.055,0,85.1,0,5.99,0,15.11,5.04,7.93,0,-67.3,6.07,22.508,0,8.26,0,1.208,0.96,3.86,0
4/9/2025,10:30, ,gtmfmwq_15E101700_040925_050000.bin,Fort Matanzas,GTMNERR,0,53.914,0,35.68,0,2.014,0,88.7,0,6.23,0,13.59,4.52,7.95,0,-68.4,6.06,22.635,0,8.86,0,1.208,1,4.04,0
4/9/2025,10:45, ,gtmfmwq_15E101700_040925_050000.bin,Fort Matanzas,GTMNERR,0,54.001,0,35.74,0,1.972,0,89.7,0,6.29,0,12.61,4.19,7.96,0,-68.7,6.06,22.751,0,8.59,0,1.195,0.8,3.22,0
