DATE,TIME,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Depth,F_Depth,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,CHLOROPHYLLRFU,ChlFluor,F_ChlFluor
9/25/2025,13:00, ,gtmfmwq_24G103006_092525_091500.bin,Fort Matanzas,GTMNERR,0,48.793,<0> (CND),31.73,<0> (CND),2.545,<0> (CND),86.4,<0> (CND),5.54,<0> (CND),7.86,<0> (CND),-74.3,6.17,29.326,<0> (CND),7.99,<0> (CND),1.219,1.18,4.76,<0> (CND)
9/25/2025,13:15, ,gtmfmwq_24G103006_092525_091500.bin,Fort Matanzas,GTMNERR,0,48.715,0,31.68,0,2.498,0,86.3,0,5.53,0,7.85,0,-73.9,6.17,29.4,0,7.98,0,1.231,1.2,4.84,0
9/25/2025,13:30, ,gtmfmwq_24G103006_092525_091500.bin,Fort Matanzas,GTMNERR,0,48.625,0,31.61,0,2.443,0,86.8,0,5.56,0,7.84,0,-73.6,6.18,29.455,0,8.22,0,1.23,1.27,5.14,0
9/25/2025,13:45, ,gtmfmwq_24G103006_092525_091500.bin,Fort Matanzas,GTMNERR,0,48.592,0,31.58,0,2.388,0,87.7,0,5.62,0,7.85,0,-73.7,6.18,29.525,0,8.14,0,1.23,1.38,5.58,0
9/25/2025,14:00, ,gtmfmwq_24G103006_092525_091500.bin,Fort Matanzas,GTMNERR,0,48.57,0,31.56,0,2.334,0,88.4,0,5.65,0,7.85,0,-74,6.17,29.6,0,6.91,0,1.226,1.36,5.51,0
9/25/2025,14:15, ,gtmfmwq_24G103006_092525_091500.bin,Fort Matanzas,GTMNERR,0,48.587,0,31.58,0,2.292,0,87.9,0,5.62,0,7.85,0,-73.9,6.17,29.602,0,6.86,0,1.22,1.38,5.58,0
9/25/2025,14:30, ,gtmfmwq_24G103006_092525_091500.bin,Fort Matanzas,GTMNERR,0,48.583,0,31.57,0,2.249,0,84.3,0,5.39,0,7.84,0,-73.4,6.17,29.584,0,5.97,0,1.215,1.14,4.61,0
9/25/2025,14:45, ,gtmfmwq_24G103006_092525_091500.bin,Fort Matanzas,GTMNERR,0,48.682,0,31.64,0,2.2,0,86.8,0,5.54,0,7.87,0,-75.4,6.18,29.704,0,6.28,0,1.218,1.03,4.16,0
9/25/2025,15:00, ,gtmfmwq_24G103006_092525_091500.bin,Fort Matanzas,GTMNERR,0,48.661,0,31.63,0,2.165,0,84.9,0,5.42,0,7.86,0,-74.4,6.18,29.741,0,6.14,0,1.223,1.09,4.41,0
9/25/2025,15:15, ,gtmfmwq_24G103006_092525_091500.bin,Fort Matanzas,GTMNERR,0,48.627,0,31.6,0,2.131,0,82.7,0,5.28,0,7.86,0,-74.4,6.14,29.739,0,5.57,0,1.223,0.94,3.79,0
