Date,Time,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Depth,F_Depth,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,fDOMQSU,fDOMRFU,pH,F_pH,pHmV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,ChlorophyllRFU,ChlFluor,F_ChlFluor
10/23/2025,11:30, ,gtmfmwq_24G103006_102325_050000.bin,Fort Matanzas,GTMNERR,0,47.761,<0> (CND),31.11,<0> (CND),2.793,<0> (CND),87.3,<0> (CND),6.11,<0> (CND),57.07,18.88,7.83,<0> (CND),-73,6.06,24.363,<0> (CND),7.77,<0> (CND),1.215,1.45,5.6,<0> (CND)
10/23/2025,11:45, ,gtmfmwq_24G103006_102325_050000.bin,Fort Matanzas,GTMNERR,0,47.373,0,30.83,0,2.761,0,86.8,0,6.08,0,60.76,20.09,7.82,0,-72.2,6.03,24.356,0,8.4,0,1.221,1.45,5.62,0
10/23/2025,12:00, ,gtmfmwq_24G103006_102325_050000.bin,Fort Matanzas,GTMNERR,0,47.045,0,30.59,0,2.712,0,86.4,0,6.07,0,64.15,21.21,7.8,0,-71.3,6.06,24.341,0,8.5,0,1.224,1.55,6.01,0
10/23/2025,12:15, ,gtmfmwq_24G103006_102325_050000.bin,Fort Matanzas,GTMNERR,0,46.786,0,30.4,0,2.666,0,86.6,0,6.09,0,66.53,21.99,7.8,0,-70.8,6.06,24.359,0,8.87,0,1.224,1.64,6.35,0
10/23/2025,12:30, ,gtmfmwq_24G103006_102325_050000.bin,Fort Matanzas,GTMNERR,0,46.55,0,30.23,0,2.608,0,86.6,0,6.09,0,68.87,22.76,7.79,0,-70.3,6.07,24.376,0,8.68,0,1.22,1.56,6.05,0
10/23/2025,12:45, ,gtmfmwq_24G103006_102325_050000.bin,Fort Matanzas,GTMNERR,0,46.365,0,30.1,0,2.557,0,86.5,0,6.08,0,70.45,23.28,7.78,0,-70.1,6.06,24.399,0,8.71,0,1.232,1.6,6.17,0
10/23/2025,13:00, ,gtmfmwq_24G103006_102325_050000.bin,Fort Matanzas,GTMNERR,0,46.664,0,30.31,0,2.509,0,87.9,0,6.17,0,67.23,22.22,7.8,0,-71.1,6.06,24.478,0,8.55,0,1.23,1.82,7.04,0
10/23/2025,13:15, ,gtmfmwq_24G103006_102325_050000.bin,Fort Matanzas,GTMNERR,0,46.475,0,30.17,0,2.457,0,86.3,0,6.06,0,68.49,22.64,7.79,0,-70.5,6.06,24.487,0,7.68,0,1.221,1.55,6.01,0
10/23/2025,13:30, ,gtmfmwq_24G103006_102325_050000.bin,Fort Matanzas,GTMNERR,0,46.667,0,30.31,0,2.406,0,88.2,0,6.18,0,67.71,22.38,7.8,0,-71.1,6.02,24.523,0,8.06,0,1.216,1.72,6.66,0
10/23/2025,13:45, ,gtmfmwq_24G103006_102325_050000.bin,Fort Matanzas,GTMNERR,0,46.907,0,30.49,0,2.359,0,86.6,0,6.06,0,64.7,21.39,7.79,0,-70.8,6.03,24.599,0,6.86,0,1.224,1.62,6.26,0
