DATE,TIME,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Depth,F_Depth,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,FDOMQSU,FDOMRFU,pH,F_pH,PHMV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,CHLOROPHYLLRFU,ChlFluor,F_ChlFluor
12/10/2024,14:00, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,52.413,<0> (CND),34.59,<0> (CND),2.071,<0> (CND),102.8,<0> (CND),7.81,<0> (CND),13.02,4.25,8.12,<0> (CND),-73.7,5.87,18.69,<0> (CND),4.94,<0> (CND),1.223,1.49,6.02,<0> (CND)
12/10/2024,14:15, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,52.416,0,34.59,0,2.135,0,103.1,0,7.83,0,12.4,4.04,8.12,0,-74,5.86,18.737,0,5.7,0,1.226,1.93,7.82,0
12/10/2024,14:30, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,52.406,0,34.58,0,2.195,0,103.5,0,7.85,0,12.95,4.22,8.13,0,-74.4,5.87,18.774,0,8.07,0,1.222,1.72,6.96,0
12/10/2024,14:45, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,52.409,0,34.58,0,2.244,0,102.6,0,7.78,0,12.21,3.98,8.12,0,-73.9,5.85,18.782,0,6.24,0,1.223,2.95,11.88,0
12/10/2024,15:00, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,52.405,0,34.58,0,2.297,0,95.5,0,7.24,0,12.4,4.04,8.08,0,-71.8,5.86,18.793,0,4.33,0,1.219,0.89,3.64,0
12/10/2024,15:15, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,52.38,0,34.56,0,2.348,0,95.8,0,7.27,0,11.92,3.88,8.09,0,-72.3,5.86,18.763,0,3.2,0,1.218,1.24,5.03,0
12/10/2024,15:30, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,52.372,0,34.55,0,2.388,0,98.5,0,7.47,0,12.4,4.04,8.1,0,-73,5.85,18.754,0,3.1,0,1.218,1.41,5.72,0
12/10/2024,15:45, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,52.331,0,34.52,0,2.427,0,102.3,0,7.78,0,13.02,4.25,8.13,0,-74.5,5.85,18.656,0,5.84,0,1.218,1.8,7.27,0
12/10/2024,16:00, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,52.367,0,34.55,0,2.451,0,102.4,0,7.8,0,13.37,4.36,8.13,0,-74.3,5.86,18.606,0,4.63,0,1.225,3.22,12.96,0
12/10/2024,16:15, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,52.354,0,34.54,0,2.464,0,102.5,0,7.8,0,13.46,4.39,8.13,0,-74.4,5.86,18.611,0,5.39,0,1.223,2.83,11.42,0
12/10/2024,16:30, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,52.288,0,34.49,0,2.464,0,102.5,0,7.81,0,14.1,4.61,8.13,0,-74.3,5.86,18.604,0,5.34,0,1.215,2.69,10.84,0
12/10/2024,16:45, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,52.291,0,34.49,0,2.458,0,102.1,0,7.78,0,14.27,4.66,8.12,0,-74.1,5.85,18.562,0,6.55,0,1.217,2.36,9.51,0
12/10/2024,17:00, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,52.308,0,34.51,0,2.437,0,101.4,0,7.73,0,14.51,4.74,8.12,0,-73.9,5.86,18.484,0,6.23,0,1.222,2.41,9.75,0
12/10/2024,17:15, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,52.123,0,34.37,0,2.4,0,99.8,0,7.66,0,16.41,5.37,8.1,0,-72.7,5.85,18.197,0,5.66,0,1.233,1.76,7.13,0
12/10/2024,17:30, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.929,0,34.22,0,2.368,0,99,0,7.64,0,18.33,6.01,8.09,0,-72,5.86,17.982,0,5.07,0,1.231,1.18,4.81,0
12/10/2024,17:45, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.843,0,34.16,0,2.332,0,99.3,0,7.68,0,19.51,6.4,8.09,0,-71.8,5.86,17.877,0,4.78,0,1.221,1.13,4.62,0
12/10/2024,18:00, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.758,0,34.1,0,2.292,0,99.8,0,7.72,0,20.29,6.66,8.09,0,-71.8,5.85,17.837,0,4.54,0,1.221,0.94,3.83,0
12/10/2024,18:15, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.707,0,34.06,0,2.248,0,100.3,0,7.78,0,20.94,6.88,8.09,0,-71.9,5.85,17.782,0,4.13,0,1.224,0.85,3.47,0
12/10/2024,18:30, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.696,0,34.05,0,2.203,0,100.5,0,7.79,0,21.07,6.92,8.09,0,-71.9,5.86,17.781,0,3.93,0,1.219,1,4.08,0
12/10/2024,18:45, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.669,0,34.03,0,2.154,0,100.8,0,7.81,0,21.24,6.98,8.09,0,-72.1,5.85,17.792,0,4.01,0,1.229,0.8,3.28,0
12/10/2024,19:00, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.694,0,34.05,0,2.112,0,100.6,0,7.8,0,21.19,6.96,8.09,0,-72,5.85,17.81,0,4.15,0,1.231,0.96,3.91,0
12/10/2024,19:15, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.621,0,34,0,2.073,0,100.8,0,7.82,0,21.86,7.18,8.09,0,-71.9,5.85,17.756,0,3.67,0,1.229,0.86,3.53,0
12/10/2024,19:30, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.58,0,33.97,0,2.031,0,100,0,7.73,0,20.36,6.69,8.09,0,-72.1,5.86,17.984,0,3.24,0,1.222,0.92,3.77,0
12/10/2024,19:45, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,52.224,0,34.45,0,1.987,0,97.7,0,7.41,0,14.7,4.8,8.11,0,-73.4,5.84,18.812,0,4.28,0,1.223,1.09,4.46,0
12/10/2024,20:00, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,52.065,0,34.33,0,1.942,0,97.7,0,7.44,0,16.32,5.34,8.1,0,-73,5.85,18.615,0,4.02,0,1.224,1.38,5.59,0
12/10/2024,20:15, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.815,0,34.14,0,1.898,0,98,0,7.53,0,18.84,6.18,8.09,0,-72.1,5.85,18.247,0,3.18,0,1.219,0.87,3.56,0
12/10/2024,20:30, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.662,0,34.03,0,1.85,0,101.6,0,7.83,0,20.41,6.7,8.1,0,-72.6,5.85,18.089,0,2.41,0,1.225,0.73,3.02,0
12/10/2024,20:45, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.749,0,34.09,0,1.803,0,101.8,0,7.8,0,19.64,6.45,8.11,0,-73,5.85,18.346,0,3.02,0,1.227,1.06,4.3,0
12/10/2024,21:00, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.593,0,33.98,0,1.756,0,100.7,0,7.8,0,21.29,6.99,8.1,0,-72.3,5.85,17.865,0,2.87,0,1.229,0.83,3.39,0
12/10/2024,21:15, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.652,0,34.02,0,1.706,0,100.6,0,7.78,0,20.8,6.83,8.1,0,-72.3,5.85,17.935,0,3.12,0,1.229,1.04,4.25,0
12/10/2024,21:30, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.653,0,34.02,0,1.655,0,100.2,0,7.76,0,20.91,6.87,8.09,0,-72,5.84,17.855,0,3.13,0,1.227,0.94,3.85,0
12/10/2024,21:45, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.878,0,34.19,0,1.604,0,98.8,0,7.56,0,19.2,6.3,8.1,0,-72.4,5.85,18.469,0,3.34,0,1.224,0.91,3.7,0
12/10/2024,22:00, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.724,0,34.07,0,1.551,0,98.8,0,7.59,0,20.07,6.59,8.09,0,-72.1,5.85,18.2,0,3.39,0,1.223,0.86,3.53,0
12/10/2024,22:15, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.794,0,34.13,0,1.503,0,99,0,7.6,0,19.39,6.36,8.09,0,-72.3,5.85,18.296,0,3.76,0,1.233,0.88,3.6,0
12/10/2024,22:30, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.994,0,34.28,0,1.455,0,98,0,7.46,0,17.97,5.89,8.1,0,-72.4,5.85,18.654,0,4.27,0,1.23,0.95,3.89,0
12/10/2024,22:45, ,gtmfmwq_13E101372_121024_050000.bin,Fort Matanzas,GTMNERR,0,51.944,0,34.24,0,1.412,0,98.3,0,7.51,0,18.45,6.05,8.09,0,-72.3,5.86,18.523,0,4.31,0,1.224,0.91,3.7,0
