Deploy Date,Deploy Time,,Retrieve Date,Retrieve Time,,Sonde Model Number (Nickname),pH Model Number,rpDO Model Number,roxDO Model Number,Turb Model Number,Cond Model Number,Chloro Model Number,EXO Model Number,,,,
1/14/2025,11:15,,2/11/2025,17:00,,EXO2 (Egret),599702,,599100-01,599101-01,599827,599103-01,599090-01,,,,
2/11/2025,17:15,,3/4/2025,13:00,,EXO2 (Barbossa),599702,,599100-01,599101-01,599827,599103-01,599090-01,,,,
3/4/2025,13:15,,3/26/2025,7:45,,EXO2 (Egret),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
3/26/2025,8:00,03/26/2025 08:00,4/9/2025,7:30,04/09/2025 07:30,EXO2 (Barbossa),599702,,599100-01,599101-01,599827,599103-01,599090-01,,,,
4/9/2025,7:45,04/09/2025 07:45,5/2/2025,10:00,05/02/2025 10:00,EXO2 (Egret),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
5/2/2025,10:15,05/02/2025 10:15,5/13/2025,12:00,05/13/2025 12:00,EXO2 (Barbossa),599702,,599100-01,599101-01,599827,599103-01,599090-01,,,,
5/13/2025,12:15,05/13/2025 12:15,5/28/2025,10:30,05/28/2025 10:30,EXO2 (Egret),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
5/28/2025,10:45,05/28/2025 10:45,6/10/2025,9:15,06/10/2025 09:15,EXO2 (Barbossa),599702,,599100-01,599101-01,599827,599103-01,599090-01,,,,
6/10/2025,9:30,06/10/2025 09:30,6/26/2025,12:30,06/26/2025 12:30,EXO2 (Egret),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
6/26/2025,12:45,06/26/2025 12:45,7/9/2025,12:15,07/09/2025 12:15,EXO2 (Barbossa),599702,,599100-01,599101-01,599827,599103-01,599090-01,,,,
7/9/2025,12:30,07/09/2025 12:30,,,01/00/1900 00:00,EXO2 (Egret),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
,,,,,,,,,,,,,,,,,
Deploy Date,Sonde Nickname,,SpCond,RPDO1,,RPDO2,ROXDO1,ROXDO2,pH7,pH10,pH4,Turb,Turb,Depth,Level,CHL(0),CHL(118)
1/14/2025,Egret,,49.816(50.0),,,,99.8,99.6,7.33,,,0.35(0.0),-124,0.016(0.026),0,0.01,
2/11/2025,Barbossa,,50.231(50.0),,,,100.2,100.2,7.08,10.07,4.04,0.07(0.0),-124,-0.088(-0.056),0,-0.02,
3/4/2025,Egret,,49.981(50.0),,,,102.7,102.8,7.08,10.1,4,0.06(0.0),-124,0.234(0.151),0,0,
3/26/2025,Barbossa,,50.11(50.0),,,,100.3,100.3,7.1,10.09,4.06,0.05(0.0),-124,0.13(0.101),0,-0.02,
4/9/2025,Egret,,50.124(50.0),,,,100.5,100.7,7.13,10.16,4.02,0.42(0.0),-124,-0.055(0.038),0,0.1,
5/2/2025,Barbossa,,50.027(50.0),,,,99.2,99.3,7.08,10.04,4.07,0.04(0.0),-124,0.031(0.02),0,0.19,
5/13/2025,Egret,,50.158(50.0),,,,102.4,102.5,7.15,10.11,4.13,0.0(0.0),-124,0.095(0.057),0,0.05,
5/28/2025,Barbossa,,50.066(50.0),,,,98.7,98.2,7.06,10.03,4.03,0.13(0.0),-124,0.036(0.082),0,-0.2,
6/10/2025,Egret,,50.02(50.0),,,,103.1,103.1,7.17,10.15,4.15,0.24(0.0),-124,0.094(0.076),0,0.04,
6/26/2025,Barbossa,,49.988(50.0),,,,96.6,97,7.13,10.11,4.13,0.39(0.0),-124,0.027(0.069),0,0.12,
7/9/2025,Egret,,-50,,,,,,,,,0,-124,0,0,,
