Deploy Date,Deploy Time,Retrieve Date,Retrieve Time,Sonde Model Number (Nickname),pH Model Number,rpDO Model Number,roxDO Model Number,Turb Model Number,Cond Model Number,Chloro Model Number,EXO Model Number
01/07/2025,14:45,01/14/2025,13:15,EXO2 (Triton),599702,,599100-01,599101-01,599827,599103-01,599090-01
01/14/2025,13:30,01/28/2025,10:45,EXO2 (Pelican),577602,,599100-01,599101-01,599827,599103-01,599090-01
01/28/2025,11:00,02/11/2025,14:45,EXO2 (Triton),599702,,599100-01,599101-01,599827,599103-01,599090-01
02/11/2025,15:00,02/26/2025,11:00,EXO2 (Pelican),577602,,599100-01,599101-01,599827,599103-01,599090-01
02/26/2025,11:15,03/26/2025,10:15,EXO2 (Triton),599702,,599100-01,599101-01,599827,599103-01,599090-01
03/26/2025,10:30,03/28/2025,14:30,EXO2 (Pelican),577602,,599100-01,599101-01,599827,599103-01,599090-01
03/28/2025,14:45,04/09/2025,10:00,EXO2 (Triton),599701,,599100-01,599101-01,599827,599103-01,599090-01
04/09/2025,10:15,04/15/2025,13:15,EXO2 (Pelican),599702,,599100-01,599101-01,599827,599103-01,599090-01
04/15/2025,13:30,04/24/2025,09:30,EXO2 (Triton),599701,,599100-01,599101-01,599827,599103-01,599090-01
04/24/2025,09:45,05/15/2025,09:30,EXO2 (Pelican),599702,,599100-01,599101-01,599827,599103-01,599090-01
05/15/2025,09:45,05/28/2025,13:15,EXO2 (Triton),577602,,599100-01,599101-01,599827,599103-01,599090-01
05/28/2025,13:30,06/06/2025,11:30,EXO2 (Pelican),599702,,599100-01,599101-01,599827,599103-01,599090-01
06/06/2025,11:45,06/16/2025,13:00,EXO2 (Triton),577602,,599100-01,599101-01,599827,599103-01,599090-01
06/16/2025,13:15,06/24/2025,09:30,EXO2 (Oyster),599702,,599100-01,599101-01,599827,599103-01,599090-01
06/24/2025,09:45,06/27/2025,11:30,EXO2 (Triton),577602,,599100-01,599101-01,599827,599103-01,599090-01
06/27/2025,11:45,07/09/2025,11:30,EXO2 (Oyster),599702,,599100-01,599101-01,599827,599103-01,599090-01
07/09/2025,11:45,07/23/2025,09:30,EXO2 (Triton),577602,,599100-01,599101-01,599827,599103-01,599090-01
07/23/2025,09:45,08/06/2025,10:45,EXO2 (Oyster),599702,,599100-01,599101-01,599827,599103-01,599090-01
08/06/2025,11:00,08/20/2025,09:30,EXO2 (Davy Jones),577602,,599100-01,599101-01,599827,599103-01,599090-01
08/20/2025,09:45,09/08/2025,13:00,EXO2 (Sparrow),599702,,599100-01,599101-01,599827,599103-01,599090-01
09/08/2025,13:15,09/23/2025,09:30,EXO2 (Davy Jones),577602,,599100-01,599101-01,599827,599103-01,599090-01
09/23/2025,09:45,10/07/2025,12:30,EXO2 (Sparrow),599702,,599100-01,599101-01,599827,599103-01,599090-01
10/07/2025,12:45,10/21/2025,09:30,EXO2 (Davy Jones),577602,,599100-01,599101-01,599827,599103-01,599090-01
10/21/2025,09:45,11/05/2025,12:00,EXO2 (Sparrow),599702,,599100-01,599101-01,599827,599103-01,599090-01
11/05/2025,12:15,11/19/2025,10:30,EXO2 (Davy Jones),577602,,599100-01,599101-01,599827,599103-01,599090-01
11/19/2025,10:45,12/03/2025,10:45,EXO2 (Sparrow),599702,,599100-01,599101-01,599827,599103-01,599090-01
12/03/2025,11:15,,,EXO2 (Davy Jones),577602,,599100-01,599101-01,599827,599103-01,599090-01

Deploy Date,Sonde Nickname,SpCond,RPDO1,RPDO2,ROXDO1,ROXDO2,pH7,pH10,pH4,Turb,Turb,Depth,Level,CHL(0),CHL(118)
01/07/2025,Triton,49.884(50.0),,,101.1,101.1,7.1,10.12,4.08,0.0(0.0),(124.0),(0.156),-0.941(-0.913),-0.17,
01/14/2025,Pelican,49.998(50.0),,,101.3,101.4,7.05,10.06,4.02,-0.04(0.0),(124.0),(0.068),-1.013(-1.001),-0.01,
01/28/2025,Triton,49.911(50.0),,,99.6,99.4,7.1,10.11,4.06,-0.02(0.0),(124.0),(0.026),-1.065(-1.043),0.08,
02/11/2025,Pelican,50.06(50.0),,,100.5,100.5,7.1,10.25,3.81,0.06(0.0),(124.0),(0.077),-1.012(-0.992),-0.16,
02/26/2025,Triton,49.751(50.0),,,86.3,85.2,7.07,10.09,4.01,0.34(0.0),(124.0),(0.152),-0.846(-0.917),0.08,
03/26/2025,Pelican,49.989(50.0),,,100.2,100.0,7.11,10.05,4.04,-0.06(0.0),(124.0),(0.125),-1.045(-0.944),-0.05,
03/28/2025,Triton,50.183(50.0),,,101.5,101.7,7.09,10.15,4.0,0.01(0.0),(124.0),(0.099),-0.865(-0.97),-0.07,
04/09/2025,Pelican,50.18(50.0),,,,,7.06,10.05,4.04,0.03(0.0),(124.0),(0.068),-1.115(-1.001),0.01,
04/15/2025,Triton,50.063(50.0),,,101.0,101.0,7.11,10.09,4.07,0.03(0.0),(124.0),(0.097),-0.975(-0.972),0.03,
04/24/2025,Pelican,49.97(50.0),,,103.2,103.2,7.1,10.13,4.06,0.24(0.0),(124.0),(0.027),-1.021(-1.042),-0.09,
05/15/2025,Triton,50.135(50.0),,,102.5,102.5,7.08,10.11,4.0,0.09(0.0),(124.0),(0.053),-0.976(-1.016),0.04,
05/28/2025,Pelican,(50.0),,,,,,,,(0.0),(124.0),(0.049),(0.0),,
06/06/2025,Triton,(50.0),,,98.2,98.2,7.07,10.07,4.04,0.11(0.0),(124.0),(0.075),-1.024(-0.994),1.18,
06/16/2025,Oyster,49.966(50.0),,,102.2,102.3,7.04,10.0,4.03,0.14(0.0),(124.0),(0.092),-0.997(-0.977),-0.06,
06/24/2025,Triton,50.087(50.0),,,,,7.08,10.09,4.06,0.04(0.0),(124.0),(0.075),-0.98(-0.994),-0.07,
06/27/2025,Oyster,49.96(50.0),,,100.0,100.0,7.04,10.03,3.98,0.82(0.0),(124.0),(0.067),-1.01(-1.002),0.02,
07/09/2025,Triton,(50.0),,,102.1,102.2,7.13,10.14,4.08,0.13(0.0),(124.0),(0.092),-0.906(-0.977),0.1,
07/23/2025,Oyster,(50.0),,,,,7.42,,,(0.0),(124.0),(0.0),(0.0),,
08/06/2025,Davy Jones,50.106(50.0),,,100.4,100.4,7.14,10.16,4.09,-0.02(0.0),(124.0),(-0.01),-1.083(-1.079),0.04,
08/20/2025,Sparrow,50.165(50.0),,,108.1,108.2,7.1,10.13,4.08,0.25(0.0),(124.0),(0.045),-1.02(-1.024),-0.12,
09/08/2025,Davy Jones,49.994(50.0),,,101.9,101.8,7.13,10.09,4.12,0.03(0.0),(124.0),(0.037),-1.059(-1.032),-0.06,
09/23/2025,Sparrow,50.049(50.0),,,104.0,104.2,7.04,10.03,3.98,0.16(0.0),(124.0),(0.067),-0.947(-1.002),-0.11,
10/07/2025,Davy Jones,50.165(50.0),,,100.5,100.4,7.14,10.11,4.09,0.04(0.0),(124.0),(0.064),-1.043(-1.005),-0.07,
10/21/2025,Sparrow,49.945(50.0),,,102.2,102.1,7.09,10.04,4.04,0.12(0.0),(124.0),(0.06),-1.003(-1.009),0.02,
