DATE,TIME,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,Level,F_Level,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,FDOMQSU,FDOMRFU,pH,F_pH,pHmV,BATTERY,Turb,F_Turb,WIPERPOSITIONVOLT,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,CHLOROPHYLLRFU,ChlFluor,F_ChlFluor
6/6/2025,11:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.223,<0> (CND),60.9,<0> (CND),4.14,<0> (CND),68.15,22.63,7.4,<0> (CND),-37.4,6.06,12.21,<0> (CND),1.193,29.933,<0> (CND),31.7,<0> (CND),19.63,<0> (CND),3.32,13.38,<0> (CND)
6/6/2025,12:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.238,0,58.2,0,3.95,0,68,22.58,7.39,0,-37.1,6.06,11.61,0,1.185,29.955,0,31.964,0,19.81,0,3.42,13.78,0
6/6/2025,12:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.252,0,64.5,0,4.39,0,69.75,23.16,7.43,0,-39.2,6.07,11.02,0,1.194,29.982,0,30.943,0,19.12,0,3.6,14.5,0
6/6/2025,12:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.263,0,63.3,0,4.3,0,69.77,23.17,7.42,0,-38.9,6.07,10.63,0,1.183,29.987,0,31.152,0,19.26,0,3.75,15.12,0
6/6/2025,12:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.273,0,66.5,0,4.53,0,69.72,23.15,7.43,0,-39.6,6.08,10.23,0,1.201,30.043,0,30.275,0,18.66,0,3.81,15.33,0
6/6/2025,13:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.288,0,65.3,0,4.44,0,71.27,23.67,7.44,0,-40,6.08,10.39,0,1.189,30.047,0,31.239,0,19.32,0,4.24,17.1,0
6/6/2025,13:15, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.305,0,66.9,0,4.55,0,70.33,23.35,7.44,0,-40.2,6.08,9.96,0,1.192,30.098,0,30.653,0,18.92,0,4.06,16.35,0
6/6/2025,13:30, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.313,0,66.1,0,4.5,0,71.79,23.84,7.46,0,-41.1,6.08,10.18,0,1.198,30.072,0,30.413,0,18.75,0,4.07,16.4,0
6/6/2025,13:45, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.312,0,74.1,0,5.09,0,74.27,24.67,7.47,0,-41.8,6.09,9.77,0,1.198,30.146,0,27.896,0,17.05,0,4.53,18.25,0
6/6/2025,14:00, ,gtmpcwq_13K102679_060625_101500.bin,Pellicer Creek,GTMNERR,0,-0.314,0,76.8,0,5.29,0,75.07,24.94,7.46,0,-41.3,6.09,9.82,0,1.188,30.35,0,26.356,0,16.01,0,4.05,16.31,0
