DATE,TIME,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Level,F_Level,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,FDOMQSU,FDOMRFU,pH,F_pH,mVpH,BATTERY,Turb,F_Turb,Temp,F_Temp,WIPERPOSITIONVOLT,CHLOROPHYLLRFU,ChlFluor,F_ChlFluor
7/9/2025,11:45, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,28.393,<0> (CND),17.38,<0> (CND),-0.01,<0> (CND),35.8,<0> (CND),2.45,<0> (CND),70.34,23.53,7.33,<0> (CND),-32.6,5.98,9.5,<0> (CND),30.287,<0> (CND),1.189,2.5,10.3,<0> (CND)
7/9/2025,12:00, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,27.737,0,16.94,0,-0.026,0,32,0,2.19,0,71.61,23.95,7.32,0,-32,5.98,7.85,0,30.32,0,1.187,2.37,9.77,0
7/9/2025,12:15, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,27.314,0,16.66,0,-0.042,0,33.3,0,2.28,0,72.34,24.19,7.31,0,-31.4,5.98,7.07,0,30.347,0,1.2,2.52,10.38,0
7/9/2025,12:30, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,26.859,0,16.35,0,-0.055,0,34.2,0,2.35,0,73.06,24.44,7.32,0,-31.9,5.98,6.99,0,30.374,0,1.185,2.89,11.88,0
7/9/2025,12:45, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,25.71,0,15.58,0,-0.071,0,31.8,0,2.19,0,76.42,25.56,7.32,0,-31.8,5.98,6.29,0,30.41,0,1.197,2.5,10.3,0
7/9/2025,13:00, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,25.541,0,15.47,0,-0.088,0,34,0,2.34,0,74.11,24.79,7.31,0,-31.3,5.98,6.24,0,30.425,0,1.197,2.52,10.38,0
7/9/2025,13:15, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,26.129,0,15.86,0,-0.098,0,32.6,0,2.24,0,73.62,24.62,7.3,0,-31,5.97,6.46,0,30.438,0,1.193,2.36,9.7,0
7/9/2025,13:30, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,24.089,0,14.51,0,-0.11,0,31.3,0,2.17,0,77.33,25.86,7.29,0,-30.4,5.98,6.77,0,30.456,0,1.191,2.29,9.42,0
7/9/2025,13:45, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,24.666,0,14.89,0,-0.119,0,32.9,0,2.27,0,76.56,25.6,7.28,0,-29.7,5.98,6.1,0,30.464,0,1.196,2.15,8.87,0
7/9/2025,14:00, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,23.317,0,14,0,-0.135,0,31,0,2.15,0,76.85,25.7,7.28,0,-29.5,5.98,6.72,0,30.498,0,1.19,2.23,9.19,0
7/9/2025,14:15, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,22.275,0,13.32,0,-0.148,0,36.8,0,2.57,0,80.6,26.95,7.28,0,-29.7,5.98,6.38,0,30.486,0,1.198,2.49,10.23,0
7/9/2025,14:30, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,22.622,0,13.54,0,-0.159,0,34.8,0,2.42,0,79.48,26.58,7.26,0,-28.2,5.98,6.01,0,30.501,0,1.199,2.2,9.04,0
7/9/2025,14:45, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,22.841,0,13.69,0,-0.166,0,29.3,0,2.04,0,78.83,26.36,7.24,0,-26.9,5.98,6.49,0,30.519,0,1.198,2.13,8.76,0
7/9/2025,15:00, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,22.651,0,13.56,0,-0.181,0,32,0,2.22,0,78.9,26.38,7.25,0,-27.6,5.98,6.17,0,30.546,0,1.186,2.31,9.52,0
7/9/2025,15:15, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,22.121,0,13.21,0,-0.189,0,30.8,0,2.14,0,78.91,26.39,7.24,0,-27.1,5.98,7.56,0,30.543,0,1.188,2.14,8.81,0
7/9/2025,15:30, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,22.948,0,13.76,0,-0.209,0,25.7,0,1.79,0,78.28,26.18,7.23,0,-26.3,5.98,6.82,0,30.544,0,1.184,2.03,8.38,0
7/9/2025,15:45, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,24.131,0,14.53,0,-0.223,0,27.2,0,1.88,0,76.93,25.72,7.23,0,-26.7,5.98,6.36,0,30.58,0,1.193,1.93,7.95,0
7/9/2025,16:00, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,24.812,0,14.98,0,-0.223,0,26,0,1.79,0,75.1,25.12,7.25,0,-27.5,5.98,6.75,0,30.547,0,1.199,1.95,8.02,0
7/9/2025,16:15, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,23.525,0,14.13,0,-0.229,0,27,0,1.87,0,78.35,26.2,7.24,0,-27.2,5.98,5.73,0,30.624,0,1.197,1.86,7.65,0
7/9/2025,16:30, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,21.428,0,12.76,0,-0.233,0,30.5,0,2.13,0,81.4,27.22,7.22,0,-26,5.98,7.59,0,30.667,0,1.191,2.08,8.58,0
7/9/2025,16:45, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,19.268,0,11.36,0,-0.25,0,30.9,0,2.16,0,83.58,27.94,7.2,0,-25,5.98,7.41,0,30.827,0,1.201,1.97,8.11,0
7/9/2025,17:00, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,19.047,0,11.22,0,-0.253,0,31.3,0,2.2,0,83.45,27.9,7.21,0,-25,5.98,6.92,0,30.768,0,1.191,2,8.22,0
7/9/2025,17:15, ,gtmpcwq_13K102679_070925_050000.bin,Pellicer Creek,GTMNERR,0,16.423,0,9.55,0,-0.251,0,34.7,0,2.45,0,88.97,29.74,7.2,0,-24.4,5.98,7.72,0,30.851,0,1.196,2.16,8.91,0
