DATE,TIME,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Level,F_Level,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,FDOMQSU,FDOMRFU,pH,F_pH,pHmV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,CHLOROPHYLLRFU,ChlFluor,F_ChlFluor
8/6/2025,11:00, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,20.35,<0> (CND),12.07,<0> (CND),0.19,<0> (CND),42.4,<0> (CND),2.97,<0> (CND),109.47,36.57,6.96,<0> (CND),-11.9,6.12,30.489,<0> (CND),12.79,<0> (CND),1.19,2.68,10.8,<0> (CND)
8/6/2025,11:15, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,17.681,0,10.35,0,0.173,0,44.6,0,3.14,0,112.49,37.58,6.96,0,-11.6,6.13,30.729,0,10.76,0,1.194,2.67,10.76,0
8/6/2025,11:30, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,17.519,0,10.24,0,0.15,0,45,0,3.16,0,112.28,37.51,6.95,0,-11.2,6.12,30.89,0,11.01,0,1.196,2.65,10.66,0
8/6/2025,11:45, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,18.303,0,10.74,0,0.128,0,44.7,0,3.14,0,111.26,37.17,6.95,0,-11.1,6.13,30.894,0,12.96,0,1.19,2.69,10.83,0
8/6/2025,12:00, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,17.797,0,10.42,0,0.112,0,41.4,0,2.91,0,111.78,37.34,6.95,0,-11.3,6.12,30.815,0,10.43,0,1.185,2.58,10.4,0
8/6/2025,12:15, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,16.393,0,9.53,0,0.095,0,43.2,0,3.05,0,112.91,37.72,6.94,0,-10.9,6.12,30.955,0,10.5,0,1.195,2.65,10.68,0
8/6/2025,12:30, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,16.809,0,9.79,0,0.074,0,43.8,0,3.08,0,112.54,37.59,6.94,0,-10.7,6.13,31.049,0,11.1,0,1.195,2.58,10.39,0
8/6/2025,12:45, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,15.63,0,9.04,0,0.053,0,45,0,3.17,0,113.17,37.8,6.94,0,-10.3,6.12,31.249,0,10.34,0,1.197,2.6,10.46,0
8/6/2025,13:00, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,17.58,0,10.28,0,0.035,0,41.3,0,2.9,0,111.78,37.34,6.93,0,-10,6.12,31.001,0,11.76,0,1.197,2.53,10.17,0
8/6/2025,13:15, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,14.533,0,8.36,0,0.02,0,43.4,0,3.07,0,113.59,37.94,6.93,0,-9.8,6.12,31.194,0,10.17,0,1.195,2.56,10.31,0
8/6/2025,13:30, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,15.151,0,8.75,0,-0.001,0,41.2,0,2.92,0,113.39,37.87,6.92,0,-9.3,6.12,31.05,0,10.35,0,1.196,2.55,10.27,0
8/6/2025,13:45, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,15.937,0,9.24,0,-0.022,0,41.8,0,2.95,0,113.03,37.76,6.92,0,-9.2,6.12,31.097,0,11.61,0,1.199,2.54,10.23,0
8/6/2025,14:00, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,13.784,0,7.89,0,-0.035,0,41.4,0,2.93,0,113.96,38.07,6.91,0,-8.7,6.12,31.21,0,9.85,0,1.198,2.48,10.01,0
8/6/2025,14:15, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,14.833,0,8.55,0,-0.046,0,35.9,0,2.55,0,112.47,37.57,6.91,0,-8.7,6.12,31.025,0,11.6,0,1.197,2.42,9.76,0
8/6/2025,14:30, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,14.016,0,8.04,0,-0.061,0,39.3,0,2.79,0,113.68,37.97,6.91,0,-8.6,6.11,31.174,0,10.24,0,1.193,2.49,10.02,0
8/6/2025,14:45, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,13.352,0,7.62,0,-0.077,0,39.4,0,2.8,0,114.47,38.24,6.9,0,-8.4,6.12,31.231,0,9.05,0,1.187,2.46,9.91,0
8/6/2025,15:00, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,14.382,0,8.27,0,-0.085,0,36.8,0,2.61,0,112.76,37.67,6.9,0,-8.1,6.12,31.051,0,9.23,0,1.185,2.36,9.51,0
8/6/2025,15:15, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,14.142,0,8.12,0,-0.087,0,33.2,0,2.36,0,112.19,37.48,6.9,0,-8,6.11,31.099,0,8.69,0,1.191,2.28,9.18,0
8/6/2025,15:30, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,13.42,0,7.67,0,-0.09,0,33.8,0,2.4,0,112.21,37.48,6.89,0,-7.9,6.12,31.188,0,8.6,0,1.198,2.29,9.24,0
8/6/2025,15:45, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,12.936,0,7.37,0,-0.086,0,33.9,0,2.41,0,112.23,37.49,6.89,0,-7.5,6.11,31.241,0,8.37,0,1.19,2.36,9.51,0
8/6/2025,16:00, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,12.004,0,6.79,0,-0.073,0,38.6,0,2.75,0,115.37,38.53,6.89,0,-7.6,6.11,31.324,0,8.27,0,1.189,2.48,10,0
8/6/2025,16:15, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,10.58,0,5.93,0,-0.051,0,41.5,0,2.96,0,115.26,38.5,6.89,0,-7.5,6.11,31.534,0,7.5,0,1.187,2.43,9.78,0
8/6/2025,16:30, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,9.971,0,5.55,0,-0.028,0,46.2,0,3.26,0,114.02,38.09,6.9,0,-8.2,6.1,32.276,0,7.83,0,1.186,2.48,9.98,0
8/6/2025,16:45, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,10.464,0,5.84,0,-0.01,0,57.4,0,3.99,0,112.38,37.54,6.95,0,-11.2,6.11,33.021,0,8.49,0,1.185,2.76,11.11,0
8/6/2025,17:00, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,11.302,0,6.35,0,0.019,0,59.5,0,4.13,0,111.89,37.38,6.96,0,-11.8,6.1,33.055,0,9.02,0,1.199,3.3,13.3,0
8/6/2025,17:15, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,13.019,0,7.39,0,0.046,0,63.3,0,4.34,0,110.46,36.9,7.01,0,-15,6.1,33.513,0,9.37,0,1.193,3.06,12.35,0
8/6/2025,17:30, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,13.073,0,7.43,0,0.077,0,64.5,0,4.43,0,110.87,37.04,7.02,0,-15.2,6.11,33.235,0,9.67,0,1.19,3.18,12.82,0
8/6/2025,17:45, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,13.762,0,7.86,0,0.103,0,63.6,0,4.38,0,110.75,37,7.03,0,-15.8,6.1,33.055,0,9.71,0,1.185,3.22,13,0
8/6/2025,18:00, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,14.656,0,8.41,0,0.135,0,63.7,0,4.37,0,108.4,36.21,7.04,0,-16.6,6.11,33.03,0,11.48,0,1.191,3.38,13.64,0
8/6/2025,18:15, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,16.272,0,9.42,0,0.173,0,62.1,0,4.24,0,109.14,36.46,7.05,0,-17,6.1,32.955,0,11.74,0,1.192,3.14,12.66,0
8/6/2025,18:30, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,16.723,0,9.71,0,0.217,0,63.7,0,4.34,0,108.7,36.31,7.07,0,-18.5,6.1,32.953,0,12.15,0,1.183,3.32,13.37,0
8/6/2025,18:45, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,18.116,0,10.59,0,0.256,0,66.4,0,4.51,0,106.42,35.55,7.1,0,-20.6,6.1,33.001,0,14.74,0,1.19,3.43,13.83,0
8/6/2025,19:00, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,18.99,0,11.15,0,0.293,0,67.4,0,4.56,0,104.98,35.07,7.12,0,-21.6,6.1,32.938,0,15.85,0,1.187,3.47,14.01,0
8/6/2025,19:15, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,19.693,0,11.6,0,0.33,0,68.1,0,4.61,0,104.81,35.02,7.15,0,-23.3,6.1,32.861,0,15.01,0,1.184,3.48,14.04,0
8/6/2025,19:30, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,21.088,0,12.5,0,0.359,0,67,0,4.52,0,102.63,34.29,7.17,0,-24.9,6.09,32.772,0,18.12,0,1.193,3.5,14.1,0
8/6/2025,19:45, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,22.361,0,13.33,0,0.383,0,69.7,0,4.68,0,100.24,33.49,7.21,0,-27.3,6.09,32.799,0,19.06,0,1.203,3.51,14.17,0
8/6/2025,20:00, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,23.197,0,13.88,0,0.404,0,71.4,0,4.78,0,99.86,33.37,7.25,0,-29.2,6.1,32.761,0,17.61,0,1.202,3.47,13.98,0
8/6/2025,20:15, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,23.971,0,14.39,0,0.421,0,73.6,0,4.92,0,98.53,32.92,7.28,0,-31.3,6.09,32.658,0,18.75,0,1.186,3.42,13.78,0
8/6/2025,20:30, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,25.964,0,15.7,0,0.434,0,75.1,0,4.98,0,88.98,29.74,7.33,0,-34.5,6.1,32.749,0,33.44,0,1.186,3.53,14.23,0
8/6/2025,20:45, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,27.576,0,16.78,0,0.448,0,80.2,0,5.29,0,89.31,29.85,7.41,0,-39.1,6.09,32.764,0,25.76,0,1.194,3.58,14.44,0
8/6/2025,21:00, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,28.952,0,17.7,0,0.459,0,84.4,0,5.54,0,89.5,29.92,7.48,0,-43.5,6.09,32.727,0,19.41,0,1.196,3.48,14.05,0
8/6/2025,21:15, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,30.206,0,18.55,0,0.465,0,86.1,0,5.62,0,86.45,28.9,7.53,0,-46.4,6.1,32.758,0,20.24,0,1.194,3.25,13.11,0
8/6/2025,21:30, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,31.095,0,19.15,0,0.469,0,85.2,0,5.54,0,84.52,28.26,7.54,0,-47.2,6.09,32.77,0,20.51,0,1.197,3.06,12.35,0
8/6/2025,21:45, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,30.996,0,19.09,0,0.466,0,83.1,0,5.41,0,87.87,29.37,7.54,0,-47.1,6.09,32.738,0,14.69,0,1.192,2.84,11.44,0
8/6/2025,22:00, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,32.589,0,20.17,0,0.456,0,84.8,0,5.48,0,81.54,27.26,7.54,0,-47.5,6.09,32.78,0,14.43,0,1.195,2.56,10.3,0
8/6/2025,22:15, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,32.708,0,20.25,0,0.441,0,73,0,4.72,0,81.39,27.21,7.48,0,-43.8,6.08,32.778,0,16.59,0,1.2,2.19,8.8,0
8/6/2025,22:30, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,31.601,0,19.5,0,0.422,0,79.9,0,5.19,0,84.25,28.17,7.52,0,-46,6.09,32.747,0,17.29,0,1.191,2.63,10.6,0
8/6/2025,22:45, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,29.864,0,18.32,0,0.401,0,76.7,0,5.02,0,89.21,29.82,7.48,0,-43.6,6.09,32.707,0,15.5,0,1.189,2.77,11.16,0
8/6/2025,23:00, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,29.432,0,18.03,0,0.382,0,80.5,0,5.28,0,90.03,30.09,7.49,0,-44.4,6.08,32.679,0,18.82,0,1.184,3.33,13.44,0
8/6/2025,23:15, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,24.906,0,15.01,0,0.362,0,65.9,0,4.41,0,97.57,32.6,7.28,0,-31.5,6.09,32.447,0,18.7,0,1.192,2.93,11.79,0
8/6/2025,23:30, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,25.795,0,15.6,0,0.34,0,70.4,0,4.69,0,92.94,31.06,7.33,0,-34.5,6.08,32.485,0,27.98,0,1.192,3.38,13.63,0
8/6/2025,23:45, ,gtmpcwq_24G103008_080625_081500.bin,Pellicer Creek,GTMNERR,0,22.319,0,13.31,0,0.316,0,58.3,0,3.95,0,100.83,33.69,7.19,0,-26.1,6.09,32.219,0,21.55,0,1.19,2.96,11.93,0
