Date,Time,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Level,F_Level,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,fDOMQSU,fDOMRFU,pH,F_pH,pHmV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,ChlorophyllRFU,ChlFluor,F_ChlFluor
10/7/2025,12:45, ,gtmpcwq_24G103008_100725_073000.bin,Pellicer Creek,GTMNERR,0,16.606,<0> (CND),9.72,<0> (CND),0.71,<0> (CND),71.7,<0> (CND),5.46,<0> (CND),123.79,41.44,7.08,<0> (CND),-21.3,6.08,26.526,<0> (CND),8.18,<0> (CND),1.193,2.65,10.88,<0> (CND)
10/7/2025,13:00, ,gtmpcwq_24G103008_100725_073000.bin,Pellicer Creek,GTMNERR,0,16.402,0,9.59,0,0.691,0,70.1,0,5.36,0,123.72,41.41,7.07,0,-20.4,6.1,26.366,0,9.54,0,1.193,2.66,10.9,0
10/7/2025,13:15, ,gtmpcwq_24G103008_100725_073000.bin,Pellicer Creek,GTMNERR,0,15.864,0,9.25,0,0.67,0,68.6,0,5.24,0,123.27,41.26,7.03,0,-18.3,6.09,26.418,0,11.13,0,1.187,2.66,10.92,0
10/7/2025,13:30, ,gtmpcwq_24G103008_100725_073000.bin,Pellicer Creek,GTMNERR,0,14.009,0,8.08,0,0.651,0,64.1,0,4.89,0,122.44,40.98,6.93,0,-12.1,6.1,26.891,0,10.34,0,1.191,2.77,11.38,0
10/7/2025,13:45, ,gtmpcwq_24G103008_100725_073000.bin,Pellicer Creek,GTMNERR,0,13.338,0,7.66,0,0.63,0,62.4,0,4.77,0,121.47,40.66,6.9,0,-10.4,6.11,26.986,0,10.68,0,1.193,2.78,11.42,0
10/7/2025,14:00, ,gtmpcwq_24G103008_100725_073000.bin,Pellicer Creek,GTMNERR,0,13.467,0,7.74,0,0.609,0,60.9,0,4.67,0,122.26,40.93,6.9,0,-10.2,6.1,26.627,0,11.49,0,1.202,2.73,11.22,0
10/7/2025,14:15, ,gtmpcwq_24G103008_100725_073000.bin,Pellicer Creek,GTMNERR,0,12.494,0,7.14,0,0.591,0,57.9,0,4.45,0,121.05,40.52,6.85,0,-7.1,6.1,26.819,0,11.37,0,1.192,2.79,11.48,0
10/7/2025,14:30, ,gtmpcwq_24G103008_100725_073000.bin,Pellicer Creek,GTMNERR,0,12.001,0,6.83,0,0.572,0,56,0,4.31,0,119.44,39.98,6.82,0,-5.5,6.1,26.868,0,16.75,0,1.19,2.86,11.73,0
10/7/2025,14:45, ,gtmpcwq_24G103008_100725_073000.bin,Pellicer Creek,GTMNERR,0,11.406,0,6.47,0,0.549,0,54.1,0,4.16,0,119.63,40.05,6.78,0,-3.5,6.1,26.965,0,13.63,0,1.198,2.87,11.78,0
10/7/2025,15:00, ,gtmpcwq_24G103008_100725_073000.bin,Pellicer Creek,GTMNERR,0,10.827,0,6.11,0,0.533,0,52.1,0,4.01,0,119.09,39.86,6.75,0,-1.6,6.1,27.013,0,13.83,0,1.194,2.86,11.75,0
