Deploy Date,Deploy Time,,Retrieve Date,Retrieve Time,,Sonde Model Number (Nickname),pH Model Number,rpDO Model Number,roxDO Model Number,Turb Model Number,Cond Model Number,Chloro Model Number,EXO Model Number,,,,
1/7/2025,14:45,,1/14/2025,13:15,,EXO2 (Triton),599702,,599100-01,599101-01,599827,599103-01,599090-01,,,,
1/14/2025,13:30,,1/28/2025,10:45,,EXO2 (Pelican),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
1/28/2025,11:00,,2/11/2025,14:45,,EXO2 (Triton),599702,,599100-01,599101-01,599827,599103-01,599090-01,,,,
2/11/2025,15:00,,2/26/2025,11:00,,EXO2 (Pelican),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
2/26/2025,11:15,,3/26/2025,10:15,,EXO2 (Triton),599702,,599100-01,599101-01,599827,599103-01,599090-01,,,,
3/26/2025,10:30,03/26/2025 10:30,3/28/2025,14:30,03/28/2025 14:30,EXO2 (Pelican),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
3/28/2025,14:45,03/28/2025 14:45,4/9/2025,10:00,04/09/2025 10:00,EXO2 (Triton),599701,,599100-01,599101-01,599827,599103-01,599090-01,,,,
4/9/2025,10:15,04/09/2025 10:15,4/15/2025,13:15,04/15/2025 13:15,EXO2 (Pelican),599702,,599100-01,599101-01,599827,599103-01,599090-01,,,,
4/15/2025,13:30,04/15/2025 13:30,4/24/2025,9:30,04/24/2025 09:30,EXO2 (Triton),599701,,599100-01,599101-01,599827,599103-01,599090-01,,,,
4/24/2025,9:45,04/24/2025 09:45,5/15/2025,9:30,05/15/2025 09:30,EXO2 (Pelican),599702,,599100-01,599101-01,599827,599103-01,599090-01,,,,
5/15/2025,9:45,05/15/2025 09:45,5/28/2025,13:15,05/28/2025 13:15,EXO2 (Triton),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
5/28/2025,13:30,05/28/2025 13:30,6/6/2025,11:30,06/06/2025 11:30,EXO2 (Pelican),599702,,599100-01,599101-01,599827,599103-01,599090-01,,,,
6/6/2025,11:45,06/06/2025 11:45,6/16/2025,13:00,06/16/2025 13:00,EXO2 (Triton),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
6/16/2025,13:15,06/16/2025 13:15,6/24/2025,9:30,06/24/2025 09:30,EXO2 (Oyster),599702,,599100-01,599101-01,599827,599103-01,599090-01,,,,
6/24/2025,9:45,06/24/2025 09:45,6/27/2025,11:30,06/27/2025 11:30,EXO2 (Triton),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
6/27/2025,11:45,06/27/2025 11:45,7/9/2025,11:30,07/09/2025 11:30,EXO2 (Oyster),599702,,599100-01,599101-01,599827,599103-01,599090-01,,,,
7/9/2025,11:45,07/09/2025 11:45,,,01/00/1900 00:00,EXO2 (Triton),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
,,,,,,,,,,,,,,,,,
Deploy Date,Sonde Nickname,,SpCond,RPDO1,,RPDO2,ROXDO1,ROXDO2,pH7,pH10,pH4,Turb,Turb,Depth,Level,CHL(0),CHL(118)
1/7/2025,Triton,,49.884(50.0),,,,101.1,101.1,7.1,10.12,4.08,0.0(0.0),-124,-0.156,-0.941(-0.913),-0.17,
1/14/2025,Pelican,,49.998(50.0),,,,101.3,101.4,7.05,10.06,4.02,-0.04(0.0),-124,-0.068,-1.013(-1.001),-0.01,
1/28/2025,Triton,,49.911(50.0),,,,99.6,99.4,7.1,10.11,4.06,-0.02(0.0),-124,-0.026,-1.065(-1.043),0.08,
2/11/2025,Pelican,,50.06(50.0),,,,100.5,100.5,7.1,10.25,3.81,0.06(0.0),-124,-0.077,-1.012(-0.992),-0.16,
2/26/2025,Triton,,49.751(50.0),,,,86.3,85.2,7.07,10.09,4.01,0.34(0.0),-124,-0.152,-0.846(-0.917),0.08,
3/26/2025,Pelican,,49.989(50.0),,,,100.2,100,7.11,10.05,4.04,-0.06(0.0),-124,-0.125,-1.045(-0.944),-0.05,
3/28/2025,Triton,,50.183(50.0),,,,101.5,101.7,7.09,10.15,4,0.01(0.0),-124,-0.099,-0.865(-0.97),-0.07,
4/9/2025,Pelican,,50.18(50.0),,,,,,7.06,10.05,4.04,0.03(0.0),-124,-0.068,-1.115(-1.001),0.01,
4/15/2025,Triton,,50.063(50.0),,,,101,101,7.11,10.09,4.07,0.03(0.0),-124,-0.097,-0.975(-0.972),0.03,
4/24/2025,Pelican,,49.97(50.0),,,,103.2,103.2,7.1,10.13,4.06,0.24(0.0),-124,-0.027,-1.021(-1.042),-0.09,
5/15/2025,Triton,,50.135(50.0),,,,102.5,102.5,7.08,10.11,4,0.09(0.0),-124,-0.053,-0.976(-1.016),0.04,
5/28/2025,Pelican,,-50,,,,,,,,,0,-124,-0.049,0,,
6/6/2025,Triton,,-50,,,,98.2,98.2,7.07,10.07,4.04,0.11(0.0),-124,-0.075,-1.024(-0.994),1.18,
6/16/2025,Oyster,,49.966(50.0),,,,102.2,102.3,7.04,10,4.03,0.14(0.0),-124,-0.092,-0.997(-0.977),-0.06,
6/24/2025,Triton,,50.087(50.0),,,,,,7.08,10.09,4.06,0.04(0.0),-124,-0.075,-0.98(-0.994),-0.07,
6/27/2025,Oyster,,49.96(50.0),,,,100,100,7.04,10.03,3.98,0.82(0.0),-124,-0.067,-1.01(-1.002),0.02,
7/9/2025,Triton,,-50,,,,,,,,,0,-124,0,0,,
