Deploy Date,Deploy Time,Retrieve Date,Retrieve Time,Sonde Model Number (Nickname),pH Model Number,rpDO Model Number,roxDO Model Number,Turb Model Number,Cond Model Number,Chloro Model Number,EXO Model Number
01/14/2025,14:00,02/11/2025,11:45,EXO2 (Irma),599701,,599100-01,599101-01,599827,599103-01,599090-01
02/11/2025,12:00,03/04/2025,11:00,EXO2 (Matthew),577602,,599100-01,599101-01,599827,599103-01,599090-01
03/04/2025,11:15,03/26/2025,10:30,EXO2 (Irma),599701,,599100-01,599101-01,599827,599103-01,599090-01
03/26/2025,10:45,04/09/2025,10:30,EXO2 (Matthew),577602,,599100-01,599101-01,599827,599103-01,599090-01
04/09/2025,10:45,05/02/2025,12:30,EXO2 (Irma),577602,,599100-01,599101-01,599827,599103-01,599090-01
05/02/2025,12:45,05/13/2025,09:00,EXO2 (Matthew),577602,,599100-01,599101-01,599827,599103-01,599090-01
05/13/2025,09:15,05/28/2025,12:45,EXO2 (Irma),577602,,599100-01,599101-01,599827,599103-01,599090-01
05/28/2025,13:00,06/10/2025,12:00,EXO2 (Matthew),577602,,599100-01,599101-01,599827,599103-01,599090-01
06/10/2025,12:15,06/26/2025,09:45,EXO2 (Megalops),599701,,599100-01,599101-01,599827,599103-01,599090-01
06/26/2025,10:00,07/09/2025,09:45,EXO2 (Matthew),577602,,599100-01,599101-01,599827,599103-01,599090-01
07/09/2025,10:00,07/25/2025,11:45,EXO2 (Irma),577602,,599100-01,599101-01,599827,599103-01,599090-01
07/25/2025,12:00,08/06/2025,10:00,EXO2 (Matthew),577602,,599100-01,599101-01,599827,599103-01,599090-01
08/06/2025,10:15,08/21/2025,13:15,EXO2 (Irma),577602,,599100-01,599101-01,599827,599103-01,599090-01
08/21/2025,13:30,09/08/2025,12:00,EXO2 (Matthew),577602,,599100-01,599101-01,599827,599103-01,599090-01
09/08/2025,12:15,09/25/2025,10:45,EXO2 (Irma),577602,,599100-01,599101-01,599827,599103-01,599090-01
09/25/2025,11:00,10/07/2025,12:45,EXO2 (Matthew),577602,,599100-01,599101-01,599827,599103-01,599090-01
10/07/2025,13:00,,,EXO2 (Irma),577602,,599100-01,599101-01,599827,599103-01,599090-01

Deploy Date,Sonde Nickname,SpCond,RPDO1,RPDO2,ROXDO1,ROXDO2,pH7,pH10,pH4,Turb,Turb,Depth,Level,CHL(0),CHL(118)
01/14/2025,Irma,49.738(50.0),,,100.2,100.3,7.12,10.11,4.16,-0.02(0.0),(124.0),0.034(0.023),(0.0),-0.04,
02/11/2025,Matthew,50.09(50.0),,,,,7.12,10.16,4.04,-0.05(0.0),(124.0),-0.049(-0.045),(0.0),0.08,
03/04/2025,Irma,49.908(50.0),,,100.7,100.8,7.15,10.15,4.15,-0.01(0.0),(124.0),0.239(0.15),(0.0),-0.02,
03/26/2025,Matthew,50.117(50.0),,,102.7,102.8,7.13,10.13,4.07,-0.02(0.0),(124.0),0.144(0.098),(0.0),0.13,
04/09/2025,Irma,50.084(50.0),,,102.5,102.5,7.13,10.07,4.08,0.02(0.0),(124.0),-0.016(0.038),(0.0),-0.04,
05/02/2025,Matthew,49.986(50.0),,,100.2,100.3,6.99,9.94,4.02,0.02(0.0),(124.0),0.038(0.022),(0.0),0.19,
05/13/2025,Irma,50.154(50.0),,,100.6,100.6,7.18,10.16,4.18,0.0(0.0),(124.0),0.12(0.065),(0.0),-0.09,
05/28/2025,Matthew,50.002(50.0),,,99.2,99.6,6.99,9.98,3.92,0.04(0.0),(124.0),0.059(0.086),(0.0),0.11,
06/10/2025,Megalops,49.7(50.0),,,51.7,52.4,7.21,,,7.66(0.0),(124.0),0.081(0.077),(0.0),2.65,
06/26/2025,Matthew,49.913(50.0),,,102.7,102.7,7.05,10.02,4.0,0.27(0.0),(124.0),0.063(0.073),(0.0),-0.01,
07/09/2025,Irma,49.98(50.0),,,96.6,97.1,7.07,10.04,4.04,0.32(0.0),(124.0),0.194(0.087),(0.0),,0.5
07/25/2025,Matthew,49.995(50.0),,,101.3,101.3,7.13,10.14,4.1,0.24(0.0),(124.0),0.025(0.083),(0.0),0.15,
08/06/2025,Irma,50.02(50.0),,,100.4,100.4,7.14,10.15,4.14,1.77(0.0),(124.0),0.022(0.02),(0.0),0.49,
08/21/2025,Matthew,50.026(50.0),,,101.0,101.1,7.08,10.07,4.01,0.4(0.0),(124.0),0.054(0.042),(0.0),-0.02,
09/08/2025,Irma,49.981(50.0),,,101.8,101.7,7.12,10.1,4.12,0.22(0.0),(124.0),0.028(0.01),(0.0),-0.03,
09/25/2025,Matthew,49.941(50.0),,,100.5,100.5,7.14,10.04,4.12,0.12(0.0),(124.0),0.124(0.057),(0.0),0.11,
10/07/2025,Irma,(50.0),,,,,,,,(0.0),(124.0),(0.0),(0.0),,
