Deploy Date,Deploy Time,,Retrieve Date,Retrieve Time,,Sonde Model Number (Nickname),pH Model Number,rpDO Model Number,roxDO Model Number,Turb Model Number,Cond Model Number,Chloro Model Number,EXO Model Number,,,,
1/14/2025,14:00,,2/11/2025,11:45,,EXO2 (Irma),599701,,599100-01,599101-01,599827,599103-01,599090-01,,,,
2/11/2025,12:00,,3/4/2025,11:00,,EXO2 (Matthew),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
3/4/2025,11:15,,3/26/2025,10:30,,EXO2 (Irma),599701,,599100-01,599101-01,599827,599103-01,599090-01,,,,
3/26/2025,10:45,03/26/2025 10:45,4/9/2025,10:30,04/09/2025 10:30,EXO2 (Matthew),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
4/9/2025,10:45,04/09/2025 10:45,5/2/2025,12:30,05/02/2025 12:30,EXO2 (Irma),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
5/2/2025,12:45,05/02/2025 12:45,5/13/2025,9:00,05/13/2025 09:00,EXO2 (Matthew),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
5/13/2025,9:15,05/13/2025 09:15,5/28/2025,12:45,05/28/2025 12:45,EXO2 (Irma),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
5/28/2025,13:00,05/28/2025 13:00,6/10/2025,12:00,06/10/2025 12:00,EXO2 (Matthew),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
6/10/2025,12:15,06/10/2025 12:15,6/26/2025,9:45,06/26/2025 09:45,EXO2 (Megalops),599701,,599100-01,599101-01,599827,599103-01,599090-01,,,,
6/26/2025,10:00,06/26/2025 10:00,7/9/2025,9:45,07/09/2025 09:45,EXO2 (Matthew),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
7/9/2025,10:00,07/09/2025 10:00,,,,EXO2 (Irma),577602,,599100-01,599101-01,599827,599103-01,599090-01,,,,
,,,,,,,,,,,,,,,,,
Deploy Date,Sonde Nickname,,SpCond,RPDO1,,RPDO2,ROXDO1,ROXDO2,pH7,pH10,pH4,Turb,Turb,Depth,Level,CHL(0),CHL(118)
1/14/2025,Irma,,49.738(50.0),,,,100.2,100.3,7.12,10.11,4.16,-0.02(0.0),-124,0.034(0.023),0,-0.04,
2/11/2025,Matthew,,50.09(50.0),,,,,,7.12,10.16,4.04,-0.05(0.0),-124,-0.049(-0.045),0,0.08,
3/4/2025,Irma,,49.908(50.0),,,,100.7,100.8,7.15,10.15,4.15,-0.01(0.0),-124,0.239(0.15),0,-0.02,
3/26/2025,Matthew,,50.117(50.0),,,,102.7,102.8,7.13,10.13,4.07,-0.02(0.0),-124,0.144(0.098),0,0.13,
4/9/2025,Irma,,50.084(50.0),,,,102.5,102.5,7.13,10.07,4.08,0.02(0.0),-124,-0.016(0.038),0,-0.04,
5/2/2025,Matthew,,49.986(50.0),,,,100.2,100.3,6.99,9.94,4.02,0.02(0.0),-124,0.038(0.022),0,0.19,
5/13/2025,Irma,,50.154(50.0),,,,100.6,100.6,7.18,10.16,4.18,0.0(0.0),-124,0.12(0.065),0,-0.09,
5/28/2025,Matthew,,50.002(50.0),,,,99.2,99.6,6.99,9.98,3.92,0.04(0.0),-124,0.059(0.086),0,0.11,
6/10/2025,Megalops,,49.7(50.0),,,,51.7,52.4,7.21,,,7.66(0.0),-124,0.081(0.077),0,2.65,
6/26/2025,Matthew,,49.913(50.0),,,,102.7,102.7,7.05,10.02,4,0.27(0.0),-124,0.063(0.073),0,-0.01,
7/9/2025,Irma,,-50,,,,,,,,,0,-124,0,0,,
