DATE,TIME,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Depth,F_Depth,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,FDOMQSU,FDOMRFU,pH,F_pH,mVpH,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,CHLOROPHYLLRFU,ChlFluor,F_ChlFluor
7/9/2025,8:45, ,gtmsswq_16J102351_070925_050000.bin,San Sebastian,default user,0,53.701,<0> (CND),35.42,<0> (CND),5.36,<0> (CND),82.1,<0> (CND),5.37,<0> (CND),7.97,2.88,7.84,<0> (CND),-73.5,6.01,26.953,<0> (CND),4.65,<0> (CND),1.199,1.56,6.39,<0> (CND)
7/9/2025,9:00, ,gtmsswq_16J102351_070925_050000.bin,San Sebastian,default user,0,53.699,0,35.42,0,5.297,0,80.2,0,5.24,0,7.95,2.88,7.83,0,-73.1,6.06,26.982,0,5.56,0,1.204,1.35,5.55,0
7/9/2025,9:15, ,gtmsswq_16J102351_070925_050000.bin,San Sebastian,default user,0,53.684,0,35.41,0,5.222,0,79.2,0,5.17,0,8.02,2.9,7.82,0,-72.4,6.08,27.029,0,7.69,0,1.202,1.34,5.49,0
7/9/2025,9:30, ,gtmsswq_16J102351_070925_050000.bin,San Sebastian,default user,0,53.467,0,35.24,0,5.158,0,75.3,0,4.9,0,9.38,3.36,7.78,0,-70,6.08,27.333,0,8.82,0,1.199,1.35,5.52,0
7/9/2025,9:45, ,gtmsswq_16J102351_070925_050000.bin,San Sebastian,default user,0,53.272,0,35.08,0,5.103,0,71,0,4.6,0,10.55,3.75,7.73,0,-67,6.06,27.6,0,11.08,0,1.211,1.29,5.29,0
7/9/2025,10:00, ,gtmsswq_16J102351_070925_050000.bin,San Sebastian,default user,0,53.154,0,34.99,0,5.043,0,69.6,0,4.5,0,11.51,4.07,7.7,0,-65.6,6.06,27.786,0,11.82,0,1.206,1.2,4.94,0
7/9/2025,10:15, ,gtmsswq_16J102351_070925_050000.bin,San Sebastian,default user,0,53.033,0,34.9,0,4.961,0,69.8,0,4.5,0,12.34,4.35,7.69,0,-64.7,6.06,27.953,0,10.41,0,1.203,1.2,4.91,0
7/9/2025,10:30, ,gtmsswq_16J102351_070925_050000.bin,San Sebastian,default user,0,52.958,0,34.83,0,4.882,0,67.5,0,4.35,0,13.01,4.58,7.67,0,-63.3,6.05,28.132,0,12.33,0,1.201,1.17,4.82,0
7/9/2025,10:45, ,gtmsswq_16J102351_070925_050000.bin,San Sebastian,default user,0,52.932,0,34.81,0,4.827,0,67.7,0,4.35,0,13.32,4.68,7.66,0,-62.9,6.04,28.247,0,11.17,0,1.197,1.16,4.74,0
7/9/2025,11:00, ,gtmsswq_16J102351_070925_050000.bin,San Sebastian,default user,0,52.773,0,34.69,0,4.781,0,66,0,4.23,0,14.33,5.02,7.64,0,-61.7,6.02,28.397,0,10,0,1.199,1.11,4.56,0
