DATE,TIME,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Depth,F_Depth,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,FDOMQSU,FDOMRFU,pH,F_pH,pHmV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,CHLOROPHYLLRFU,ChlFluor,F_ChlFluor
9/8/2025,11:00, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,47.712,<0> (CND),30.95,<0> (CND),5.827,<0> (CND),97,<0> (CND),6.27,<0> (CND),15.28,5.34,7.93,<0> (CND),-83.9,6.15,29.142,<0> (CND),4.91,<0> (CND),1.195,0.71,2.82,<0> (CND)
9/8/2025,11:15, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,47.336,0,30.67,0,5.747,0,95.7,0,6.18,0,17.42,6.06,7.9,0,-82.4,6.15,29.327,0,6.35,0,1.203,0.76,3,0
9/8/2025,11:30, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,46.999,0,30.43,0,5.668,0,94,0,6.08,0,19.53,6.77,7.88,0,-81,6.16,29.355,0,6.87,0,1.206,0.83,3.28,0
9/8/2025,11:45, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,46.559,0,30.11,0,5.598,0,91.6,0,5.92,0,22.27,7.69,7.85,0,-79,6.16,29.447,0,7.65,0,1.203,0.9,3.57,0
9/8/2025,12:00, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,46.327,0,29.94,0,5.536,0,90.4,0,5.85,0,23.38,8.07,7.83,0,-78.1,6.15,29.511,0,8.65,0,1.205,1.02,4.08,0
9/8/2025,12:15, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,45.842,0,29.59,0,5.479,0,88,0,5.7,0,26.54,9.13,7.8,0,-76,6.16,29.497,0,9.53,0,1.203,1,3.99,0
9/8/2025,12:30, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,45.146,0,29.09,0,5.412,0,81.6,0,5.31,0,30.88,10.59,7.74,0,-72.4,6.15,29.415,0,11.04,0,1.193,1.14,4.53,0
9/8/2025,12:45, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,45.094,0,29.05,0,5.304,0,83,0,5.39,0,31.18,10.69,7.74,0,-72.5,6.15,29.463,0,11.34,0,1.193,1.14,4.54,0
9/8/2025,13:00, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,44.288,0,28.47,0,5.226,0,80.9,0,5.27,0,34.89,11.94,7.7,0,-70.1,6.16,29.512,0,14.04,0,1.193,1.19,4.74,0
9/8/2025,13:15, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,43.715,0,28.05,0,5.164,0,78.6,0,5.13,0,37.8,12.92,7.68,0,-68.4,6.15,29.566,0,14.41,0,1.197,1.29,5.14,0
9/8/2025,13:30, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,42.686,0,27.32,0,5.119,0,74.7,0,4.9,0,43.5,14.84,7.62,0,-65.2,6.15,29.578,0,15.35,0,1.198,1.43,5.72,0
9/8/2025,13:45, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,42.178,0,26.96,0,5.073,0,74,0,4.86,0,46.02,15.69,7.62,0,-64.6,6.15,29.593,0,15.42,0,1.204,1.44,5.75,0
9/8/2025,14:00, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,41.676,0,26.6,0,5.032,0,73,0,4.8,0,48.58,16.55,7.6,0,-63.7,6.15,29.595,0,14.79,0,1.208,1.47,5.87,0
9/8/2025,14:15, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,41.331,0,26.35,0,5,0,73.4,0,4.84,0,50.19,17.09,7.59,0,-63.3,6.15,29.564,0,13.52,0,1.198,1.57,6.28,0
9/8/2025,14:30, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,44.405,0,28.55,0,4.976,0,78.8,0,5.14,0,34.89,11.94,7.7,0,-69.6,6.14,29.452,0,10.42,0,1.192,1.36,5.42,0
9/8/2025,14:45, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,44.68,0,28.75,0,4.954,0,77.4,0,5.04,0,33.62,11.51,7.69,0,-69.5,6.15,29.432,0,8.01,0,1.203,1.22,4.85,0
9/8/2025,15:00, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,44.719,0,28.78,0,4.947,0,75.9,0,4.95,0,33.93,11.62,7.68,0,-68.7,6.14,29.422,0,6.18,0,1.209,0.99,3.94,0
9/8/2025,15:15, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,44.722,0,28.78,0,4.963,0,80.3,0,5.23,0,34.94,11.96,7.68,0,-68.8,6.15,29.417,0,8.49,0,1.204,1.39,5.56,0
9/8/2025,15:30, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,44.743,0,28.8,0,4.997,0,77.1,0,5.03,0,34.19,11.7,7.67,0,-68.2,6.15,29.418,0,7.29,0,1.194,1.27,5.08,0
9/8/2025,15:45, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,44.821,0,28.85,0,5.049,0,75.3,0,4.9,0,34.29,11.74,7.66,0,-67.1,6.14,29.42,0,8.2,0,1.196,1.31,5.22,0
9/8/2025,16:00, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,44.356,0,28.52,0,5.103,0,77.6,0,5.06,0,38.34,13.1,7.65,0,-66.5,6.15,29.413,0,7.83,0,1.21,1.38,5.53,0
9/8/2025,16:15, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,44.543,0,28.66,0,5.167,0,79.2,0,5.17,0,36.55,12.5,7.67,0,-67.9,6.14,29.362,0,7.11,0,1.204,1.54,6.17,0
9/8/2025,16:30, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,45.064,0,29.03,0,5.239,0,77.6,0,5.05,0,34.5,11.81,7.67,0,-68.1,6.14,29.404,0,7.02,0,1.201,1.3,5.2,0
9/8/2025,16:45, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,44.797,0,28.84,0,5.331,0,82.6,0,5.39,0,33.76,11.56,7.72,0,-70.7,6.14,29.267,0,9.66,0,1.204,1.53,6.12,0
9/8/2025,17:00, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,44.962,0,28.96,0,5.415,0,86.8,0,5.68,0,31.62,10.84,7.76,0,-73.5,6.14,29.148,0,8.05,0,1.193,1.62,6.48,0
9/8/2025,17:15, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,45.182,0,29.12,0,5.469,0,87.4,0,5.71,0,30.25,10.38,7.78,0,-74.5,6.14,29.077,0,7.14,0,1.201,1.54,6.15,0
9/8/2025,17:30, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,45.446,0,29.31,0,5.549,0,87.2,0,5.7,0,29.27,10.05,7.79,0,-75.2,6.14,29.08,0,6.97,0,1.205,1.42,5.66,0
9/8/2025,17:45, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,45.656,0,29.46,0,5.629,0,85.2,0,5.56,0,27.93,9.6,7.79,0,-75.3,6.14,29.154,0,8.46,0,1.204,1.4,5.62,0
9/8/2025,18:00, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,45.916,0,29.65,0,5.715,0,87.7,0,5.72,0,25.41,8.75,7.82,0,-77.3,6.14,29.09,0,8.14,0,1.202,1.45,5.81,0
9/8/2025,18:15, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,46.031,0,29.74,0,5.827,0,89.4,0,5.83,0,24.48,8.44,7.84,0,-78.3,6.13,29.027,0,8.57,0,1.203,1.32,5.29,0
9/8/2025,18:30, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,46.17,0,29.84,0,5.921,0,93.9,0,6.12,0,22.38,7.73,7.88,0,-81.1,6.14,29.06,0,7.13,0,1.199,1.53,6.11,0
9/8/2025,18:45, ,gtmsswq_16J102351_090825_050000.bin,San Sebastian,default user,0,46.464,0,30.05,0,5.997,0,96.1,0,6.25,0,20.17,6.99,7.92,0,-83,6.13,29.068,0,6.82,0,1.212,1.77,7.08,0
