Deploy Date,Deploy Time,Retrieve Date,Retrieve Time,Sonde Model Number (Nickname),pH Model Number,rpDO Model Number,roxDO Model Number,Turb Model Number,Cond Model Number,Chloro Model Number,EXO Model Number
01/14/2025,12:30,02/11/2025,17:45,EXO2 (Megalops),599701,,599100-01,599101-01,599827,599103-01,599090-01
02/11/2025,18:00,03/04/2025,12:00,EXO2 (Dorian),577602,,599100-01,599101-01,599827,599103-01,599090-01
03/04/2025,12:15,03/26/2025,09:00,EXO2 (Megalops),599701,,599100-01,599101-01,599827,599103-01,599090-01
03/26/2025,09:15,04/09/2025,09:00,EXO2 (Dorian),577602,,599100-01,599101-01,599827,599103-01,599090-01
04/09/2025,09:15,05/02/2025,10:45,EXO2 (Megalops),599701,,599100-01,599101-01,599827,599103-01,599090-01
05/02/2025,11:30,05/13/2025,11:15,EXO2 (Dorian),577602,,599100-01,599101-01,599827,599103-01,599090-01
05/13/2025,11:30,05/28/2025,11:30,EXO2 (Megalops),599701,,599100-01,599101-01,599827,599103-01,599090-01
05/28/2025,11:45,06/10/2025,10:15,EXO2 (Dorian),577602,,599100-01,599101-01,599827,599103-01,599090-01
06/10/2025,10:30,06/26/2025,13:15,EXO2 (Irma),577602,,599100-01,599101-01,599827,599103-01,599090-01
06/26/2025,13:30,07/09/2025,08:30,EXO2 (Dorian),577602,,599100-01,599101-01,599827,599103-01,599090-01
07/09/2025,08:45,07/25/2025,10:45,EXO2 (Megalops),599701,,599100-01,599101-01,599827,599103-01,599090-01
07/25/2025,11:00,08/06/2025,08:45,EXO2 (Dorian),577602,,599100-01,599101-01,599827,599103-01,599090-01
08/06/2025,09:00,08/21/2025,11:30,EXO2 (Megalops),599701,,599100-01,599101-01,599827,599103-01,599090-01
08/21/2025,11:45,09/08/2025,10:45,EXO2 (Triton),577602,,599100-01,599101-01,599827,599103-01,599090-01
09/08/2025,11:00,09/25/2025,11:45,EXO2 (Megalops),599701,,599100-01,599101-01,599827,599103-01,599090-01
09/25/2025,12:00,10/07/2025,11:15,EXO2 (Dorian),577602,,599100-01,599101-01,599827,599103-01,599090-01
10/07/2025,11:30,,,EXO2 (Megalops),599701,,599100-01,599101-01,599827,599103-01,599090-01

Deploy Date,Sonde Nickname,SpCond,RPDO1,RPDO2,ROXDO1,ROXDO2,pH7,pH10,pH4,Turb,Turb,Depth,Level,CHL(0),CHL(118)
01/14/2025,Megalops,49.722(50.0),,,96.1,96.0,7.08,10.08,4.07,-0.01(0.0),(124.0),0.026(0.022),(0.0),0.03,
02/11/2025,Dorian,49.949(50.0),,,99.4,99.4,7.04,10.04,3.95,0.07(0.0),(124.0),-0.069(-0.054),(0.0),-0.06,
03/04/2025,Megalops,49.889(50.0),,,101.6,101.4,7.13,10.11,4.12,0.11(0.0),(124.0),0.246(0.151),(0.0),0.03,
03/26/2025,Dorian,50.096(50.0),,,102.8,102.8,7.09,10.09,4.0,0.04(0.0),(124.0),0.111(0.097),(0.0),0.1,
04/09/2025,Megalops,50.152(50.0),,,101.9,101.9,7.12,10.06,4.13,-0.02(0.0),(124.0),-0.039(0.037),(0.0),-0.13,
05/02/2025,Dorian,49.97(50.0),,,102.9,102.8,7.09,10.1,4.05,0.04(0.0),(124.0),0.028(0.022),(0.0),-0.14,
05/13/2025,Megalops,50.141(50.0),,,101.3,101.4,7.11,10.06,4.17,0.1(0.0),(124.0),0.105(0.057),(0.0),0.06,
05/28/2025,Dorian,50.077(50.0),,,103.7,103.4,7.12,10.06,4.1,0.12(0.0),(124.0),0.048(0.084),(0.0),-0.03,
06/10/2025,Irma,50.021(50.0),,,100.9,100.8,7.14,10.13,4.12,0.12(0.0),(124.0),0.1(0.075),(0.0),0.01,
06/26/2025,Dorian,49.956(50.0),,,104.6,104.6,7.08,10.05,4.08,22.421(0.0),(124.0),0.048(0.071),(0.0),0.09,
07/09/2025,Megalops,50.125(50.0),,,101.5,101.5,7.09,10.07,4.12,0.03(0.0),(124.0),0.2(0.09),(0.0),0.02,
07/25/2025,Dorian,50.028(50.0),,,104.2,103.7,7.06,10.05,4.05,-0.02(0.0),(124.0),-0.013(0.073),(0.0),0.25,
08/06/2025,Megalops,50.007(50.0),,,100.1,100.2,7.12,10.07,4.15,-0.08(0.0),(124.0),0.003(0.02),(0.0),0.2,
08/21/2025,Triton,50.072(50.0),,,103.2,103.3,7.1,10.08,4.12,0.06(0.0),(124.0),0.047(0.041),(0.0),-0.07,
09/08/2025,Megalops,50.035(50.0),,,101.6,101.7,7.13,10.07,4.18,-0.01(0.0),(124.0),0.023(-0.003),(0.0),0.05,
09/25/2025,Dorian,50.057(50.0),,,104.2,104.4,7.11,10.03,4.1,0.3(0.0),(124.0),0.116(0.058),(0.0),0.22,
10/07/2025,Megalops,(50.0),,,,,,,,(0.0),(124.0),(0.0),(0.0),,
