Date,Time,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Depth,F_Depth,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,fDOMQSU,fDOMRFU,pH,F_pH,pHmV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,ChlFluor,F_ChlFluor,Chlorophyllug/L
1/21/2026,11:45, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.967,<0> (CND),34.13,<0> (CND),2.592,<0> (CND),100.4,<0> (CND),8.57,<0> (CND),10.5,4.38,8.05,<0> (CND),-85.1,5.93,12.894,<0> (CND),2.56,<0> (CND),1.231,0.38,<0> (CND),1.48
1/21/2026,12:00, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.863,0,34.04,0,2.542,0,100.3,0,8.62,0,12.01,4.88,8.06,0,-85.3,5.84,12.598,0,2.77,0,1.233,0.34,0,1.33
1/21/2026,12:15, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.772,0,33.97,0,2.493,0,100.9,0,8.7,0,13.53,5.39,8.06,0,-85.4,5.87,12.429,0,3.14,0,1.225,0.33,0,1.29
1/21/2026,12:30, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.691,0,33.91,0,2.441,0,101.2,0,8.74,0,13.99,5.55,8.06,0,-85.3,5.87,12.396,0,3.65,0,1.227,0.32,0,1.24
1/21/2026,12:45, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.675,0,33.9,0,2.384,0,102,0,8.79,0,14.17,5.61,8.06,0,-85.5,5.84,12.471,0,2.94,0,1.217,0.31,0,1.24
1/21/2026,13:00, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.623,0,33.86,0,2.337,0,102.3,0,8.82,0,14.69,5.78,8.06,0,-85.6,5.94,12.498,0,2.97,0,1.226,0.31,0,1.22
1/21/2026,13:15, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.59,0,33.84,0,2.275,0,103,0,8.87,0,14.58,5.74,8.06,0,-85.6,5.96,12.566,0,2.67,0,1.226,0.31,0,1.21
1/21/2026,13:30, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.593,0,33.85,0,2.217,0,103,0,8.86,0,14.54,5.73,8.06,0,-85.6,5.94,12.622,0,2.38,0,1.232,0.27,0,1.06
1/21/2026,13:45, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.597,0,33.85,0,2.163,0,103.8,0,8.91,0,14.4,5.68,8.07,0,-85.9,5.95,12.689,0,2.47,0,1.228,0.29,0,1.14
1/21/2026,14:00, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.632,0,33.88,0,2.112,0,104.1,0,8.91,0,13.72,5.46,8.07,0,-86,5.94,12.835,0,2.24,0,1.223,0.35,0,1.38
1/21/2026,14:15, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.616,0,33.87,0,2.061,0,100.7,0,8.62,0,13.7,5.45,8.05,0,-85,5.95,12.843,0,2.19,0,1.222,0.21,0,0.82
1/21/2026,14:30, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.715,0,33.96,0,2.01,0,102,0,8.67,0,12.88,5.17,8.05,0,-85.2,5.96,13.173,0,2.21,0,1.231,0.2,0,0.78
1/21/2026,14:45, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.963,0,34.21,0,1.957,0,110.1,0,8.96,0,7.29,3.31,8.1,0,-88.3,5.95,15.202,0,2.04,0,1.224,0.26,0,1
1/21/2026,15:00, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.95,0,34.19,0,1.903,0,104,0,8.5,0,8.39,3.67,8.07,0,-86.4,5.97,14.99,0,1.97,0,1.225,0.19,0,0.73
1/21/2026,15:15, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.997,0,34.21,0,1.849,0,108.2,0,8.95,0,9.15,3.93,8.09,0,-87.5,5.96,14.453,0,2.06,0,1.227,0.28,0,1.1
1/21/2026,15:30, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.91,0,34.13,0,1.796,0,106.8,0,8.91,0,10.32,4.32,8.08,0,-87,5.92,13.972,0,1.95,0,1.221,0.25,0,0.96
1/21/2026,15:45, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.905,0,34.14,0,1.741,0,108.3,0,8.97,0,9.69,4.11,8.09,0,-87.3,5.85,14.363,0,1.85,0,1.231,0.28,0,1.1
1/21/2026,16:00, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,52.053,0,34.25,0,1.686,0,108.4,0,8.99,0,9.01,3.88,8.09,0,-87.5,5.82,14.254,0,2.23,0,1.223,0.34,0,1.32
1/21/2026,16:15, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.942,0,34.16,0,1.633,0,108.2,0,9,0,9.51,4.05,8.09,0,-87.5,5.81,14.165,0,1.97,0,1.228,0.39,0,1.55
1/21/2026,16:30, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.968,0,34.19,0,1.584,0,109.2,0,9.04,0,9.83,4.16,8.09,0,-87.5,5.79,14.381,0,2.37,0,1.22,0.37,0,1.45
1/21/2026,16:45, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,52.025,0,34.24,0,1.541,0,110.8,0,9.07,0,8.94,3.86,8.09,0,-87.7,5.8,14.897,0,2.36,0,1.222,0.47,0,1.87
1/21/2026,17:00, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.843,0,34.1,0,1.502,0,109.7,0,9.03,0,10.48,4.37,8.08,0,-87.3,5.82,14.668,0,2.6,0,1.228,0.44,0,1.73
1/21/2026,17:15, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.773,0,34.03,0,1.466,0,107.7,0,9.01,0,11.74,4.79,8.08,0,-86.8,5.8,13.915,0,2.54,0,1.228,0.49,0,1.95
1/21/2026,17:30, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.779,0,34.03,0,1.445,0,107.6,0,9.02,0,12.05,4.9,8.08,0,-86.8,5.82,13.799,0,2.39,0,1.226,0.51,0,2.02
1/21/2026,17:45, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,51.883,0,34.12,0,1.449,0,108.4,0,9.03,0,10.95,4.53,8.08,0,-87.2,5.8,14.119,0,2.56,0,1.224,0.6,0,2.39
1/21/2026,18:00, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,52.105,0,34.3,0,1.466,0,110,0,8.99,0,8.08,3.57,8.1,0,-88.6,5.8,14.954,0,3.18,0,1.226,1.18,0,4.68
1/21/2026,18:15, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,52.148,0,34.35,0,1.507,0,109.8,0,8.9,0,6.28,2.97,8.12,0,-89.5,5.81,15.375,0,2.93,0,1.224,1.32,0,5.26
1/21/2026,18:30, ,gtmfmwq_24G103006_012126_050000.bin,Fort Matanzas,GTMNERR,0,52.156,0,34.35,0,1.56,0,109.3,0,8.86,0,5.67,2.76,8.12,0,-89.6,5.8,15.368,0,2.63,0,1.22,1.33,0,5.29
