DATE,TIME,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Depth,F_Depth,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,fDOMQSU,fDOMRFU,pH,F_pH,pHmV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,ChlFluor,F_ChlFluor,ChlorphylluG/L
3/27/2026,10:30, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,51.972,<0> (CND),34.26,<0> (CND),1.639,<0> (CND),88,<0> (CND),6.56,<0> (CND),13.35,4.55,7.83,<0> (CND),-74.4,6.07,19.798,<0> (CND),4.98,<0> (CND),1.195,0.6,<0> (CND),2.49
3/27/2026,10:45, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,51.987,0,34.27,0,1.61,0,89.4,0,6.65,0,12.7,4.33,7.86,0,-76,6.07,19.879,0,5.21,0,1.207,0.62,0,2.59
3/27/2026,11:00, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.068,0,34.33,0,1.588,0,91.1,0,6.76,0,11.98,4.09,7.87,0,-76.8,6.08,20.064,0,6.83,0,1.203,0.67,0,2.79
3/27/2026,11:15, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.054,0,34.32,0,1.579,0,91.3,0,6.79,0,11.62,3.97,7.88,0,-77.7,6.08,19.937,0,12.11,0,1.188,0.87,0,3.56
3/27/2026,11:30, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.189,0,34.42,0,1.59,0,97.9,0,7.33,0,9.42,3.23,7.95,0,-81.7,6.08,19.514,0,11.25,0,1.19,1.01,0,4.13
3/27/2026,11:45, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.19,0,34.42,0,1.611,0,100.8,0,7.6,0,8.87,3.04,8,0,-84.2,6.08,19.197,0,9.43,0,1.206,1,0,4.1
3/27/2026,12:00, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.194,0,34.42,0,1.639,0,101.8,0,7.66,0,8.74,3,8.01,0,-84.8,6.09,19.251,0,9.21,0,1.206,0.96,0,3.94
3/27/2026,12:15, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.177,0,34.41,0,1.676,0,102.5,0,7.69,0,8.74,3,8.01,0,-85,6.08,19.378,0,8.88,0,1.205,1,0,4.09
3/27/2026,12:30, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.088,0,34.35,0,1.716,0,102.4,0,7.68,0,9.02,3.09,8.01,0,-85,6.08,19.456,0,8.65,0,1.202,1.1,0,4.5
3/27/2026,12:45, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.123,0,34.37,0,1.762,0,103.1,0,7.72,0,8.68,2.98,8.02,0,-85.4,6.08,19.557,0,8.92,0,1.198,1.08,0,4.41
3/27/2026,13:00, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.189,0,34.42,0,1.82,0,104.2,0,7.82,0,8.09,2.78,8.03,0,-86.1,6.08,19.43,0,9.06,0,1.194,1.15,0,4.69
3/27/2026,13:15, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.147,0,34.39,0,1.884,0,103.5,0,7.75,0,8.68,2.98,8.02,0,-85.5,6.08,19.559,0,8.22,0,1.189,1.11,0,4.52
3/27/2026,13:30, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.171,0,34.41,0,1.939,0,104,0,7.78,0,8.38,2.88,8.02,0,-85.7,6.08,19.539,0,6.75,0,1.192,0.99,0,4.05
3/27/2026,13:45, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.191,0,34.42,0,1.996,0,104.1,0,7.78,0,8.38,2.88,8.02,0,-85.8,6.07,19.577,0,6.81,0,1.188,0.94,0,3.84
3/27/2026,14:00, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.199,0,34.43,0,2.047,0,104.3,0,7.8,0,8.31,2.86,8.02,0,-85.9,6.08,19.563,0,5.14,0,1.194,0.93,0,3.84
3/27/2026,14:15, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.201,0,34.43,0,2.097,0,104.1,0,7.79,0,8.28,2.85,8.02,0,-85.9,6.08,19.584,0,4.72,0,1.204,0.84,0,3.47
3/27/2026,14:30, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.221,0,34.44,0,2.144,0,103.9,0,7.76,0,7.88,2.71,8.02,0,-85.8,6.08,19.639,0,4.46,0,1.194,0.65,0,2.71
3/27/2026,14:45, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.206,0,34.43,0,2.186,0,102.4,0,7.63,0,7.99,2.75,8.01,0,-85.1,6.08,19.758,0,3.72,0,1.192,0.77,0,3.16
3/27/2026,15:00, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.21,0,34.44,0,2.228,0,88.5,0,6.6,0,8.05,2.77,7.96,0,-82.1,6.08,19.751,0,5.02,0,1.192,0.42,0,1.78
3/27/2026,15:15, ,gtmfmwq_15E101700_032726_050000.bin,Fort Matanzas,GTMNERR,0,52.217,0,34.44,0,2.272,0,86.6,0,6.46,0,8.28,2.84,7.95,0,-81.4,6.08,19.743,0,3.11,0,1.193,0.45,0,1.88
