Date,Time,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Level,F_Level,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,fDOMQSU,fDOMRFU,pH,F_pH,pHmV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,ChlFluor,F_ChlFluor,Chlorophyllug/L
1/7/2026,11:00, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,22.826,<0> (CND),13.83,<0> (CND),-0.124,<0> (CND),81,<0> (CND),7.16,<0> (CND),64.58,21.62,7.44,<0> (CND),-49,5.79,17.267,<0> (CND),4.54,<0> (CND),1.198,1.57,<0> (CND),6.29
1/7/2026,11:15, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,23.528,0,14.29,0,-0.1,0,83.2,0,7.3,0,63.08,21.12,7.46,0,-50.5,5.81,17.529,0,5.21,0,1.191,1.86,0,7.47
1/7/2026,11:30, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,24.661,0,15.04,0,-0.075,0,87,0,7.53,0,60.82,20.36,7.5,0,-52.8,5.8,17.999,0,5.03,0,1.192,1.44,0,5.78
1/7/2026,11:45, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,25.736,0,15.76,0,-0.044,0,88,0,7.56,0,59.47,19.91,7.52,0,-54.1,5.81,18.156,0,5.75,0,1.184,1.67,0,6.68
1/7/2026,12:00, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,26.238,0,16.1,0,-0.012,0,88.2,0,7.55,0,58.82,19.69,7.53,0,-54.6,5.8,18.23,0,6.33,0,1.192,1.49,0,5.95
1/7/2026,12:15, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,28.087,0,17.34,0,0.019,0,87.8,0,7.46,0,59.15,19.8,7.55,0,-55.7,5.8,18.216,0,7.64,0,1.193,1.4,0,5.58
1/7/2026,12:30, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,30.853,0,19.23,0,0.052,0,85.9,0,7.24,0,53.69,17.97,7.57,0,-57,5.81,18.069,0,9.44,0,1.186,1.27,0,5.07
1/7/2026,12:45, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,31.652,0,19.77,0,0.091,0,86.9,0,7.28,0,52.32,17.51,7.6,0,-58.4,5.8,18.185,0,9.49,0,1.202,1.29,0,5.16
1/7/2026,13:00, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,32.566,0,20.4,0,0.128,0,89.3,0,7.41,0,52,17.41,7.62,0,-59.6,5.81,18.497,0,9.17,0,1.194,1.41,0,5.63
1/7/2026,13:15, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,33.39,0,20.97,0,0.162,0,91.1,0,7.5,0,50.51,16.91,7.64,0,-61,5.8,18.762,0,10.01,0,1.193,1.23,0,4.92
1/7/2026,13:30, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,33.995,0,21.39,0,0.195,0,91.6,0,7.5,0,49.49,16.56,7.66,0,-61.9,5.8,18.89,0,9,0,1.2,1.39,0,5.57
1/7/2026,13:45, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,35.158,0,22.19,0,0.219,0,95.1,0,7.68,0,45.97,15.39,7.7,0,-64.7,5.81,19.317,0,11.23,0,1.197,1.34,0,5.34
1/7/2026,14:00, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,36.028,0,22.8,0,0.237,0,96.8,0,7.75,0,44.16,14.78,7.74,0,-66.7,5.8,19.669,0,10.14,0,1.2,1.34,0,5.36
1/7/2026,14:15, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,36.466,0,23.1,0,0.244,0,97.1,0,7.74,0,42.98,14.39,7.75,0,-67.3,5.81,19.73,0,9.9,0,1.188,1.49,0,5.96
1/7/2026,14:30, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,36.787,0,23.33,0,0.246,0,96.9,0,7.71,0,41.87,14.01,7.75,0,-67.3,5.8,19.784,0,9.26,0,1.188,1.41,0,5.64
1/7/2026,14:45, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,37.145,0,23.58,0,0.235,0,92.2,0,7.32,0,40.14,13.44,7.71,0,-65.3,5.8,19.793,0,10.4,0,1.197,1.06,0,4.21
1/7/2026,15:00, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,37.724,0,23.99,0,0.214,0,91,0,7.21,0,39.15,13.11,7.73,0,-66.1,5.81,19.791,0,7.24,0,1.194,1.06,0,4.23
1/7/2026,15:15, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,37.225,0,23.64,0,0.196,0,94.4,0,7.5,0,40.98,13.72,7.74,0,-67.2,5.8,19.748,0,9.78,0,1.186,1.25,0,4.99
1/7/2026,15:30, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,36.531,0,23.15,0,0.179,0,95.3,0,7.6,0,43.1,14.43,7.74,0,-66.8,5.81,19.665,0,8.97,0,1.186,1.49,0,5.95
1/7/2026,15:45, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,35.615,0,22.51,0,0.16,0,95.2,0,7.64,0,45.23,15.14,7.73,0,-66.2,5.8,19.59,0,9.39,0,1.197,1.57,0,6.29
1/7/2026,16:00, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,35.051,0,22.12,0,0.136,0,93.8,0,7.57,0,46.19,15.46,7.71,0,-64.9,5.8,19.429,0,9.57,0,1.189,1.63,0,6.52
1/7/2026,16:15, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,34.164,0,21.5,0,0.117,0,94,0,7.62,0,47.31,15.84,7.7,0,-64.8,5.81,19.381,0,6.63,0,1.202,1.8,0,7.19
1/7/2026,16:30, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,33.207,0,20.84,0,0.094,0,93.3,0,7.61,0,48.58,16.26,7.69,0,-63.8,5.8,19.257,0,6.96,0,1.2,1.64,0,6.58
1/7/2026,16:45, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,33.306,0,20.91,0,0.072,0,91.8,0,7.5,0,49.15,16.45,7.67,0,-62.9,5.8,19.144,0,6.96,0,1.193,1.95,0,7.83
1/7/2026,17:00, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,34.179,0,21.51,0,0.054,0,90.9,0,7.4,0,48.13,16.11,7.68,0,-63.1,5.8,19.127,0,8.29,0,1.192,1.78,0,7.15
1/7/2026,17:15, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,33.47,0,21.02,0,0.035,0,90.1,0,7.38,0,48.83,16.34,7.67,0,-62.8,5.8,19.028,0,7.03,0,1.193,1.79,0,7.17
1/7/2026,17:30, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,32.823,0,20.58,0,0.016,0,89.5,0,7.36,0,50.99,17.07,7.66,0,-61.9,5.8,18.914,0,6.9,0,1.191,2.03,0,8.15
1/7/2026,17:45, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,31.413,0,19.61,0,-0.002,0,88.7,0,7.36,0,53.17,17.8,7.63,0,-60.4,5.8,18.75,0,6.98,0,1.194,2.22,0,8.92
1/7/2026,18:00, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,32.201,0,20.15,0,-0.021,0,88.5,0,7.32,0,52.43,17.55,7.63,0,-60.6,5.81,18.782,0,6.75,0,1.193,2.15,0,8.63
1/7/2026,18:15, ,gtmpcwq_24G103008_010726_050000.bin,Pellicer Creek,GTMNERR,0,30.958,0,19.3,0,-0.039,0,87.7,0,7.3,0,53.65,17.96,7.62,0,-59.6,5.79,18.677,0,7.58,0,1.198,2.25,0,9.02
