Date,Time,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Level,F_Level,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,fDOMQSU,fDOMRFU,pH,F_pH,pHmV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,ChlFluor,F_ChlFluor,Chlorophyllug/L
3/4/2026,13:30, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,37.884,<0> (CND),24.09,<0> (CND),0.37,<0> (CND),79,<0> (CND),6.15,<0> (CND),53.57,17.8,7.65,<0> (CND),-63.3,6.36,20.724,<0> (CND),11.63,<0> (CND),1.194,1.78,<0> (CND),7.31
3/4/2026,13:45, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,36.242,0,22.94,0,0.346,0,81.3,0,6.33,0,57.25,19.02,7.63,0,-62.3,6.36,21.04,0,12.44,0,1.188,1.99,0,8.17
3/4/2026,14:00, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,34.892,0,21.99,0,0.321,0,81.9,0,6.4,0,60.28,20.03,7.62,0,-61.3,6.36,21.175,0,13.26,0,1.191,2.26,0,9.28
3/4/2026,14:15, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,32.678,0,20.46,0,0.296,0,83.5,0,6.55,0,64.92,21.58,7.59,0,-59.9,6.36,21.433,0,12.37,0,1.189,2.49,0,10.22
3/4/2026,14:30, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,31.37,0,19.56,0,0.272,0,83.2,0,6.56,0,68.02,22.61,7.57,0,-58.6,6.36,21.501,0,13,0,1.191,2.67,0,10.98
3/4/2026,14:45, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,29.723,0,18.43,0,0.248,0,83.3,0,6.59,0,70.48,23.43,7.55,0,-57.6,6.36,21.607,0,11,0,1.186,2.82,0,11.58
3/4/2026,15:00, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,29.053,0,17.97,0,0.221,0,83.5,0,6.62,0,71.87,23.9,7.54,0,-57.1,6.36,21.651,0,11.56,0,1.183,2.99,0,12.29
3/4/2026,15:15, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,28.242,0,17.42,0,0.194,0,85.5,0,6.77,0,72.98,24.27,7.55,0,-57.4,6.36,21.883,0,10.58,0,1.195,2.89,0,11.87
3/4/2026,15:30, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,28.055,0,17.3,0,0.17,0,83.6,0,6.65,0,73.56,24.46,7.53,0,-56.3,6.36,21.684,0,10.17,0,1.194,3.01,0,12.37
3/4/2026,15:45, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,26.685,0,16.37,0,0.146,0,85.2,0,6.78,0,75.89,25.24,7.53,0,-56.3,6.36,21.958,0,9.83,0,1.187,3,0,12.3
3/4/2026,16:00, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,27.412,0,16.86,0,0.121,0,82.9,0,6.6,0,74.64,24.82,7.52,0,-55.5,6.36,21.786,0,9.88,0,1.186,3.05,0,12.51
3/4/2026,16:15, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,26.056,0,15.95,0,0.1,0,84.8,0,6.77,0,77.07,25.63,7.52,0,-55.8,6.36,21.904,0,10.02,0,1.197,3.12,0,12.8
3/4/2026,16:30, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,26.144,0,16.01,0,0.077,0,84.2,0,6.71,0,77.38,25.74,7.51,0,-55.2,6.36,21.928,0,9.54,0,1.186,2.87,0,11.79
3/4/2026,16:45, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,25.652,0,15.68,0,0.059,0,83.6,0,6.68,0,77.94,25.92,7.5,0,-54.7,6.36,21.943,0,9.85,0,1.192,3.27,0,13.44
3/4/2026,17:00, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,25.44,0,15.54,0,0.039,0,82.9,0,6.64,0,78.58,26.13,7.5,0,-54.4,6.36,21.885,0,8.8,0,1.185,3.16,0,12.98
3/4/2026,17:15, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,25.448,0,15.54,0,0.018,0,82.5,0,6.61,0,78.93,26.25,7.49,0,-54.1,6.36,21.855,0,7.99,0,1.184,3.67,0,15.09
3/4/2026,17:30, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,24.806,0,15.11,0,0.001,0,83.3,0,6.68,0,79.76,26.53,7.49,0,-54,6.37,21.935,0,8.9,0,1.197,3.32,0,13.65
3/4/2026,17:45, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,23.994,0,14.57,0,-0.015,0,84.2,0,6.75,0,80.89,26.9,7.48,0,-53.7,6.36,22.1,0,8.55,0,1.188,2.81,0,11.56
3/4/2026,18:00, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,23.483,0,14.23,0,-0.03,0,84.6,0,6.79,0,81.8,27.21,7.49,0,-54.1,6.37,22.121,0,8.44,0,1.183,2.94,0,12.07
3/4/2026,18:15, ,gtmpcwq_24G103008_030426_050000.bin,Pellicer Creek,GTMNERR,0,24.35,0,14.81,0,-0.047,0,82.4,0,6.62,0,80.33,26.72,7.47,0,-52.8,6.36,21.979,0,8.61,0,1.187,4.58,0,18.81
