Date,Time,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Level,F_Level,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,fDOMQSU,fDOMRFU,pH,F_pH,pHmV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,ChlFluor,F_ChlFluor,ChlorophylluG/L
3/17/2026,10:00, ,gtmpcwq_24G103007_031726_050000.bin,Pellicer Creek,GTMNERR,0,26.856,<0> (CND),16.52,<0> (CND),0.288,<0> (CND),78.3,<0> (CND),6.83,<0> (CND),90.9,30.6,7.66,<0> (CND),-73.7,6.23,17.152,<0> (CND),11.46,<0> (CND),1.189,2.74,<0> (CND),11.13
3/17/2026,10:15, ,gtmpcwq_24G103007_031726_050000.bin,Pellicer Creek,GTMNERR,0,27.234,0,16.77,0,0.289,0,76.7,0,6.65,0,88.83,29.91,7.65,0,-73.2,6.23,17.382,0,10.75,0,1.196,2.81,0,11.4
3/17/2026,10:30, ,gtmpcwq_24G103007_031726_050000.bin,Pellicer Creek,GTMNERR,0,27.683,0,17.07,0,0.277,0,72.9,0,6.32,0,87.07,29.33,7.62,0,-71.3,6.23,17.323,0,11.21,0,1.183,2.52,0,10.23
3/17/2026,10:45, ,gtmpcwq_24G103007_031726_050000.bin,Pellicer Creek,GTMNERR,0,28.434,0,17.58,0,0.258,0,70.1,0,6.06,0,84.55,28.49,7.59,0,-69.8,6.24,17.255,0,11.67,0,1.189,2.09,0,8.48
3/17/2026,11:00, ,gtmpcwq_24G103007_031726_050000.bin,Pellicer Creek,GTMNERR,0,27.917,0,17.23,0,0.238,0,72,0,6.24,0,86,28.97,7.62,0,-71.6,6.24,17.305,0,11.4,0,1.193,2.28,0,9.24
3/17/2026,11:15, ,gtmpcwq_24G103007_031726_050000.bin,Pellicer Creek,GTMNERR,0,27.593,0,17.01,0,0.217,0,73.2,0,6.34,0,88.87,29.92,7.62,0,-71.6,6.24,17.354,0,10.23,0,1.192,2.26,0,9.17
3/17/2026,11:30, ,gtmpcwq_24G103007_031726_050000.bin,Pellicer Creek,GTMNERR,0,26.305,0,16.14,0,0.197,0,74.4,0,6.45,0,92.13,31.01,7.63,0,-71.9,6.24,17.548,0,10.37,0,1.182,2.51,0,10.2
3/17/2026,11:45, ,gtmpcwq_24G103007_031726_050000.bin,Pellicer Creek,GTMNERR,0,24.946,0,15.23,0,0.17,0,75.4,0,6.52,0,94.89,31.92,7.62,0,-71.4,6.24,17.984,0,9.81,0,1.2,2.48,0,10.06
3/17/2026,12:00, ,gtmpcwq_24G103007_031726_050000.bin,Pellicer Creek,GTMNERR,0,24.471,0,14.92,0,0.143,0,75.8,0,6.53,0,94.58,31.82,7.63,0,-72,6.24,18.251,0,10.54,0,1.184,2.6,0,10.54
3/17/2026,12:15, ,gtmpcwq_24G103007_031726_050000.bin,Pellicer Creek,GTMNERR,0,24.334,0,14.83,0,0.121,0,75.6,0,6.53,0,97.19,32.69,7.62,0,-71.7,6.24,18.196,0,8.93,0,1.186,2.6,0,10.55
