Date,Time,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Depth,F_Depth,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,fDOMQSU,fDOMRFU,pH,F_pH,pHmV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,ChlFluor,F_ChlFluor,Chlorophyllug/L
1/9/2026,10:45, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,50.774,<0> (CND),33.37,<0> (CND),5.369,<0> (CND),98.4,<0> (CND),7.62,<0> (CND),12.81,4.77,7.85,<0> (CND),-80.8,6.08,18.058,<0> (CND),3.49,<0> (CND),1.203,1.25,<0> (CND),5.07
1/9/2026,11:00, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,50.897,0,33.46,0,5.423,0,97.8,0,7.59,0,12.08,4.52,7.9,0,-83.5,6.1,17.967,0,5.13,0,1.195,2.1,0,8.51
1/9/2026,11:15, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,50.955,0,33.5,0,5.483,0,98,0,7.6,0,11.63,4.37,7.93,0,-85.4,6.1,17.922,0,4.55,0,1.196,1.25,0,5.06
1/9/2026,11:30, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,51.025,0,33.56,0,5.541,0,98.1,0,7.62,0,11.19,4.21,7.96,0,-86.9,6.1,17.834,0,4.24,0,1.196,1.53,0,6.21
1/9/2026,11:45, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,51.103,0,33.61,0,5.6,0,98.2,0,7.64,0,10.57,4,7.98,0,-88,6.11,17.747,0,4.89,0,1.199,1.11,0,4.51
1/9/2026,12:00, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,51.269,0,33.73,0,5.644,0,98.9,0,7.7,0,9.77,3.73,8,0,-89.1,6.09,17.678,0,5.35,0,1.201,1.87,0,7.57
1/9/2026,12:15, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,51.375,0,33.81,0,5.676,0,99,0,7.7,0,9.15,3.52,8.01,0,-89.8,6.1,17.653,0,4.76,0,1.206,1.52,0,6.15
1/9/2026,12:30, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,51.552,0,33.94,0,5.71,0,99.5,0,7.75,0,8.42,3.27,8.02,0,-90.8,6.09,17.603,0,5.34,0,1.2,1.78,0,7.22
1/9/2026,12:45, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,51.659,0,34.02,0,5.735,0,99.6,0,7.75,0,7.73,3.04,8.04,0,-91.4,6.1,17.587,0,5.06,0,1.198,1.52,0,6.17
1/9/2026,13:00, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,51.739,0,34.08,0,5.752,0,100.2,0,7.8,0,7.22,2.86,8.04,0,-91.9,6.1,17.543,0,7.3,0,1.198,1.39,0,5.61
1/9/2026,13:15, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,51.778,0,34.11,0,5.755,0,99.7,0,7.76,0,7.1,2.82,8.05,0,-92.1,6.09,17.555,0,6.01,0,1.193,1.25,0,5.07
1/9/2026,13:30, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,51.802,0,34.13,0,5.75,0,95.9,0,7.46,0,6.96,2.77,8.04,0,-91.4,6.1,17.549,0,2.34,0,1.2,0.52,0,2.12
1/9/2026,13:45, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,51.815,0,34.14,0,5.736,0,89.3,0,6.95,0,6.81,2.73,8.01,0,-89.7,6.09,17.54,0,2.15,0,1.206,0.26,0,1.05
1/9/2026,14:00, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,51.818,0,34.14,0,5.704,0,79.4,0,6.18,0,6.92,2.76,7.98,0,-88.3,6.09,17.543,0,2.53,0,1.209,0.2,0,0.84
1/9/2026,14:15, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,51.535,0,33.93,0,5.668,0,102,0,7.86,0,8.17,3.19,8.04,0,-91.6,6.1,18.161,0,2.73,0,1.207,0.79,0,3.2
1/9/2026,14:30, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,51.449,0,33.87,0,5.606,0,104.8,0,8.1,0,8.81,3.41,8.05,0,-92.3,6.09,18.035,0,2.66,0,1.208,0.91,0,3.68
1/9/2026,14:45, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,51.306,0,33.76,0,5.533,0,103.9,0,8.02,0,9.45,3.62,8.04,0,-91.6,6.1,18.08,0,2.62,0,1.202,1.13,0,4.57
1/9/2026,15:00, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,51.152,0,33.65,0,5.461,0,106.1,0,8.1,0,10.53,3.99,8.02,0,-90.8,6.08,18.741,0,3.61,0,1.193,1.03,0,4.17
1/9/2026,15:15, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,50.961,0,33.51,0,5.387,0,104.4,0,7.97,0,11.05,4.17,8.01,0,-89.9,6.09,18.722,0,3.38,0,1.196,0.86,0,3.51
1/9/2026,15:30, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,50.963,0,33.51,0,5.324,0,104.3,0,7.93,0,11.15,4.2,8,0,-89.6,6.1,19,0,3.76,0,1.202,0.59,0,2.39
1/9/2026,15:45, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,50.861,0,33.44,0,5.253,0,103.7,0,7.86,0,11.67,4.38,7.99,0,-88.8,6.09,19.215,0,3.87,0,1.202,0.83,0,3.39
1/9/2026,16:00, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,50.984,0,33.53,0,5.177,0,104.8,0,7.89,0,11.24,4.23,7.99,0,-89.2,6.09,19.499,0,3.52,0,1.196,0.76,0,3.08
1/9/2026,16:15, ,gtmsswq_16J102351_010926_074500.bin,San Sebastian,default user,0,50.703,0,33.32,0,5.102,0,102.6,0,7.75,0,12.48,4.66,7.97,0,-87.8,6.08,19.411,0,4.77,0,1.197,0.71,0,2.87
