Date,Time,F_Record,FILENAME,SITENAME,USERID,FAULTCODE,SpCond,F_SpCond,Sal,F_Sal,Depth,F_Depth,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,fDOMQSU,fDOMRFU,pH,F_pH,pHmV,BATTERY,Temp,F_Temp,Turb,F_Turb,WIPERPOSITIONVOLT,ChlFluor,F_ChlFluor,ChlorophylluG/L
3/27/2026,11:30, ,gtmsswq_16J102351_032726_050000.bin,San Sebastian,default user,0,51.463,<0> (CND),33.88,<0> (CND),4.751,<0> (CND),84.6,<0> (CND),6.26,<0> (CND),17.54,5.88,7.72,<0> (CND),-74.9,6.11,20.323,<0> (CND),14.2,<0> (CND),1.2,0.93,<0> (CND),3.62
3/27/2026,11:45, ,gtmsswq_16J102351_032726_050000.bin,San Sebastian,default user,0,51.456,0,33.88,0,4.822,0,82.7,0,6.12,0,17.02,5.71,7.73,0,-75.5,6.12,20.316,0,7.15,0,1.206,0.82,0,3.16
3/27/2026,12:00, ,gtmsswq_16J102351_032726_050000.bin,San Sebastian,default user,0,51.451,0,33.87,0,4.893,0,84.9,0,6.29,0,17.3,5.8,7.74,0,-76.3,6.1,20.272,0,6.56,0,1.209,0.87,0,3.38
3/27/2026,12:15, ,gtmsswq_16J102351_032726_050000.bin,San Sebastian,default user,0,51.471,0,33.89,0,4.956,0,84.3,0,6.26,0,17.18,5.77,7.74,0,-76.6,6.11,20.159,0,6.31,0,1.204,0.81,0,3.13
3/27/2026,12:30, ,gtmsswq_16J102351_032726_050000.bin,San Sebastian,default user,0,51.454,0,33.87,0,5.02,0,85.8,0,6.36,0,17.27,5.8,7.76,0,-77.5,6.1,20.172,0,6.66,0,1.197,0.96,0,3.76
3/27/2026,12:45, ,gtmsswq_16J102351_032726_050000.bin,San Sebastian,default user,0,51.502,0,33.91,0,5.084,0,86.3,0,6.41,0,16.68,5.6,7.77,0,-78.1,6.11,20.15,0,7.29,0,1.194,1.03,0,4.02
3/27/2026,13:00, ,gtmsswq_16J102351_032726_050000.bin,San Sebastian,default user,0,51.519,0,33.92,0,5.144,0,86.2,0,6.4,0,16.38,5.5,7.78,0,-78.5,6.11,20.17,0,7.19,0,1.202,0.99,0,3.88
3/27/2026,13:15, ,gtmsswq_16J102351_032726_050000.bin,San Sebastian,default user,0,51.581,0,33.97,0,5.202,0,88.3,0,6.54,0,15.69,5.26,7.8,0,-79.8,6.11,20.241,0,7.39,0,1.205,1.1,0,4.33
3/27/2026,13:30, ,gtmsswq_16J102351_032726_050000.bin,San Sebastian,default user,0,51.665,0,34.03,0,5.263,0,90.9,0,6.75,0,14.64,4.91,7.82,0,-81.3,6.11,20.124,0,5.8,0,1.211,1.22,0,4.78
3/27/2026,13:45, ,gtmsswq_16J102351_032726_050000.bin,San Sebastian,default user,0,51.684,0,34.05,0,5.315,0,90.6,0,6.74,0,14.55,4.88,7.83,0,-81.5,6.1,20.007,0,6.05,0,1.209,1.23,0,4.83
