"station_code","fullstationname","datetimestamp","monitoringprogram","rep","Depth","F_Depth","Depth_S","F_Depth_S","SECCHI","F_SECCHI","WIND_S","F_WIND_S","WIND_D","F_WIND_D","ATEMP","F_ATEMP","WTEM_T","F_WTEM_T","SpCond_T","F_SpCond_T","pH_T","F_pH_T","DO_T","F_DO_T","SALT_T","F_SALT_T","WTEM_B","F_WTEM_B","SpCond_B","F_SpCond_B","pH_B","F_pH_B","DO_G_B","F_DO_G_B","SALT_B","F_SALT_B","DO_B","F_DO_B"
"gtmpinut","gtmpinut1.1","2025-12-03 10:46:00","1","1","17.2",NA,"3",NA,"1",NA,"2.2999999999999998",NA,"NW",NA,"17.100000000000001",NA,"18.899999999999999",NA,"36542",NA,"7.64",NA,"7.01",NA,"23.21",NA,"18.899999999999999",NA,"39570",NA,"7.64",NA,"6.65",NA,"25.29",NA,NA,NA
"gtmpinut","gtmpinut1.2","2025-12-03 10:48:00","1","2","17.2",NA,"3",NA,"1",NA,"2.2999999999999998",NA,"NW",NA,"17.100000000000001",NA,"18.899999999999999",NA,"36542",NA,"7.64",NA,"7.01",NA,"23.21",NA,"18.899999999999999",NA,"39570",NA,"7.64",NA,"6.65",NA,"25.29",NA,NA,NA
"gtmssnut","gtmssnut1.1","2025-12-03 09:10:00","1","1","28.5",NA,"3",NA,"0.8",NA,"3.2",NA,"NW",NA,"16.100000000000001",NA,"19.399999999999999",NA,"51053",NA,"7.96",NA,"7.06",NA,"33.58",NA,"19.3",NA,"51012",NA,"7.94",NA,"6.79",NA,"33.6",NA,NA,NA
"gtmssnut","gtmssnut1.2","2025-12-03 09:12:00","1","2","28.5",NA,"3",NA,"0.8",NA,"3.2",NA,"NW",NA,"16.100000000000001",NA,"19.399999999999999",NA,"51053",NA,"7.96",NA,"7.06",NA,"33.58",NA,"19.3",NA,"51012",NA,"7.94",NA,"6.79",NA,"33.6",NA,NA,NA
"gtmfmnut","gtmfmnut1.1","2025-12-03 07:57:00","1","1","13.7",NA,"3",NA,"0.9",NA,"3.5",NA,"N",NA,"16.399999999999999",NA,"20.3",NA,"51765",NA,"7.62",NA,"6.72",NA,"34.1",NA,"20.399999999999999",NA,"51761",NA,"7.8",NA,"6.66",NA,"34.1",NA,NA,NA
"gtmfmnut","gtmfmnut1.2","2025-12-03 07:59:00","1","2","13.7",NA,"3",NA,"0.9",NA,"3.5",NA,"N",NA,"16.399999999999999",NA,"20.3",NA,"51765",NA,"7.62",NA,"6.72",NA,"34.1",NA,"20.399999999999999",NA,"51761",NA,"7.8",NA,"6.66",NA,"34.1",NA,NA,NA
"gtmpcnut","gtmpcnut1.1","2025-12-03 10:48:00","1","1","2.7",NA,"1.7",NA,"0.5",NA,"W",NA,"1.5",NA,"19.399999999999999",NA,NA,"<-2>",NA,"<-2>",NA,"<-2>",NA,"<-2>",NA,"<-2>","19.945",NA,"45267.6",NA,"7.81",NA,"6",NA,"29.36",NA,NA,NA
"gtmpcnut","gtmpcnut1.2","2025-12-03 10:52:00","1","2","2.7",NA,"1.7",NA,"0.5",NA,"W",NA,"1.5",NA,"19.399999999999999",NA,NA,"<-2>",NA,"<-2>",NA,"<-2>",NA,"<-2>",NA,"<-2>","19.945",NA,"45267.6",NA,"7.81",NA,"6",NA,"29.36",NA,NA,NA
"gtmpcnut","gtmpcnut2.1","2025-12-16 09:30:00","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.186999999999999",NA,"38.914000000000001",NA,"7.95",NA,NA,NA,"24.77",NA,"7.94",NA
"gtmpcnut","gtmpcnut2.2","2025-12-16 12:00:00","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.117000000000001",NA,"32.176000000000002",NA,"7.84",NA,NA,NA,"20.11",NA,"8",NA
"gtmpcnut","gtmpcnut2.3","2025-12-16 14:30:00","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.798999999999999",NA,"28.765999999999998",NA,"7.79",NA,NA,NA,"17.8",NA,"8.06",NA
"gtmpcnut","gtmpcnut2.4","2025-12-16 17:00:00","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.682",NA,"25.823",NA,"7.77",NA,NA,NA,"15.82",NA,"8.4",NA
"gtmpcnut","gtmpcnut2.5","2025-12-16 19:30:00","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.737",NA,"28.558",NA,"7.83",NA,NA,NA,"17.66",NA,"8.58",NA
"gtmpcnut","gtmpcnut2.6","2025-12-16 22:00:00","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.492000000000001",NA,"31.004000000000001",NA,"7.85",NA,NA,NA,"19.32",NA,"8.4",NA
