"station_code","fullstationname","datetimestamp","monitoringprogram","rep","PO4F","F_PO4F","TP","F_TP","TDP","F_TDP","NH4F","F_NH4F","NO23F","F_NO23F","TKN","F_TKN","TKNF","F_TKNF","CHLA_N","F_CHLA_N","UncCHLa_N","F_UncCHLa_N","PHEA","F_PHEA","TSS","F_TSS","color","F_color","FECCOL_CFU","F_FECCOL_CFU","ENTERO_MPN","F_ENTERO_MPN","WTEM_N","F_WTEM_N","SALT_N","F_SALT_N","DO_N","F_DO_N","PH_N","F_PH_N","SECCHI","F_SECCHI","DOC","F_DOC","IRR0_N","F_IRR0_N","IRR1_N","F_IRR1_N","Kd_N","F_Kd_N","adjustedtimestamp"
"gtmfmnut","gtmfmnut1.1","2025-12-03 07:57:00","1","1","0.016","","0.041","","0.024","","0.018","","0.004","I","0.33","I","0.29","I","2.7","","3.4","","0.93","I","11","","2.0","U","11","BQ","10.0","AQ","20.399999999999999","","34.1","","","","7.8","","0.9","","3.8","I","","","","","","","2025-12-03 07:57:00"
"gtmfmnut","gtmfmnut1.2","2025-12-03 07:59:00","1","2","0.016","","0.043","","0.024","","0.015","","0.003","I","0.35","I","0.33","I","2.5","","3.2","","0.96","I","16","","2.4","I","14","BQ","10.0","UQ","20.399999999999999","","34.1","","","","7.8","","0.9","","3.6","I","","","","","","","2025-12-03 07:59:00"
"gtmpcnut","gtmpcnut1.1","2025-12-03 10:48:00","1","1","0.024","","0.055","","0.036","","0.008","","0.003","U","0.47","","0.37","I","3.3","","4.2","","1.4","I","14","","23","","58","BQ","20.0","Q","19.945","","29.36","","","","7.81","","0.5","","5.9","","","","","","","","2025-12-03 10:48:00"
"gtmpcnut","gtmpcnut1.2","2025-12-03 10:52:00","1","2","0.024","","0.054","","0.034","","0.009","","0.003","U","0.43","","0.46","","3.8","","4.5","","1.2","U","14","","23","A","75","BQ","10.0","Q","19.945","","29.36","","","","7.81","","0.5","","6.2","","","","","","","","2025-12-03 10:52:00"
"gtmpinut","gtmpinut1.1","2025-12-03 10:46:00","1","1","0.029","","0.070","","0.040","","0.030","","0.012","","0.61","","0.41","","4.9","","6.5","","2.4","I","21","","28","","8","BQ","10.0","Q","18.899999999999999","","25.29","","","","7.64","","1","","9.0","","","","","","","","2025-12-03 10:46:00"
"gtmpinut","gtmpinut1.2","2025-12-03 10:48:00","1","2","0.031","","0.067","","0.039","","0.030","","0.013","","0.60","","0.40","","5.3","","7.1","","2.7","I","21","","27","","22","BQ","20.0","Q","18.899999999999999","","25.29","","","","7.64","","1","","7.9","","","","","","","","2025-12-03 10:48:00"
"gtmssnut","gtmssnut1.1","2025-12-03 09:10:00","1","1","0.012","Q","0.038","","0.019","","0.017","","0.008","I","0.32","I","0.31","I","4.9","","5.8","","1.3","I","21","","2.0","U","25","BQ","30.0","Q","19.3","","33.6","","","","7.94","","0.8","","3.7","I","","","","","","","2025-12-03 09:10:00"
"gtmssnut","gtmssnut1.2","2025-12-03 09:12:00","1","2","0.011","","0.041","","0.021","","0.017","","0.008","I","0.30","I","0.29","I","4.8","","6.2","","1.9","I","22","","2.0","U","44","BQ","20.0","Q","19.3","","33.6","","","","7.94","","0.8","","3.6","I","","","","","","","2025-12-03 09:12:00"
"gtmpcnut","gtmpcnut2.1","2025-12-16 09:30:00","2","1","0.019","Q","0.048","","0.034","","0.015","","0.003","I","0.40","","0.32","I","2.1","IQ","2.6","AQ","1.3","UQ","8","I","","","","","","","13.186999999999999","","24.77","","7.94","","7.95","","","","6.3","","","","","","","","2025-12-16 09:30:00"
"gtmpcnut","gtmpcnut2.10","2025-12-17 08:00:00","2","10","0.022","","0.055","","","","0.016","","0.006","I","0.48","","","","3.4","","4.0","","1.3","U","11","","","","","","20.0","Q","14.84","","20.78","","7.65","","7.82","","","","7.7","","","","","","","","2025-12-17 08:00:00"
"gtmpcnut","gtmpcnut2.11","2025-12-17 10:30:00","2","11","0.018","","0.046","","","","0.011","","0.004","I","0.39","I","","","2.4","","3.1","","1.0","I","14","","","","","","31.0","Q","14.87","","25.25","","7.56","","7.95","","","","5.8","","","","","","","","2025-12-17 10:30:00"
"gtmpcnut","gtmpcnut2.3","2025-12-16 14:30:00","2","3","0.027","Q","0.055","","","","0.016","","0.008","I","0.41","","","","3.6","","4.3","","1.1","U","9","I","","","","","41.0","Q","14.798999999999999","","17.8","","8.06","","7.79","","","","7.3","","","","","","","","2025-12-16 14:30:00"
"gtmpcnut","gtmpcnut2.4","2025-12-16 17:00:00","2","4","0.027","","0.066","","","","0.016","","0.008","I","0.47","","","","4.1","","5.4","","2.0","I","13","","","","","","85.0","AQ","15.682","","15.82","","8.4","","7.77","","","","8.0","","","","","","","","2025-12-16 17:00:00"
"gtmpcnut","gtmpcnut2.5","2025-12-16 19:30:00","2","5","0.023","","0.060","","","","0.012","","0.008","I","0.39","I","","","3.0","","4.1","","1.6","I","10","","","","","","20.0","Q","15.737","","17.66","","8.58","","7.83","","","","7.7","","","","","","","","2025-12-16 19:30:00"
"gtmpcnut","gtmpcnut2.6","2025-12-16 22:00:00","2","6","0.024","","0.054","","","","0.014","","0.007","I","0.39","I","","","2.4","","3.2","","1.2","I","8","I","","","","","10.0","Q","15.492000000000001","","19.32","","8.4","","7.85","","","","7.3","","","","","","","","2025-12-16 22:00:00"
