station_code,fullstationname,datetimestamp,monitoringprogram,rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO23F,F_NO23F,TKN,F_TKN,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,adjustedtimestamp
131westpass,131westpass,6/4/2024 10:20,,,,0.004,U,0.022,,0.002,I,0.004,U,0.41,,11,,12,,1.4,U,8,I,6/4/2024 9:20
141drybar,141drybar,6/4/2024 10:43,,,,0.004,U,0.028,,0.004,I,0.032,,0.43,,19,,20,,2,U,5,I,6/4/2024 9:43
151pilot'scove,151pilot'scove,6/4/2024 10:02,,,,0.004,U,0.042,,0.04,,0.004,U,0.49,,27,,29,,2.5,U,12,,6/4/2024 9:02
161midbay,161midbay,6/4/2024 11:00,,,,0.004,U,0.023,,0.003,I,0.065,,0.46,,14,A,15,A,1.4,U,6,I,6/4/2024 10:00
171eastbaybridge,171eastbaybridge,6/4/2024 8:41,,,,0.004,I,0.034,,0.019,,0.22,,0.39,,5.4,,6.1,,1.4,U,9,I,6/4/2024 7:41
181eastbaysurface,181eastbaysurface,6/4/2024 8:12,,,,0.004,U,0.038,,0.003,I,0.031,,0.51,,20,,22,,2.2,I,9,I,6/4/2024 7:12
191eastbaybottom,191eastbaybottom,6/4/2024 8:14,,,,0.004,U,0.039,,0.003,I,0.029,,0.55,,21,,23,,2,U,10,I,6/4/2024 7:14
201sike'scut,201sike'scut,6/4/2024 9:41,,,,0.004,U,0.01,,0.002,U,0.004,U,0.3,I,3,,2.9,,1,U,5,I,6/4/2024 8:41
211nick'shole,211nick'shole,6/4/2024 9:21,,,,0.004,U,0.022,,0.002,U,0.005,I,0.42,,13,,14,,1.4,U,6,I,6/4/2024 8:21
221catpoint,221catpoint,6/4/2024 9:03,,,,0.004,U,0.031,,0.004,I,0.017,,0.5,,12,,14,,2.2,I,15,,6/4/2024 8:03
231river,231river,6/4/2024 11:26,,,,0.016,,0.042,,0.035,,0.37,,0.35,,2.8,I,3.6,,1.4,U,10,I,6/4/2024 10:26
240isco,240isco,6/4/2024 9:15,,,,0.004,U,0.041,,0.017,,0.033,,0.59,,9.3,,11,,2,I,8,I,6/4/2024 8:15
241isco,241isco,6/4/2024 11:45,,,,0.004,U,0.038,,0.021,,0.058,,0.57,,19,,22,,3.5,I,12,,6/4/2024 10:45
242isco,242isco,6/4/2024 14:15,,,,0.004,U,0.04,,0.016,,0.031,,0.6,,21,,24,,3.2,I,11,,6/4/2024 13:15
243isco,243isco,6/4/2024 16:45,,,,0.004,U,0.046,,0.012,,0.004,U,0.72,,22,,25,,4,I,14,,6/4/2024 15:45
244isco,244isco,6/4/2024 19:15,,,,0.004,U,0.045,,0.014,,0.004,U,0.71,,18,,21,,3.7,I,20,,6/4/2024 18:15
245isco,245isco,6/4/2024 21:45,,,,0.004,U,0.048,,0.008,,0.004,U,0.76,,16,,19,,4.2,I,15,,6/4/2024 20:45
246isco,246isco,6/5/2024 0:15,,,,0.004,U,0.048,,0.005,,0.004,U,0.72,,18,,20,,2.7,I,15,,6/4/2024 23:15
247isco,247isco,6/5/2024 2:45,,,,0.004,U,0.048,,0.014,,0.004,U,0.7,,18,,22,,4.5,I,18,,6/5/2024 1:45
248isco,248isco,6/5/2024 5:15,,,,0.004,U,0.039,,0.024,,0.093,,0.56,,15,,18,,3.4,U,14,,6/5/2024 4:15
249isco,249isco,6/5/2024 7:45,,,,0.004,U,0.035,,0.044,,0.11,,0.53,,15,,17,,2.7,I,12,,6/5/2024 6:45
