"station_code","fullstationname","datetimestamp","monitoringprogram","rep","F_Record","PO4F","F_PO4F","TP","F_TP","TDP","F_TDP","NH4F","F_NH4F","NO23F","F_NO23F","TKN","F_TKN","TKNF","F_TKNF","CHLA_N","F_CHLA_N","UncCHLa_N","F_UncCHLa_N","PHEA","F_PHEA","TSS","F_TSS","TURB_N","F_TURB_N","color","F_color","FECCOL_CFU","F_FECCOL_CFU","ENTERO_MPN","F_ENTERO_MPN","DOC","F_DOC","IRR0_N","F_IRR0_N","IRR1_N","F_IRR1_N","Kd_N","F_Kd_N","adjustedtimestamp"
"gtmfmnut","gtmfmnut1.1","2024-06-04 08:22:00","1","1","","0.005","I","0.028","","0.014","","0.01","J","0.004","U","0.34","I","0.23","I","3.9","","4.3","","1.0","U","6","I","","","12","U","4","BQ","10.0","UQ","2.2","I","","","","","","","2024-06-04 07:22:00"
"gtmfmnut","gtmfmnut1.2","2024-06-04 08:25:00","1","2","","0.005","I","0.030","","0.014","","0.004","I","0.004","U","0.21","I","0.25","I","3.5","","3.8","","1.0","U","7","I","","","12","U","3","UQ","10.0","UQ","3.4","I","","","","","","","2024-06-04 07:25:00"
"gtmpcnut","gtmpcnut1.1","2024-06-04 11:27:00","1","1","","0.032","","0.087","","0.052","","0.006","","0.005","I","0.57","","0.46","","14","A","15","A","2.0","U","16","","","","31","A","8","BQ","10.0","Q","9.0","","","","","","","","2024-06-04 10:27:00"
"gtmpcnut","gtmpcnut1.2","2024-06-04 11:31:00","1","2","","0.032","","0.083","","0.050","","0.008","","0.005","I","0.54","","0.45","","14","","15","","2.0","U","15","A","","","31","","6","BQ","10.0","Q","8.5","","","","","","","","2024-06-04 10:31:00"
"gtmpinut","gtmpinut1.1","2024-06-04 10:40:00","1","1","","0.031","","0.086","","0.046","","0.01","","0.004","U","0.64","","0.31","I","11","","13","","2.6","I","24","","","","10","AJ","6","BQ","10.0","UQ","6.0","","","","","","","","2024-06-04 09:40:00"
"gtmpinut","gtmpinut1.2","2024-06-04 10:42:00","1","2","","0.030","","0.080","","0.047","","0.009","","0.004","U","0.59","","0.19","I","14","","16","","3.2","I","25","","","","9.2","","3","BQ","10.0","UQ","6.8","","","","","","","","2024-06-04 09:42:00"
"gtmssnut","gtmssnut1.2","2024-06-04 09:19:00","1","2","","0.015","","0.049","","0.023","","0.011","","0.013","","0.29","I","0.35","I","6.3","","7.2","","1.1","I","19","","","","12","U","3","BQ","10.0","UQ","3.3","I","","","","","","","2024-06-04 08:19:00"
"gtmssnut","gtmssnut1.1","2024-06-04 09:17:00","1","1","","0.01","I","0.038","","0.018","","0.010","","0.005","I","0.33","I","0.28","I","4.6","","5.0","","1.0","U","18","","","","25","U","3","UQ","10.0","UQ","3.3","I","","","","","","","2024-06-04 08:17:00"
"gtmpcnut","gtmpcnut2.1","2024-06-17 09:30:00","2","1","","0.042","Q","0.10","","0.066","","0.005","","0.004","U","0.71","","0.47","","10","","12","","3.1","I","32","","","","","","","","","","7.8","","","","","","","","2024-06-17 08:30:00"
"gtmpcnut","gtmpcnut2.10","2024-06-18 08:00:00","2","10","","0.047","","0.11","","","","0.01","","0.004","U","0.75","","","","10","","13","","3.1","I","33","","","","","","","","109.0","Q","8.0","","","","","","","","2024-06-18 07:00:00"
"gtmpcnut","gtmpcnut2.11","2024-06-18 10:30:00","2","11","","0.044","","0.10","","","","0.006","","0.004","U","0.66","","","","16","","18","","2.6","I","24","","","","","","","","41.0","Q","6.7","","","","","","","","2024-06-18 09:30:00"
"gtmpcnut","gtmpcnut2.2","2024-06-17 12:00:00","2","2","","0.047","","0.11","","","","0.005","","0.004","U","0.77","","","","12","","15","","4.3","I","23","","","","","","","","","","8.7","","","","","","","","2024-06-17 11:00:00"
"gtmpcnut","gtmpcnut2.3","2024-06-17 14:30:00","2","3","","0.048","","0.11","","","","0.006","","0.004","U","0.78","","","","14","","17","","3.8","I","25","A","","","","","","","10.0","UQ","9.1","","","","","","","","2024-06-17 13:30:00"
"gtmpcnut","gtmpcnut2.4","2024-06-17 17:00:00","2","4","","0.046","","0.11","","","","0.004","I","0.004","U","0.78","","","","13","","16","","3.3","I","29","","","","","","","","10.0","UQ","9.1","","","","","","","","2024-06-17 16:00:00"
"gtmpcnut","gtmpcnut2.5","2024-06-17 19:30:00","2","5","","0.041","","0.13","","","","0.005","","0.004","U","0.83","","","","13","","17","","5.7","","35","","","","","","","","10.0","UQ","7.5","","","","","","","","2024-06-17 18:30:00"
"gtmpcnut","gtmpcnut2.6","2024-06-17 22:00:00","2","6","","0.032","","0.093","","","","0.003","I","0.004","U","0.67","","","","8.2","","10","","3.2","I","29","","","","","","","","10.0","Q","5.9","","","","","","","","2024-06-17 21:00:00"
"gtmpcnut","gtmpcnut2.7","2024-06-18 00:30:00","2","7","","0.044","","0.10","","","","0.004","I","0.004","U","0.70","","","","8.8","","12","","4.0","I","37","","","","","","","","31.0","Q","7.9","","","","","","","","2024-06-17 23:30:00"
"gtmpcnut","gtmpcnut2.8","2024-06-18 03:00:00","2","8","","0.048","","0.10","","","","0.004","I","0.004","U","0.72","","","","8.6","","11","","3.0","I","24","","","","","","","","20.0","Q","8.0","","","","","","","","2024-06-18 02:00:00"
"gtmpcnut","gtmpcnut2.9","2024-06-18 05:30:00","2","9","","0.050","","0.10","","","","0.009","","0.004","U","1.0","","","","8.2","","9.9","","2.4","I","26","","","","","","","","31.0","Q","8.1","","","","","","","","2024-06-18 04:30:00"
