station_code,fullstationname,datetimestamp,monitoringprogram,rep,F_Record,PO4F,F_PO4F,TP,F_TP,TDP,F_TDP,NH4F,F_NH4F,NO23F,F_NO23F,TKN,F_TKN,TKNF,F_TKNF,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,color,F_color,FECCOL_CFU,F_FECCOL_CFU,ENTERO_MPN,F_ENTERO_MPN,DOC,F_DOC,TOTALK,F_TOTALK,adjustedtimestamp
gtmfmnut,gtmfmnut1.1,1/14/2025 10:30,1,1,,0.015,,0.028,,0.022,,0.016,,0.004,U,0.35,I,0.33,I,1.3,I,1.7,I,1,U,6,IA,12,U,8,BQ,10,UQ,3,I,,,1/14/2025 10:30
gtmfmnut,gtmfmnut1.2,1/14/2025 10:33,1,2,,0.012,,0.028,,0.022,,0.007,,0.005,I,0.26,I,0.28,I,1.5,I,1.7,I,1,U,6,I,2.5,U,3,UQ,10,UQ,3.4,I,,,1/14/2025 10:33
gtmpcnut,gtmpcnut1.1,1/14/2025 12:56,1,1,,0.025,,0.047,,0.035,,0.006,,0.004,U,0.29,I,0.25,I,1.4,I,1.9,I,1,U,10,,19,,25,BQ,10,UQ,5.5,,,,1/14/2025 12:56
gtmpcnut,gtmpcnut1.2,1/14/2025 12:58,1,2,,0.024,,0.045,,0.036,,0.009,,0.004,U,0.34,I,0.29,I,1.4,I,2,I,1,U,11,,17,,8,BQ,52,Q,5.5,,,,1/14/2025 12:58
gtmpinut,gtmpinut1.1,1/14/2025 13:21,1,1,,0.035,,0.056,,0.047,,0.015,,0.012,,0.42,,0.33,I,3.7,,4.6,,1.3,I,10,I,24,,3,BQ,10,UQ,6.7,,,,1/14/2025 13:21
gtmpinut,gtmpinut1.1,1/14/2025 13:23,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,UQ,,,,,1/14/2025 13:23
gtmpinut,gtmpinut1.2,1/14/2025 13:23,1,2,,0.035,,0.055,,0.046,,0.016,,0.011,,0.41,,0.47,,3.5,,4.4,,1.2,I,10,,24,A,3,BQ,,,6.7,,,,1/14/2025 13:23
gtmssnut,gtmssnut1.1,1/14/2025 11:57,1,1,,0.011,,0.027,,0.021,,0.009,,0.01,I,0.37,I,0.31,I,2.9,,3.3,,1,U,9,I,2.5,U,6,BQ,10,UQ,3,I,,,1/14/2025 11:57
gtmssnut,gtmssnut1.2,1/14/2025 11:59,1,2,,0.011,,0.029,,0.021,,0.008,,0.01,,0.37,I,0.24,I,3,,3.4,,1,U,10,I,12,U,6,BQ,10,UQ,3.2,I,,,1/14/2025 11:59
gtmpcnut,gtmpcnut2.1,1/27/2025 9:30,2,1,,0.019,Q,0.075,,0.032,,0.008,,0.004,U,0.62,,0.39,I,12,Q,14,Q,3.9,IQ,16,,,,,,,,17,,,,1/27/2025 9:30
gtmpcnut,gtmpcnut2.11,1/28/2025 10:30,2,11,,0.016,,0.052,,,,0.006,,0.008,U,0.62,,,,8.2,,9.6,,1.8,I,10,,,,,,41,Q,14,,,,1/28/2025 10:30
gtmpcnut,gtmpcnut2.3,1/27/2025 14:30,2,3,,0.024,,0.054,,,,0.018,,0.004,U,0.69,,,,5.7,,6.6,,1.1,I,8,I,,,,,92,AQ,21,,,,1/27/2025 14:30
gtmpcnut,gtmpcnut2.4,1/27/2025 17:00,2,4,,0.025,,0.063,,,,0.019,,0.01,,0.71,,,,4.5,,5,,1,U,6,I,,,,,52,Q,23,,,,1/27/2025 17:00
gtmpcnut,gtmpcnut2.5,1/27/2025 19:30,2,5,,0.024,,0.051,,,,0.007,,0.007,I,0.83,,,,7.1,,7.8,,2.5,U,7,I,,,,,75,Q,22,,,,1/27/2025 19:30
gtmpcnut,gtmpcnut2.6,1/27/2025 22:00,2,6,,0.009,I,0.11,,,,0.004,I,0.008,U,1,,,,53,,57,,3.8,I,13,,,,,,161,Q,17,,,,1/27/2025 22:00
gtmpcnut,gtmpcnut2.7,1/28/2025 0:30,2,7,,0.011,,0.06,,,,0.004,I,0.008,U,0.68,,,,14,,16,,2.8,I,10,,,,,,85,Q,16,,,,1/28/2025 0:30
gtmpcnut,gtmpcnut2.8,1/28/2025 3:00,2,8,,0.019,,0.086,,,,0.005,I,0.004,U,0.85,,,,28,,30,,1.4,U,9,I,,,,,63,Q,22,,,,1/28/2025 3:00
gtmpcnut,gtmpcnut2.2,1/27/2025 12:00,2,2,,0.015,Q,0.065,,,,0.005,,0.008,U,0.69,,,,17,,19,,2.4,I,13,,,,,,,,18,,,,1/27/2025 12:00
gtmfmnut,gtmfmnut1.2,2/12/2025 10:23,1,2,,0.015,,0.036,,0.022,,0.011,,0.005,I,0.2,I,0.18,I,2.5,I,2.9,,1,U,9,I,2.5,U,11,BQ,30,Q,3.6,I,,,2/12/2025 10:23
gtmfmnut,gtmfmnut1.1,2/12/2025 10:21,1,1,,0.015,,0.037,,0.022,,0.014,,0.004,U,0.23,I,0.22,I,2.5,I,3,,1,U,10,,2.5,U,16,BQ,10,Q,3.4,I,,,2/12/2025 10:21
gtmpcnut,gtmpcnut1.2,2/12/2025 12:43,1,2,,0.028,,0.068,,0.039,,0.015,,0.01,,0.54,,0.33,I,7.8,,8.7,,1.7,U,20,,63,,140,JQ,61,Q,9.4,,,,2/12/2025 12:43
gtmpcnut,gtmpcnut1.1,2/12/2025 12:41,1,1,,0.028,,0.069,,0.04,,0.021,,0.01,I,0.51,,0.33,I,7.5,,8.6,,1.7,U,19,,63,,120,JQ,145,Q,9.2,,,,2/12/2025 12:41
gtmpinut,gtmpinut1.2,2/12/2025 12:57,1,2,,0.024,,0.075,,0.036,,0.006,,0.004,U,0.45,J,0.41,,12,,15,,4,I,28,,35,,39,JBQ,10,Q,8.1,,,,2/12/2025 12:57
gtmpinut,gtmpinut1.1,2/12/2025 12:55,1,1,,0.024,,0.077,,0.036,,0.007,,0.004,U,0.4,,0.45,,12,,14,,3.8,I,30,,34,A,17,JBQ,20,Q,8.2,,,,2/12/2025 12:55
