"station_code","fullstationname","datetimestamp","monitoringprogram","rep","F_Record","PO4F","F_PO4F","TP","F_TP","TDP","F_TDP","NH4F","F_NH4F","NO23F","F_NO23F","TKN","F_TKN","TKNF","F_TKNF","CHLA_N","F_CHLA_N","UncCHLa_N","F_UncCHLa_N","PHEA","F_PHEA","TSS","F_TSS","TURB_N","F_TURB_N","color","F_color","FECCOL_CFU","F_FECCOL_CFU","ENTERO_MPN","F_ENTERO_MPN","DOC","F_DOC","IRR0_N","F_IRR0_N","IRR1_N","F_IRR1_N","Kd_N","F_Kd_N","adjustedtimestamp"
"gtmfmnut","gtmfmnut1.1","2025-10-07 10:35:00","1","1","","0.009","I","0.061","","0.020","","0.023","","0.012","","0.61","","0.25","I","12","","14","","2.1","U","70","","","","5.9","I","4","BQ","10.0","UQ","2.8","I","","","","","","","2025-10-07 09:35:00"
"gtmfmnut","gtmfmnut1.2","2025-10-07 10:38:00","1","2","","0.012","","0.068","","0.019","","0.018","","0.01","I","0.67","","0.27","I","10","","12","","2.1","U","74","","","","5.9","I","3","UQ","10.0","UQ","2.8","I","","","","","","","2025-10-07 09:38:00"
"gtmpcnut","gtmpcnut1.1","2025-10-07 13:42:00","1","1","","0.025","","0.064","","0.040","","0.041","","0.016","","1.1","","0.91","","3.2","","3.2","","1.1","U","14","","","","360","","22","BQ","31.0","Q","28","","","","","","","","2025-10-07 12:42:00"
"gtmpcnut","gtmpcnut1.2","2025-10-07 13:45:00","1","2","","0.033","","0.072","","0.048","","0.045","","0.017","","0.99","","0.90","","2.8","","2.8","","1.1","U","13","A","","","370","","47","BQ","75.0","Q","28","","","","","","","","2025-10-07 12:45:00"
"gtmpinut","gtmpinut1.1","2025-10-07 13:17:00","1","1","","0.026","","0.059","","0.038","","0.042","","0.015","","0.66","","0.46","","4.6","","5.6","","1.5","I","17","","","","30","","3","BQ","10.0","UQ","6.8","","","","","","","","2025-10-07 12:17:00"
"gtmpinut","gtmpinut1.2","2025-10-07 13:20:00","1","2","","0.026","","0.062","","0.036","","0.043","","0.016","","0.72","","0.51","","3.6","","5.8","","3.4","I","18","","","","27","","3","BQ","10.0","Q","6.8","","","","","","","","2025-10-07 12:20:00"
"gtmssnut","gtmssnut1.1","2025-10-07 11:54:00","1","1","","0.015","","0.040","","0.024","","0.020","","0.011","","0.46","","0.33","I","7.8","","9.1","","1.7","I","22","","","","6.6","","3","UQ","10.0","Q","3.2","I","","","","","","","2025-10-07 10:54:00"
"gtmssnut","gtmssnut1.2","2025-10-07 11:57:00","1","2","","0.014","","0.045","","0.022","","0.018","","0.011","","0.55","","0.29","I","5.7","","6.8","","1.4","I","21","","","","7.4","","8","BQ","41.0","Q","3.2","I","","","","","","","2025-10-07 10:57:00"
"gtmpcnut","gtmpcnut2.1","2025-10-20 09:30:00","2","1","","0.029","Q","0.070","","0.047","","0.037","","0.020","","1.3","","0.96","","3.3","","4.1","","1.1","I","16","","","","","","","","","","35","","","","","","","","2025-10-20 08:30:00"
"gtmpcnut","gtmpcnut2.10","2025-10-21 08:00:00","2","10","","0.029","","0.062","","","","0.020","","0.015","","1.2","","","","2.4","I","2.3","","1.2","U","6","I","","","","","","","262.0","Q","43","","","","","","","","2025-10-21 07:00:00"
"gtmpcnut","gtmpcnut2.11","2025-10-21 10:30:00","2","11","","0.028","","0.070","","","","0.047","","0.024","","0.92","","","","3.6","","4.3","","1.1","U","13","","","","","","","","98.0","Q","29","","","","","","","","2025-10-21 09:30:00"
"gtmpcnut","gtmpcnut2.2","2025-10-20 12:00:00","2","2","","0.021","","0.058","","","","0.047","","0.020","","0.79","","","","4.4","","4.7","","1.3","U","8","I","","","","","","","","","24","","","","","","","","2025-10-20 11:00:00"
"gtmpcnut","gtmpcnut2.3","2025-10-20 14:30:00","2","3","","0.023","","0.059","","","","0.032","","0.020","","0.99","","","","2.9","","3.3","","0.91","U","7","I","","","","","","","69.5","AJQ","31","","","","","","","","2025-10-20 13:30:00"
"gtmpcnut","gtmpcnut2.4","2025-10-20 17:00:00","2","4","","0.026","","0.069","","","","0.016","","0.013","","1.2","","","","2.2","I","2.6","","1.2","U","14","","","","","","","","148.0","Q","44","","","","","","","","2025-10-20 16:00:00"
"gtmpcnut","gtmpcnut2.5","2025-10-20 19:30:00","2","5","","0.026","","0.061","","","","0.015","","0.012","","1.3","","","","1.7","I","1.7","","1.1","U","8","I","","","","","","","98.0","Q","45","","","","","","","","2025-10-20 18:30:00"
"gtmpcnut","gtmpcnut2.6","2025-10-20 22:00:00","2","6","","0.026","","0.065","","","","0.027","","0.022","","1.0","","","","2.8","I","3.3","","1.3","U","10","I","","","","","","","107.0","Q","34","","","","","","","","2025-10-20 21:00:00"
"gtmpcnut","gtmpcnut2.7","2025-10-21 00:30:00","2","7","","0.026","","0.055","","","","0.039","","0.023","","0.83","","","","3.5","","3.7","","1.1","U","6","IA","","","","","","","41.0","Q","28","","","","","","","","2025-10-20 23:30:00"
"gtmpcnut","gtmpcnut2.8","2025-10-21 03:00:00","2","8","","0.028","","0.063","","","","0.026","","0.020","","1.1","","","","2.1","I","2.4","","1.2","U","10","","","","","","","","122.0","Q","37","","","","","","","","2025-10-21 02:00:00"
"gtmpcnut","gtmpcnut2.9","2025-10-21 05:30:00","2","9","","0.027","","0.063","","","","0.016","","0.011","","1.3","","","","0.92","I","0.93","","0.63","U","9","I","","","","","","","109.0","Q","45","","","","","","","","2025-10-21 04:30:00"
