"station_code","fullstationname","datetimestamp","monitoringprogram","rep","F_Record","PO4F","F_PO4F","TP","F_TP","TDP","F_TDP","NH4F","F_NH4F","NO23F","F_NO23F","TKN","F_TKN","TKNF","F_TKNF","CHLA_N","F_CHLA_N","UncCHLa_N","F_UncCHLa_N","PHEA","F_PHEA","TSS","F_TSS","TURB_N","F_TURB_N","color","F_color","FECCOL_CFU","F_FECCOL_CFU","ENTERO_MPN","F_ENTERO_MPN","DOC","F_DOC","IRR0_N","F_IRR0_N","IRR1_N","F_IRR1_N","Kd_N","F_Kd_N","adjustedtimestamp"
"gtmfmnut","gtmfmnut1.1","2025-09-08 10:37:00","1","1","","0.011","","0.034","","0.022","","0.029","","0.007","I","0.36","I","0.25","I","3.7","","4.3","","0.69","I","7","IA","","","4.9","I","4","UQ","10.0","UQ","3.6","I","","","","","","","2025-09-08 09:37:00"
"gtmfmnut","gtmfmnut1.2","2025-09-08 10:39:00","1","2","","0.010","","0.035","","0.021","","0.026","","0.005","I","0.30","I","0.29","I","3.5","","4.2","","0.84","I","9","I","","","4.6","I","3","UQ","10.0","Q","3.4","I","","","","","","","2025-09-08 09:39:00"
"gtmpcnut","gtmpcnut1.1","2025-09-08 13:58:00","1","1","","0.031","","0.081","","0.045","","0.11","","0.013","","0.88","","0.65","","17","","19","","3.5","I","34","","","","160","","17","BQ","52.0","Q","16","","","","","","","","2025-09-08 12:58:00"
"gtmpcnut","gtmpcnut1.2","2025-09-08 14:01:00","1","2","","0.030","","0.080","","0.044","","0.090","","0.013","","0.90","","0.65","","14","","16","","3.4","","28","","","","150","","31","BQ","122.0","Q","15","","","","","","","","2025-09-08 13:01:00"
"gtmpinut","gtmpinut1.1","2025-09-08 12:47:00","1","1","","0.031","","0.063","","0.045","","0.049","","0.031","","0.63","","0.55","","6.2","","7.6","","1.9","","9","I","","","60","","3","UQ","10.0","Q","9.6","","","","","","","","2025-09-08 11:47:00"
"gtmpinut","gtmpinut1.2","2025-09-08 12:50:00","1","2","","0.030","","0.061","","0.043","","0.050","","0.032","","0.64","","0.51","","5.6","","7.0","","2.0","","8","I","","","56","","3","UQ","10.0","UQ","9.5","","","","","","","","2025-09-08 11:50:00"
"gtmssnut","gtmssnut1.1","2025-09-08 11:35:00","1","1","","0.012","","0.033","","0.021","","0.019","","0.009","I","0.42","","0.25","I","4.6","","5.2","","0.63","U","9","I","","","4.0","I","11","BQ","31.0","Q","3.4","I","","","","","","","2025-09-08 10:35:00"
"gtmssnut","gtmssnut1.2","2025-09-08 11:37:00","1","2","","0.012","","0.035","","0.021","","0.021","","0.008","I","0.43","","0.25","I","4.5","","5.4","","1.1","I","11","","","","5.7","I","14","BQ","20.0","Q","3.7","I","","","","","","","2025-09-08 10:37:00"
"gtmpcnut","gtmpcnut2.1","2025-09-22 09:30:00","2","1","","0.028","Q","0.079","","0.049","","0.042","","0.022","","1.2","","0.98","","2.7","IQ","3.2","Q","2.1","UQ","20","","","","","","","","","","36","","","","","","","","2025-09-22 08:30:00"
"gtmpcnut","gtmpcnut2.10","2025-09-23 08:00:00","2","10","","0.029","","0.066","","","","0.031","","0.023","","1.2","","","","1.9","I","1.9","","1.3","U","8","I","","","","","","","341.0","Q","42","","","","","","","","2025-09-23 07:00:00"
"gtmpcnut","gtmpcnut2.11","2025-09-23 10:30:00","2","11","","0.026","","0.077","","","","0.043","","0.033","","1.1","","","","4.8","I","5.3","","2.1","U","27","","","","","","","","121.0","Q","29","","","","","","","","2025-09-23 09:30:00"
"gtmpcnut","gtmpcnut2.2","2025-09-22 12:00:00","2","2","","0.020","Q","0.068","","","","0.025","","0.019","","0.96","","","","6.3","","7.5","","1.6","I","16","A","","","","","","","","","19","","","","","","","","2025-09-22 11:00:00"
"gtmpcnut","gtmpcnut2.3","2025-09-22 14:30:00","2","3","","0.019","","0.065","","","","0.023","","0.019","","0.78","","","","6.6","","8.7","","3.2","I","28","","","","","","","","10.0","AQ","17","","","","","","","","2025-09-22 13:30:00"
"gtmpcnut","gtmpcnut2.4","2025-09-22 17:00:00","2","4","","0.022","","0.072","","","","0.016","","0.020","","1.2","","","","4.1","","4.9","","1.6","U","15","","","","","","","","85.0","Q","33","","","","","","","","2025-09-22 16:00:00"
"gtmpcnut","gtmpcnut2.5","2025-09-22 19:30:00","2","5","","0.024","","0.070","","","","0.014","","0.012","","1.0","","","","2.5","I","2.6","A","1.3","U","10","I","","","","","","","546.0","Q","41","","","","","","","","2025-09-22 18:30:00"
"gtmpcnut","gtmpcnut2.6","2025-09-22 22:00:00","2","6","","0.025","","0.068","","","","0.034","","0.020","","1.0","","","","3.6","I","4.3","","1.6","U","16","","","","","","","","106.0","Q","33","","","","","","","","2025-09-22 21:00:00"
"gtmpcnut","gtmpcnut2.7","2025-09-23 00:30:00","2","7","","0.024","","0.066","","","","0.043","","0.030","","0.93","","","","4.8","","5.8","","1.6","U","17","","","","","","","","20.0","Q","21","","","","","","","","2025-09-22 23:30:00"
"gtmpcnut","gtmpcnut2.8","2025-09-23 03:00:00","2","8","","0.025","","0.064","","","","0.046","","0.021","","0.93","","","","5.0","","5.6","","1.6","U","25","","","","","","","","31.0","Q","22","","","","","","","","2025-09-23 02:00:00"
"gtmpcnut","gtmpcnut2.9","2025-09-23 05:30:00","2","9","","0.026","","0.069","","","","0.032","","0.028","","1.2","","","","2.6","I","3.0","","1.6","U","16","","","","","","","","269.0","Q","36","","","","","","","","2025-09-23 04:30:00"
