"station_code","fullstationname","datetimestamp","monitoringprogram","rep","WTEM_N","F_WTEM_N","SALT_N","F_SALT_N","DO_N_","F_DO_N_","DO_N","F_DO_N","PH_N","F_PH_N","SECCHI","F_SECCHI","TDEP_N","F_TDEP_N"
"gtmpinut","gtmpinut1.1","2025-01-14 13:21:00","1","1","11.584",NA,"26.25",NA,"8.73",NA,NA,NA,"7.82",NA,"1",NA,"15.2",NA
"gtmpinut","gtmpinut1.2","2025-01-14 13:23:00","1","2","11.584",NA,"26.25",NA,"8.73",NA,NA,NA,"7.82",NA,"1",NA,"15.2",NA
"gtmssnut","gtmssnut1.1","2025-01-14 11:57:00","1","1","13.346",NA,"33.799999999999997",NA,"8.5500000000000007",NA,NA,NA,"7.99",NA,"2",NA,"22",NA
"gtmssnut","gtmssnut1.2","2025-01-14 11:59:00","1","2","13.346",NA,"33.799999999999997",NA,"8.5500000000000007",NA,NA,NA,"7.99",NA,"2",NA,"22",NA
"gtmfmnut","gtmfmnut1.1","2025-01-14 10:30:00","1","1","12.728",NA,"33.99",NA,"8.2200000000000006",NA,NA,NA,"7.96",NA,"1",NA,"12.7",NA
"gtmfmnut","gtmfmnut1.2","2025-01-14 10:33:00","1","2","12.728",NA,"33.99",NA,"8.2200000000000006",NA,NA,NA,"7.96",NA,"1",NA,"12.7",NA
"gtmpcnut","gtmpcnut1.1","2025-01-14 12:56:00","1","1","12.3",NA,"24.69",NA,"8.6999999999999993",NA,NA,NA,"7.86",NA,"0.9",NA,"2.4",NA
"gtmpcnut","gtmpcnut1.2","2025-01-14 12:58:00","1","2","12.3",NA,"24.69",NA,"8.6999999999999993",NA,NA,NA,"7.86","J","0.9",NA,"2.4",NA
"gtmpcnut","gtmpcnut2.1","2025-01-27 09:30:00","2","1","10.920999999999999",NA,"7.76",NA,NA,NA,"9.7799999999999994",NA,"7.45",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.2","2025-01-27 12:00:00","2","2","11.15",NA,"8.24",NA,NA,NA,"9.16",NA,"7.45",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.3","2025-01-27 14:30:00","2","3","11.849",NA,"2.83",NA,NA,NA,"9.0500000000000007",NA,"7.11",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.4","2025-01-27 17:00:00","2","4","12.669",NA,"1.37",NA,NA,NA,"9.27",NA,"7.01",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.5","2025-01-27 19:30:00","2","5","13.292",NA,"1.54",NA,NA,NA,"9.81",NA,"7.03",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.6","2025-01-27 22:00:00","2","6","13.145",NA,"9.94",NA,NA,NA,"9.6300000000000008",NA,"7.5",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.7","2025-01-28 00:30:00","2","7","12.638999999999999",NA,"4.9000000000000004",NA,NA,NA,"9.24",NA,"7.43",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.8","2025-01-28 03:00:00","2","8","12.259",NA,"4.01",NA,NA,NA,"8.8800000000000008",NA,"7.11",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.9","2025-01-28 05:30:00","2","9","11.845000000000001",NA,"2.21",NA,NA,NA,"8.83",NA,"7",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.10","2025-01-28 08:00:00","2","10","12.005000000000001",NA,"2.0099999999999998",NA,NA,NA,"8.8000000000000007",NA,"6.97",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.11","2025-01-28 10:30:00","2","11","13.489000000000001",NA,"14.34",NA,NA,NA,"9.09",NA,"7.71",NA,NA,NA,NA,NA
"gtmpinut","gtmpinut1.1","2025-02-12 12:55:00","1","1","20.309999999999999",NA,"21.82",NA,"6.79",NA,NA,NA,"7.65",NA,"0.8",NA,"14.6",NA
"gtmpinut","gtmpinut1.2","2025-02-12 12:57:00","1","2","20.309999999999999",NA,"21.82",NA,"6.79",NA,NA,NA,"7.65",NA,"0.8",NA,"14.6",NA
"gtmssnut","gtmssnut1.1","2025-02-12 11:33:00","1","1","17.649999999999999",NA,"33.450000000000003",NA,"7.67",NA,NA,NA,"7.99",NA,"1.1000000000000001",NA,"26.7",NA
"gtmssnut","gtmssnut1.2","2025-02-12 11:35:00","1","2","17.649999999999999",NA,"33.450000000000003",NA,"7.67",NA,NA,NA,"7.99",NA,"1.1000000000000001",NA,"26.7",NA
"gtmfmnut","gtmfmnut1.1","2025-02-12 10:21:00","1","1","19.198",NA,"33.65",NA,"6.89",NA,NA,NA,"7.93",NA,"1.1000000000000001",NA,"12.7",NA
"gtmfmnut","gtmfmnut1.2","2025-02-12 10:23:00","1","2","19.198",NA,"33.65",NA,"6.89",NA,NA,NA,"7.93",NA,"1.1000000000000001",NA,"12.7",NA
"gtmpcnut","gtmpcnut1.1","2025-02-12 12:41:00","1","1","21.4",NA,"24.48",NA,"6.29",NA,NA,NA,"7.51",NA,"0.5",NA,"1.8",NA
"gtmpcnut","gtmpcnut1.2","2025-02-12 12:43:00","1","2","21.4",NA,"24.48",NA,"6.29",NA,NA,NA,"7.51",NA,"0.5",NA,"1.8",NA
"gtmpcnut","gtmpcnut2.1","2025-02-25 09:45:00","2","1","16.25",NA,"23.19",NA,NA,NA,"7.26",NA,"7.99",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.2","2025-02-25 12:15:00","2","2","16.489999999999998",NA,"17.739999999999998",NA,NA,NA,"7.09",NA,"7.84",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.3","2025-02-25 14:45:00","2","3","17.010000000000002",NA,"11.75",NA,NA,NA,"6.81",NA,"7.58",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.4","2025-02-25 17:15:00","2","4","17.52",NA,"11.04",NA,NA,NA,"7",NA,"7.56",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.5","2025-02-25 19:45:00","2","5","17.46",NA,"15.86",NA,NA,NA,"7.32",NA,"7.73",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.6","2025-02-25 22:15:00","2","6","17.45",NA,"18.88",NA,NA,NA,"7.43",NA,"7.8",NA,NA,NA,NA,NA
