"Station.Code","Start.Date","Start.Time","End.Date","End.Time"
"gtmfmnut",2025-01-14,"10:30",2025-01-14,"10:33"
"gtmfmnut",2025-02-12,"10:21",2025-02-12,"10:23"
"gtmfmnut",2025-03-26,"07:21",2025-03-26,"07:22"
"gtmfmnut",2025-04-09,"07:12",2025-04-09,"07:14"
"gtmfmnut",2025-05-28,"10:21",2025-05-28,"10:23"
"gtmfmnut",2025-06-10,"09:05",2025-06-10,"09:07"
"gtmfmnut",2025-07-09,"12:05",2025-07-09,"12:06"
"gtmfmnut",2025-08-06,"07:16",2025-08-06,"07:19"
"gtmfmnut",2025-09-08,"09:37",2025-09-08,"09:39"
"gtmfmnut",2025-10-07,"09:35",2025-10-07,"09:38"
"gtmfmnut",2025-11-05,"09:06",2025-11-05,"09:08"
"gtmfmnut",2025-12-03,"07:57",2025-12-03,"07:59"
