"Station.Code","Start.Date","Start.Time","End.Date","End.Time"
"gtmpcnut",2025-01-27,"09:30",2025-01-28,"10:30"
"gtmpcnut",2025-02-25,"09:45",2025-02-26,"10:45"
"gtmpcnut",2025-03-25,"08:30",2025-03-26,"09:30"
"gtmpcnut",2025-04-23,"08:30",2025-04-24,"09:30"
"gtmpcnut",2025-05-14,"08:30",2025-05-15,"09:30"
"gtmpcnut",2025-06-23,"08:30",2025-06-24,"09:30"
"gtmpcnut",2025-07-22,"08:30",2025-07-23,"09:30"
"gtmpcnut",2025-08-19,"08:30",2025-08-20,"09:30"
"gtmpcnut",2025-09-22,"08:30",2025-09-23,"09:30"
"gtmpcnut",2025-10-20,"08:30",2025-10-21,"09:30"
"gtmpcnut",2025-11-18,"09:30",2025-11-19,"10:30"
"gtmpcnut",2025-12-16,"09:30",2025-12-17,"10:30"
