"Station.Code","Start.Date","Start.Time","End.Date","End.Time"
"gtmpcnut",2025-01-14,"12:56",2025-01-14,"12:58"
"gtmpcnut",2025-02-12,"12:41",2025-02-12,"12:43"
"gtmpcnut",2025-03-26,"09:46",2025-03-26,"09:48"
"gtmpcnut",2025-04-09,"10:18",2025-04-09,"10:20"
"gtmpcnut",2025-05-28,"13:07",2025-05-28,"13:08"
"gtmpcnut",2025-06-10,"12:22",2025-06-10,"12:23"
"gtmpcnut",2025-07-09,"11:39",2025-07-09,"11:40"
"gtmpcnut",2025-08-06,"10:14",2025-08-06,"10:16"
"gtmpcnut",2025-09-08,"12:58",2025-09-08,"13:01"
"gtmpcnut",2025-10-07,"12:42",2025-10-07,"12:45"
"gtmpcnut",2025-11-05,"11:59",2025-11-05,"12:02"
"gtmpcnut",2025-12-03,"10:48",2025-12-03,"10:52"
