"Station.Code","Start.Date","Start.Time","End.Date","End.Time"
"gtmpinut",2025-01-14,"13:21",2025-01-14,"13:23"
"gtmpinut",2025-01-14,"13:23",2025-01-14,"13:23"
"gtmpinut",2025-02-12,"12:55",2025-02-12,"12:57"
"gtmpinut",2025-03-26,"10:18",2025-03-26,"10:19"
"gtmpinut",2025-05-28,"12:30",2025-05-28,"12:32"
"gtmpinut",2025-06-10,"11:44",2025-06-10,"11:46"
"gtmpinut",2025-07-09,"09:30",2025-07-09,"09:32"
"gtmpinut",2025-09-08,"11:47",2025-09-08,"11:50"
"gtmpinut",2025-10-07,"12:17",2025-10-07,"12:20"
"gtmpinut",2025-11-05,"12:04",2025-11-05,"12:06"
"gtmpinut",2025-12-03,"10:46",2025-12-03,"10:48"
