"Station.Code","Start.Date","Start.Time","End.Date","End.Time"
"gtmssnut",2025-01-14,"11:57",2025-01-14,"11:59"
"gtmssnut",2025-02-12,"11:33",2025-02-12,"11:35"
"gtmssnut",2025-03-26,"08:34",2025-03-26,"08:36"
"gtmssnut",2025-04-09,"08:27",2025-04-09,"08:29"
"gtmssnut",2025-05-28,"11:19",2025-05-28,"11:21"
"gtmssnut",2025-06-10,"10:06",2025-06-10,"10:08"
"gtmssnut",2025-07-09,"08:08",2025-07-09,"08:10"
"gtmssnut",2025-08-06,"08:23",2025-08-06,"08:25"
"gtmssnut",2025-09-08,"10:35",2025-09-08,"10:37"
"gtmssnut",2025-10-07,"10:54",2025-10-07,"10:57"
"gtmssnut",2025-11-05,"10:23",2025-11-05,"10:26"
"gtmssnut",2025-12-03,"09:10",2025-12-03,"09:12"
