"station_code","ProgramType","adjustedtimestamp","UncCHLa_N","PHEA","TSS","color","ENTERO_MPN","FECCOL_CFU"
"gtmfmnut1.1","Grab",2025-10-07 09:35:00,2025-10-13,2025-10-13,2025-10-10,2025-10-08,2025-10-09,2025-10-09
"gtmfmnut1.2","Grab",2025-10-07 09:38:00,2025-10-13,2025-10-13,2025-10-10,2025-10-08,2025-10-09,2025-10-09
"gtmpcnut1.1","Grab",2025-10-07 12:42:00,2025-10-13,2025-10-13,2025-10-10,2025-10-08,2025-10-09,2025-10-09
"gtmpcnut1.2","Grab",2025-10-07 12:45:00,2025-10-13,2025-10-13,2025-10-10,2025-10-08,2025-10-09,2025-10-09
"gtmpinut1.1","Grab",2025-10-07 12:17:00,2025-10-13,2025-10-13,2025-10-10,2025-10-08,2025-10-09,2025-10-09
"gtmpinut1.2","Grab",2025-10-07 12:20:00,2025-10-13,2025-10-13,2025-10-10,2025-10-08,2025-10-09,2025-10-09
"gtmssnut1.1","Grab",2025-10-07 10:54:00,2025-10-13,2025-10-13,2025-10-10,2025-10-08,2025-10-09,2025-10-09
"gtmssnut1.2","Grab",2025-10-07 10:57:00,2025-10-13,2025-10-13,2025-10-10,2025-10-08,2025-10-09,2025-10-09
"gtmpcnut2.1","Diel",2025-10-20 08:30:00,2025-10-27,2025-10-27,2025-10-24,NA,NA,NA
"gtmpcnut2.10","Diel",2025-10-21 07:00:00,2025-10-28,2025-10-28,2025-10-24,NA,2025-10-23,NA
"gtmpcnut2.11","Diel",2025-10-21 09:30:00,2025-10-28,2025-10-28,2025-10-24,NA,2025-10-23,NA
"gtmpcnut2.2","Diel",2025-10-20 11:00:00,2025-10-27,2025-10-27,2025-10-24,NA,NA,NA
"gtmpcnut2.3","Diel",2025-10-20 13:30:00,2025-10-27,2025-10-27,2025-10-24,NA,2025-10-23,NA
"gtmpcnut2.4","Diel",2025-10-20 16:00:00,2025-10-28,2025-10-28,2025-10-24,NA,2025-10-23,NA
"gtmpcnut2.5","Diel",2025-10-20 18:30:00,2025-10-28,2025-10-28,2025-10-24,NA,2025-10-23,NA
"gtmpcnut2.6","Diel",2025-10-20 21:00:00,2025-10-28,2025-10-28,2025-10-24,NA,2025-10-23,NA
"gtmpcnut2.7","Diel",2025-10-20 23:30:00,2025-10-28,2025-10-28,2025-10-24,NA,2025-10-23,NA
"gtmpcnut2.8","Diel",2025-10-21 02:00:00,2025-10-28,2025-10-28,2025-10-24,NA,2025-10-23,NA
"gtmpcnut2.9","Diel",2025-10-21 04:30:00,2025-10-28,2025-10-28,2025-10-24,NA,2025-10-23,NA
