"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Depth","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-12-01,"00:00","20.323","52.281","34.49","99.6","7.35","1.605","8.07","5.1","1.51","6.06","5.95","2.21"
2025-12-01,"00:15","20.41","52.301","34.5","101.2","7.45","1.645","8.08","3.95","1.56","6.28","5.11","1.91"
2025-12-01,"00:30","20.358","52.24","34.46","102.8","7.58","1.69","8.09","4.57","1.64","6.57","4.79","1.8"
2025-12-01,"00:45","20.107","52.172","34.41","102.3","7.58","1.742","8.08","5.88","1.66","6.68","5.4","2.02"
2025-12-01,"01:00","20.335","52.262","34.47","101.7","7.5","1.8","8.08","4.89","1.78","7.13","4.44","1.68"
2025-12-01,"01:15","20.345","52.248","34.46","101.3","7.47","1.87","8.08","4.38","1.65","6.64","4.7","1.77"
2025-12-01,"01:30","20.304","52.237","34.45","101.7","7.51","1.939","8.08","4.15","1.65","6.64","4.54","1.72"
2025-12-01,"01:45","20.428","52.284","34.49","101","7.43","2.014","8.08","3.94","1.65","6.6","4.37","1.66"
2025-12-01,"02:00","20.438","52.299","34.5","101","7.43","2.083","8.08","3.36","1.51","6.06","4.18","1.59"
2025-12-01,"02:15","20.401","52.305","34.5","100.5","7.4","2.16","8.08","3.44","1.72","6.89","4.22","1.6"
2025-12-01,"02:30","20.308","52.298","34.5","99.6","7.35","2.241","8.08","3.17","1.54","6.17","4.3","1.63"
2025-12-01,"02:45","20.265","52.29","34.49","99.4","7.34","2.32","8.08","2.94","1.64","6.56","4.39","1.66"
2025-12-01,"03:00","20.269","52.287","34.49","99.3","7.33","2.396","8.08","2.86","1.38","5.55","4.35","1.65"
2025-12-01,"03:15","20.286","52.285","34.49","98.6","7.28","2.469","8.08","3.25","1.6","6.41","4.4","1.66"
2025-12-01,"03:30","20.337","52.29","34.49","97.8","7.21","2.535","8.07","3.65","1.57","6.32","4.11","1.56"
2025-12-01,"03:45","20.428","52.315","34.51","96.9","7.13","2.599","8.07","2.9","1.55","6.23","3.95","1.51"
2025-12-01,"04:00","20.467","52.312","34.51","90.9","6.69","2.656","8.03","2.53","1.2","4.83","4.01","1.53"
2025-12-01,"04:15","20.484","52.311","34.51","58.9","4.33","2.699","7.93","2.45","0.54","2.16","4.39","1.66"
2025-12-01,"04:30","20.437","52.299","34.5","71.3","5.25","2.731","7.98","2.79","1.16","4.65","4.11","1.56"
2025-12-01,"04:45","20.341","52.298","34.5","80.9","5.96","2.765","8.03","3.63","0.68","2.76","4.28","1.62"
2025-12-01,"05:00","20.329","52.302","34.5","87.1","6.42","2.781","8.04","3.84","0.88","3.52","4.3","1.63"
2025-12-01,"05:15","20.27","52.289","34.49","93.3","6.89","2.788","8.06","2.54","0.97","3.89","4.59","1.73"
2025-12-01,"05:30","20.269","52.266","34.48","93.9","6.93","2.791","8.05","3.11","1.28","5.16","5.05","1.89"
2025-12-01,"05:45","20.044","52.183","34.41","95.2","7.06","2.774","8.05","3.37","1.4","5.61","6.05","2.24"
2025-12-01,"06:00","19.937","52.166","34.4","95.2","7.07","2.747","8.04","3.84","1.1","4.43","6.96","2.56"
2025-12-01,"06:15","19.402","51.962","34.25","96.1","7.22","2.724","8.02","4.5","1.1","4.41","9.67","3.5"
2025-12-01,"06:30","19.143","51.866","34.18","97.8","7.38","2.686","8.02","5.58","1.02","4.1","10.73","3.87"
2025-12-01,"06:45","18.984","51.778","34.12","98.7","7.48","2.646","8.02","5.32","0.97","3.88","11.64","4.19"
2025-12-01,"07:00","18.846","51.655","34.03","98.1","7.45","2.598","8.01","5.23","1.07","4.28","12.53","4.5"
2025-12-01,"07:15","18.696","51.577","33.97","97.5","7.43","2.548","8.01","5.06","0.99","3.99","13.27","4.76"
2025-12-01,"07:30","18.717","51.578","33.97","97","7.39","2.498","8","4.96","0.87","3.51","13.16","4.72"
2025-12-01,"07:45","18.637","51.513","33.92","96.3","7.35","2.447","8","4.72","0.9","3.6","13.96","5"
2025-12-01,"08:00","18.635","51.491","33.9","95.9","7.32","2.397","8","4.43","0.79","3.18","13.91","4.98"
2025-12-01,"08:15","18.649","51.493","33.91","94.5","7.21","2.35","7.99","3.88","0.71","2.84","14.1","5.05"
2025-12-01,"08:30","18.668","51.495","33.91","93.4","7.13","2.306","7.99","4.59","0.8","3.21","14.01","5.02"
2025-12-01,"08:45","18.663","51.5","33.91","89","6.79","2.255","7.98","3.62","0.61","2.46","13.74","4.93"
2025-12-01,"09:00","18.681","51.497","33.91","81.7","6.23","2.202","7.94","3.7","0.74","2.97","14.22","5.09"
2025-12-01,"09:15","19.427","51.955","34.25","90.2","6.77","2.149","8.01","3.95","0.83","3.34","9.49","3.44"
2025-12-01,"09:30","19.221","51.792","34.13","91.1","6.87","2.101","7.99","3.84","0.9","3.61","10.63","3.84"
2025-12-01,"09:45","19.204","51.924","34.23","78.7","5.94","2.059","7.94","3.77","0.58","2.33","9.79","3.55"
2025-12-01,"10:00","19.039","51.818","34.15","92.4","6.99","2.017","7.99","3.98","0.76","3.07","11.33","4.08"
2025-12-01,"10:15","19.024","51.747","34.09","93.2","7.06","1.978","8","4.33","0.84","3.39","11.81","4.25"
2025-12-01,"10:30","18.965","51.678","34.04","96.3","7.3","1.936","8.01","4.29","0.84","3.4","12.41","4.46"
2025-12-01,"10:45","19.189","51.867","34.18","94.8","7.15","1.898","8.01","4.56","0.9","3.63","10.69","3.86"
2025-12-01,"11:00","19.243","51.872","34.19","94.9","7.15","1.86","8.01","3.98","0.83","3.36","10.63","3.84"
2025-12-01,"11:15","19.142","51.79","34.13","95.3","7.2","1.824","8.01","4.28","0.86","3.48","11.49","4.14"
2025-12-01,"11:30","19.436","52.004","34.28","92.2","6.92","1.791","7.99","4.57","0.85","3.4","9.87","3.57"
2025-12-01,"11:45","19.414","51.933","34.23","93.7","7.04","1.764","8","4.53","0.88","3.53","10.06","3.64"
2025-12-01,"12:00","19.419","51.918","34.22","96.9","7.28","1.747","8.02","4.03","0.87","3.51","10.15","3.67"
2025-12-01,"12:15","19.693","52.047","34.32","96.7","7.23","1.743","8.03","4.93","0.9","3.62","8.59","3.13"
2025-12-01,"12:30","19.819","52.087","34.34","98.5","7.34","1.759","8.03","5.62","1.06","4.24","8.33","3.04"
2025-12-01,"12:45","20.294","52.264","34.47","101.1","7.46","1.78","8.05","7.22","1.33","5.33","6.77","2.49"
2025-12-01,"13:00","20.493","52.301","34.5","103.2","7.59","1.805","8.07","5.88","1.49","5.96","5.69","2.12"
2025-12-01,"13:15","20.516","52.288","34.49","104.6","7.68","1.842","8.09","4.39","1.59","6.38","4.88","1.83"
2025-12-01,"13:30","20.589","52.279","34.48","105.3","7.73","1.892","8.1","5.09","1.6","6.41","4.42","1.67"
2025-12-01,"13:45","20.662","52.297","34.5","105.6","7.74","1.947","8.1","4.82","1.68","6.74","4.35","1.65"
2025-12-01,"14:00","20.652","52.301","34.5","105.6","7.74","2.014","8.09","4.67","1.6","6.41","4.55","1.72"
2025-12-01,"14:15","20.623","52.292","34.49","105.4","7.73","2.079","8.09","3.85","1.6","6.41","4.39","1.66"
2025-12-01,"14:30","20.597","52.3","34.5","104.7","7.68","2.139","8.09","3.97","1.59","6.37","4.64","1.75"
2025-12-01,"14:45","20.608","52.308","34.5","104.8","7.69","2.203","8.09","3.27","1.55","6.23","4.52","1.71"
2025-12-01,"15:00","20.628","52.318","34.51","104.8","7.69","2.262","8.09","3.5","1.63","6.56","4.71","1.77"
2025-12-01,"15:15","20.665","52.325","34.52","104.6","7.67","2.321","8.09","2.88","1.94","7.8","4.6","1.74"
2025-12-01,"15:30","20.697","52.32","34.51","103.2","7.56","2.387","8.08","3.1","1.39","5.58","4.61","1.74"
2025-12-01,"15:45","20.712","52.312","34.51","100.7","7.38","2.454","8.08","3.33","1.47","5.91","4.63","1.75"
2025-12-01,"16:00","20.723","52.311","34.51","97.4","7.13","2.514","8.06","3.82","1.76","7.06","4.68","1.76"
2025-12-01,"16:15","20.731","52.314","34.51","75.2","5.51","2.56","7.96","2.49","0.64","2.56","5.13","1.92"
2025-12-01,"16:30","20.729","52.315","34.51","67.8","4.96","2.603","7.93","2.73","0.58","2.35","5.11","1.91"
2025-12-01,"16:45","20.72","52.318","34.51","72.7","5.32","2.639","7.96","2.78","0.5","2.03","5.06","1.9"
2025-12-01,"17:00","20.704","52.319","34.51","81","5.93","2.666","8","2.47","0.95","3.82","4.85","1.82"
2025-12-01,"17:15","20.671","52.309","34.5","92.2","6.76","2.676","8.05","2.65","1.37","5.51","4.74","1.78"
2025-12-01,"17:30","20.646","52.309","34.51","96.1","7.05","2.687","8.05","2.31","1.39","5.6","4.57","1.73"
2025-12-01,"17:45","20.631","52.291","34.49","97.2","7.13","2.696","8.07","2.91","1.45","5.83","4.75","1.79"
2025-12-01,"18:00","20.6","52.268","34.47","98.5","7.23","2.691","8.06","3.06","1.5","6.02","5.1","1.91"
2025-12-01,"18:15","20.43","52.213","34.44","100.3","7.38","2.671","8.06","3.78","1.9","7.63","6.14","2.27"
2025-12-01,"18:30","19.961","52.056","34.32","97","7.21","2.633","8.02","4.66","1.81","7.25","8.42","3.07"
2025-12-01,"18:45","19.662","51.925","34.23","95.8","7.16","2.589","8.01","5.29","1.54","6.16","10.04","3.63"
2025-12-01,"19:00","19.634","51.85","34.17","97.5","7.3","2.561","8.01","5.85","1.4","5.62","10.79","3.89"
2025-12-01,"19:15","19.624","51.778","34.12","98.9","7.4","2.518","8.01","5.42","1.45","5.83","11.4","4.11"
2025-12-01,"19:30","19.553","51.657","34.03","99.7","7.48","2.475","8.01","5.74","1.36","5.47","12.56","4.51"
