"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Depth","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-07-01,"0:00","23.391","54.231","35.9","66.2","4.59","2.472","7.93","2.44","0.91","3.72","5.89","1.86"
2025-07-01,"0:15","23.327","54.25","35.91","58.5","4.05","2.503","7.9","2.15","0.75","3.05","5.88","1.86"
2025-07-01,"0:30","23.401","54.227","35.9","82.7","5.73","2.541","7.96","2.88","1.58","6.41","5.53","1.74"
2025-07-01,"0:45","23.454","54.181","35.86","82.3","5.7","2.561","7.96","2.64","1.36","5.52","5.99","1.89"
2025-07-01,"1:00","23.522","54.123","35.82","83.1","5.74","2.562","7.96","3.15","1.58","6.44","6.25","1.98"
2025-07-01,"1:15","23.803","53.988","35.71","83.9","5.78","2.563","7.96","3.54","1.47","5.99","7.16","2.29"
2025-07-01,"1:30","23.941","53.944","35.67","83.8","5.76","2.572","7.95","3.36","1.53","6.23","7.35","2.35"
2025-07-01,"1:45","24.747","53.924","35.64","85.1","5.77","2.567","7.93","3.81","1.23","5","8.43","2.71"
2025-07-01,"2:00","25.254","53.861","35.58","85.3","5.74","2.537","7.92","4.04","1.07","4.35","9.37","3.02"
2025-07-01,"2:15","25.58","53.831","35.55","85.6","5.72","2.49","7.91","5.22","1.06","4.31","9.86","3.19"
2025-07-01,"2:30","25.91","53.779","35.51","84.9","5.64","2.433","7.9","4.62","0.94","3.84","10.55","3.42"
2025-07-01,"2:45","26.08","53.746","35.48","85.6","5.67","2.38","7.89","4.8","0.99","4.04","11.2","3.64"
2025-07-01,"3:00","26.282","53.703","35.44","86.2","5.7","2.337","7.88","4.95","0.96","3.92","11.43","3.71"
2025-07-01,"3:15","26.522","53.655","35.4","85.5","5.63","2.293","7.88","4.92","1","4.07","12.14","3.95"
2025-07-01,"3:30","26.689","53.604","35.36","84","5.52","2.251","7.86","5.08","0.84","3.44","12.69","4.14"
2025-07-01,"3:45","26.729","53.588","35.34","84.2","5.53","2.207","7.86","5.24","0.89","3.63","12.92","4.21"
2025-07-01,"4:00","26.795","53.564","35.32","82","5.38","2.166","7.85","4.79","0.83","3.4","13.52","4.41"
2025-07-01,"4:15","26.415","53.585","35.35","80.3","5.3","2.119","7.85","4.49","0.87","3.55","12.53","4.08"
2025-07-01,"4:30","25.836","53.763","35.5","76.9","5.12","2.07","7.86","4.08","0.83","3.37","11.87","3.86"
2025-07-01,"4:45","25.311","53.763","35.51","74","4.97","2.021","7.87","3.48","0.69","2.81","10.82","3.51"
2025-07-01,"5:00","25.736","53.716","35.47","66.9","4.46","1.977","7.83","3.97","0.58","2.38","11.55","3.76"
2025-07-01,"5:15","25.707","53.707","35.46","65.3","4.36","1.93","7.83","3.35","0.42","1.72","11.88","3.86"
2025-07-01,"5:30","26.314","53.616","35.38","78.6","5.2","1.884","7.85","3.93","0.94","3.84","12.38","4.03"
2025-07-01,"5:45","26.157","53.644","35.4","78.4","5.2","1.841","7.85","4.15","0.72","2.94","12.39","4.03"
2025-07-01,"6:00","25.963","53.691","35.44","78","5.19","1.801","7.85","3.92","0.56","2.28","11.91","3.87"
2025-07-01,"6:15","25.859","53.684","35.44","77.4","5.15","1.762","7.85","4.09","0.64","2.61","11.67","3.79"
2025-07-01,"6:30","25.617","53.72","35.47","73.7","4.93","1.723","7.84","3.96","0.64","2.61","11.28","3.66"
2025-07-01,"6:45","25.461","53.738","35.49","75.2","5.04","1.683","7.85","4.06","0.63","2.58","11.56","3.76"
2025-07-01,"7:00","25.463","53.728","35.48","78.3","5.25","1.644","7.86","4.62","0.57","2.32","11.22","3.64"
2025-07-01,"7:15","25.215","53.787","35.53","75.1","5.05","1.607","7.85","3.92","0.52","2.13","10.9","3.54"
2025-07-01,"7:30","24.805","53.812","35.56","70","4.74","1.575","7.84","3.75","0.45","1.84","11.06","3.59"
2025-07-01,"7:45","24.644","53.837","35.58","69.8","4.74","1.548","7.84","3.69","0.48","1.96","10.27","3.33"
2025-07-01,"8:00","24.737","53.861","35.6","71.7","4.86","1.528","7.85","4.3","0.48","1.98","10.09","3.27"
2025-07-01,"8:15","24.341","53.993","35.7","74.5","5.08","1.515","7.88","3.88","0.62","2.53","8.68","2.79"
2025-07-01,"8:30","23.447","54.143","35.83","74","5.12","1.512","7.9","4.01","0.85","3.49","6.99","2.23"
