"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Depth","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-09-01,"0:00","29.145","51.477","33.71","92.5","5.89","2.59","7.91","6.52","2.11","8.55","",""
2025-09-01,"0:15","29.093","51.468","33.7","92.9","5.92","2.621","7.91","4.99","2.08","8.43","",""
2025-09-01,"0:30","29.101","51.523","33.74","92","5.86","2.647","7.91","4.55","1.97","7.98","",""
2025-09-01,"0:45","29.042","51.413","33.66","89.4","5.71","2.682","7.9","4.47","1.5","6.1","",""
2025-09-01,"1:00","28.996","51.064","33.41","88.8","5.68","2.716","7.87","5.15","1.73","7.02","",""
2025-09-01,"1:15","28.951","51.019","33.38","88.7","5.67","2.748","7.87","4.79","1.84","7.47","",""
2025-09-01,"1:30","28.931","51.022","33.38","85.9","5.5","2.783","7.86","5.29","1.54","6.24","",""
2025-09-01,"1:45","28.971","51.154","33.48","86.8","5.55","2.801","7.87","5.68","1.56","6.31","",""
2025-09-01,"2:00","29.006","51.2","33.51","79.1","5.05","2.817","7.85","5.05","0.99","3.99","",""
2025-09-01,"2:15","29.025","51.285","33.57","57.1","3.65","2.831","7.77","5.57","0.93","3.78","",""
2025-09-01,"2:30","28.886","51.138","33.47","90","5.76","2.839","7.89","5.55","1.63","6.6","",""
2025-09-01,"2:45","28.895","51.119","33.45","90.3","5.78","2.843","7.88","5.5","1.57","6.36","",""
2025-09-01,"3:00","28.956","51.245","33.54","89.7","5.73","2.847","7.89","5.71","1.59","6.44","",""
2025-09-01,"3:15","28.949","51.166","33.49","89.4","5.72","2.841","7.87","6.45","1.58","6.4","",""
2025-09-01,"3:30","28.837","50.408","32.93","87.3","5.61","2.833","7.83","6.88","1.52","6.17","",""
2025-09-01,"3:45","28.749","49.878","32.55","86.3","5.56","2.822","7.79","8.06","1.55","6.28","",""
2025-09-01,"4:00","28.6","49.18","32.04","85.5","5.54","2.806","7.75","8.66","1.68","6.8","",""
2025-09-01,"4:15","28.568","49.008","31.91","85.1","5.53","2.793","7.74","8.47","1.71","6.95","",""
2025-09-01,"4:30","28.538","48.862","31.81","84.6","5.5","2.776","7.73","8.48","1.67","6.78","",""
2025-09-01,"4:45","28.498","48.653","31.66","84.2","5.48","2.749","7.72","8.48","1.68","6.83","",""
2025-09-01,"5:00","28.512","48.514","31.56","83.8","5.46","2.726","7.71","8.65","1.68","6.8","",""
2025-09-01,"5:15","28.513","48.359","31.44","83.1","5.42","2.706","7.71","8.46","1.66","6.75","",""
2025-09-01,"5:30","28.483","48.225","31.35","82.8","5.4","2.673","7.7","8.98","1.66","6.74","",""
2025-09-01,"5:45","28.459","48.113","31.27","82.6","5.39","2.649","7.69","8.48","1.56","6.34","",""
2025-09-01,"6:00","28.394","48.02","31.2","82.7","5.41","2.63","7.69","8.73","1.57","6.36","",""
2025-09-01,"6:15","28.336","47.888","31.11","82.5","5.4","2.605","7.69","8.89","1.51","6.12","",""
2025-09-01,"6:30","28.296","47.882","31.1","82.2","5.39","2.578","7.69","8.85","1.54","6.24","",""
2025-09-01,"6:45","28.245","47.769","31.02","81.1","5.32","2.551","7.68","8.78","1.5","6.07","",""
2025-09-01,"7:00","28.016","47.896","31.12","78.7","5.18","2.529","7.68","8.18","1.46","5.91","",""
2025-09-01,"7:15","27.921","47.912","31.13","80.8","5.33","2.501","7.68","8.95","1.35","5.46","",""
2025-09-01,"7:30","27.788","47.971","31.18","73.3","4.84","2.468","7.66","11.56","1.36","5.5","",""
2025-09-01,"7:45","27.72","47.927","31.15","78.8","5.21","2.439","7.68","10.09","1.36","5.53","",""
2025-09-01,"8:00","27.607","47.907","31.14","81.6","5.41","2.417","7.69","9.3","1.51","6.14","",""
2025-09-01,"8:15","27.458","47.957","31.18","81.9","5.44","2.398","7.69","10.76","1.69","6.84","",""
2025-09-01,"8:30","27.273","48.019","31.23","80.9","5.39","2.373","7.68","11.4","1.8","7.31","",""
2025-09-01,"8:45","27.578","47.972","31.19","82.3","5.45","2.359","7.69","9.77","1.74","7.07","",""
2025-09-01,"9:00","27.703","47.948","31.17","82.7","5.47","2.351","7.7","9.15","1.58","6.39","",""
2025-09-01,"9:15","27.748","47.966","31.18","81.7","5.4","2.348","7.7","8.7","1.55","6.28","",""
2025-09-01,"9:30","27.782","48.244","31.38","81.9","5.4","2.343","7.7","10.63","1.49","6.04","",""
