"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Level","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-08-01,"0:00","33.5","11.54","6.5","29.8","2.1","-0.22","6.9","7","","9.6","",""
2025-08-01,"0:15","33.4","10.48","5.9","29.9","2.1","-0.21","6.9","7","","9.7","",""
2025-08-01,"0:30","32.9","9.28","5.1","38.5","2.7","-0.2","6.9","11","","10.4","",""
2025-08-01,"0:45","32.9","9.28","5.1","39.8","2.8","-0.18","6.9","10","","10.3","",""
2025-08-01,"1:00","32.9","10.33","5.8","40.1","2.8","-0.16","6.9","8","","10.4","",""
2025-08-01,"1:15","32.8","10.69","6","40.5","2.8","-0.14","6.9","9","","10.2","",""
2025-08-01,"1:30","32.5","11.03","6.2","40.4","2.8","-0.11","7","8","","10.2","",""
2025-08-01,"1:45","33","13.47","7.7","42.5","2.9","-0.09","7","10","","10.5","",""
2025-08-01,"2:00","33.4","17.09","9.9","42.2","2.9","-0.07","7","11","","10.1","",""
2025-08-01,"2:15","33.6","19.66","11.6","35.4","2.4","-0.05","7","9","","8.6","",""
2025-08-01,"2:30","33.7","20.64","12.2","38.7","2.6","-0.03","7.1","11","","8.9","",""
2025-08-01,"2:45","33.4","18.54","10.9","37.3","2.5","0","7","9","","9.1","",""
2025-08-01,"3:00","33.6","21.23","12.6","34.4","2.3","0.02","7.1","7","","8.3","",""
2025-08-01,"3:15","33.7","23.2","13.9","37.1","2.5","0.04","7.1","9","","8.3","",""
2025-08-01,"3:30","33.5","23.29","13.9","36.1","2.4","0.05","7.1","9","","8.3","",""
2025-08-01,"3:45","33.5","25.06","15.1","34","2.2","0.06","7.1","10","","7.8","",""
2025-08-01,"4:00","33.5","26.63","16.1","29.3","1.9","0.07","7.1","7","","7.2","",""
2025-08-01,"4:15","33.6","28.76","17.6","27.2","1.8","0.06","7.2","8","","6.7","",""
2025-08-01,"4:30","33.4","28.39","17.3","28.3","1.8","0.05","7.2","8","","6.9","",""
2025-08-01,"4:45","33.9","30.23","18.5","25.8","1.7","0.04","7.2","8","","6.5","",""
2025-08-01,"5:00","33.9","30.53","18.7","24.2","1.6","0.02","7.2","8","","6.1","",""
2025-08-01,"5:15","33.9","29.56","18.1","36.2","2.3","0.01","7.2","13","","7.8","",""
2025-08-01,"5:30","33.9","29.28","17.9","32.5","2.1","-0.01","7.2","10","","7","",""
2025-08-01,"5:45","33.8","29.75","18.2","26.8","1.7","-0.03","7.2","9","","6.6","",""
2025-08-01,"6:00","33.8","29.19","17.8","25.4","1.6","-0.04","7.2","7","","6.4","",""
2025-08-01,"6:15","33.8","28.54","17.4","22.6","1.5","-0.06","7.2","8","","6.4","",""
2025-08-01,"6:30","33.8","28.35","17.3","24.9","1.6","-0.07","7.2","8","","6.8","",""
2025-08-01,"6:45","33.9","27.63","16.8","21.4","1.4","-0.09","7.2","8","","6.8","",""
2025-08-01,"7:00","33.9","27.28","16.6","22.4","1.5","-0.1","7.2","9","","6.7","",""
2025-08-01,"7:15","33.9","26.57","16.1","23.6","1.5","-0.12","7.2","8","","7.2","",""
2025-08-01,"7:30","34","27.11","16.4","23.9","1.6","-0.13","7.2","7","","7","",""
2025-08-01,"7:45","33.9","25.48","15.4","22.7","1.5","-0.15","7.1","8","","7.5","",""
2025-08-01,"8:00","33.9","26.05","15.7","24.8","1.6","-0.16","7.1","7","","7.1","",""
2025-08-01,"8:15","33.8","24.59","14.8","21.3","1.4","-0.18","7.1","8","","7.3","",""
2025-08-01,"8:30","33.7","24.54","14.7","19.6","1.3","-0.19","7.1","7","","7.1","",""
