"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Level","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-07-01,"0:00","29.073","14.518","8.37","69.5","5.1","-0.032","7.3","10.85","1.89","7.8","110.35","37.06"
2025-07-01,"0:15","29.281","15.227","8.81","68.7","5.01","-0.007","7.28","9.68","1.77","7.28","109.21","36.68"
2025-07-01,"0:30","29.231","15.474","8.97","69.1","5.04","0.024","7.29","9.48","1.83","7.52","109.45","36.76"
2025-07-01,"0:45","29.01","15.766","9.16","70.9","5.18","0.053","7.32","10.47","1.9","7.83","109.61","36.82"
2025-07-01,"1:00","29.126","17.45","10.22","71.9","5.22","0.082","7.35","10.2","1.87","7.68","107.64","36.15"
2025-07-01,"1:15","29.051","18.388","10.82","71","5.14","0.111","7.35","10.04","1.83","7.51","106.19","35.67"
2025-07-01,"1:30","29.253","21.364","12.74","70.1","5","0.141","7.37","13.11","1.81","7.45","100.6","33.79"
2025-07-01,"1:45","29.393","23.244","13.97","68.3","4.83","0.168","7.39","13.33","1.8","7.42","95.79","32.17"
2025-07-01,"2:00","29.332","26.813","16.34","66.7","4.66","0.194","7.41","14.14","1.68","6.92","92.06","30.92"
2025-07-01,"2:15","29.215","27.5","16.8","67.3","4.7","0.219","7.44","14.01","1.71","7.02","90.1","30.26"
2025-07-01,"2:30","29.06","28.631","17.57","64.2","4.48","0.245","7.44","14.2","1.64","6.75","88","29.56"
2025-07-01,"2:45","29.255","30.924","19.12","61.6","4.24","0.261","7.44","15.21","1.46","6.01","82.26","27.63"
2025-07-01,"3:00","29.046","30.917","19.12","63","4.36","0.275","7.48","14.97","1.52","6.25","82.31","27.65"
2025-07-01,"3:15","29.015","31.282","19.37","62","4.28","0.281","7.48","14.14","1.46","6","81.3","27.31"
2025-07-01,"3:30","28.914","30.595","18.9","54.7","3.79","0.279","7.41","9.62","1.15","4.76","82.77","27.8"
2025-07-01,"3:45","28.942","30.826","19.06","51.6","3.57","0.268","7.39","9.79","1.11","4.58","81.51","27.38"
2025-07-01,"4:00","28.988","31.464","19.49","52.5","3.63","0.249","7.42","11.78","1.22","5.03","81.48","27.37"
2025-07-01,"4:15","29.021","30.806","19.04","60.9","4.21","0.232","7.45","11.9","1.51","6.23","83.69","28.11"
2025-07-01,"4:30","29.043","30.236","18.66","62","4.3","0.212","7.47","14.59","1.62","6.69","83.86","28.17"
2025-07-01,"4:45","28.993","28.837","17.71","60.9","4.24","0.192","7.42","13.17","1.52","6.27","87.72","29.46"
2025-07-01,"5:00","29.073","27.518","16.82","55.8","3.91","0.172","7.37","11.61","1.39","5.7","89.08","29.92"
2025-07-01,"5:15","29.101","26.569","16.18","55","3.86","0.152","7.36","12.24","1.55","6.38","91.76","30.82"
2025-07-01,"5:30","29.14","26.136","15.89","52.5","3.69","0.129","7.35","11.88","1.34","5.51","92.14","30.95"
2025-07-01,"5:45","29.292","28.961","17.79","48.4","3.36","0.107","7.36","12.75","1.39","5.72","86.16","28.94"
2025-07-01,"6:00","29.351","28.06","17.18","55.9","3.89","0.089","7.38","14.73","1.75","7.21","88.22","29.63"
2025-07-01,"6:15","29.437","26.698","16.26","58.8","4.1","0.069","7.38","14.6","1.76","7.23","91.64","30.78"
2025-07-01,"6:30","29.433","27.821","17.01","55.1","3.83","0.052","7.35","13.82","1.67","6.87","89.35","30.01"
2025-07-01,"6:45","29.381","26.568","16.18","56.1","3.92","0.034","7.34","13.43","1.7","7.01","91.93","30.88"
