"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Level","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-09-01,"0:00","29.168","16.766","9.79","59.7","4.34","0.34","7.02","7.33","3.32","13.41","139.99","46.47"
2025-09-01,"0:15","29.082","15.758","9.15","58.7","4.29","0.355","7.01","7.52","3.35","13.52","140.67","46.7"
2025-09-01,"0:30","28.904","15.652","9.09","62.1","4.55","0.365","7.01","8.4","3.36","13.58","140.87","46.76"
2025-09-01,"0:45","28.985","16.972","9.92","62.8","4.57","0.373","7.03","8.16","3.28","13.26","139.48","46.3"
2025-09-01,"1:00","28.952","16.475","9.61","62.2","4.54","0.383","7.02","7.95","3.34","13.52","140.37","46.6"
2025-09-01,"1:15","29.018","19.397","11.47","63.6","4.59","0.394","7.07","9.28","3.06","12.38","137.3","45.58"
2025-09-01,"1:30","29.105","21.637","12.92","65.6","4.69","0.408","7.13","9.06","3.01","12.18","134.63","44.69"
2025-09-01,"1:45","29.281","23.545","14.17","66.5","4.71","0.42","7.17","10.93","2.88","11.62","131.05","43.5"
2025-09-01,"2:00","29.249","23.7","14.27","68.2","4.83","0.431","7.19","9.4","2.98","12.04","130.72","43.4"
2025-09-01,"2:15","29.127","24.244","14.64","69.1","4.89","0.447","7.22","10.34","2.85","11.53","130.35","43.27"
2025-09-01,"2:30","28.937","24.216","14.62","70.9","5.04","0.464","7.23","9.34","2.75","11.12","131.45","43.64"
2025-09-01,"2:45","28.933","25.591","15.53","72.1","5.1","0.479","7.26","11.31","2.78","11.23","127.49","42.32"
2025-09-01,"3:00","28.87","27.421","16.76","74.8","5.25","0.49","7.31","11.56","2.61","10.54","123.87","41.12"
2025-09-01,"3:15","28.833","28.753","17.65","76.5","5.35","0.503","7.36","13.33","2.62","10.6","119.77","39.76"
2025-09-01,"3:30","28.746","29.774","18.35","77.1","5.38","0.517","7.38","13.08","2.53","10.2","117.47","38.99"
2025-09-01,"3:45","28.538","32.358","20.11","80.5","5.58","0.529","7.47","16.29","2.43","9.83","108.22","35.92"
2025-09-01,"4:00","28.34","33.687","21.03","83.8","5.8","0.545","7.53","15.44","2.34","9.46","105.39","34.99"
2025-09-01,"4:15","28.254","34.737","21.76","85.2","5.88","0.558","7.57","15.72","2.31","9.34","101.45","33.68"
2025-09-01,"4:30","28.181","35.638","22.39","85.9","5.92","0.566","7.6","16.42","2.23","8.99","97.55","32.38"
2025-09-01,"4:45","28.133","36.058","22.68","85.9","5.91","0.573","7.61","16.78","2.22","8.97","96.26","31.95"
