"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Depth","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-08-01,"0:00","32.988","48.576","31.45","84.7","5.14","3.11","7.52","7.74","2.56","10.31","53.49","17.81"
2025-08-01,"0:15","32.935","48.706","31.55","84.6","5.13","3.156","7.53","7.2","2.51","10.08","53.4","17.78"
2025-08-01,"0:30","32.937","48.797","31.61","84.3","5.11","3.202","7.53","8.17","2.57","10.35","52.54","17.49"
2025-08-01,"0:45","32.926","48.853","31.65","83.7","5.07","3.244","7.52","9.49","2.6","10.44","52.01","17.32"
2025-08-01,"1:00","32.907","48.942","31.72","83.6","5.07","3.284","7.53","7.45","2.52","10.14","51.71","17.22"
2025-08-01,"1:15","32.916","49.003","31.76","83.4","5.06","3.324","7.53","9.08","2.65","10.66","51.1","17.01"
2025-08-01,"1:30","32.904","49.126","31.85","83.4","5.06","3.356","7.53","9.23","2.63","10.57","50.41","16.78"
2025-08-01,"1:45","32.853","49.213","31.92","83.3","5.05","3.385","7.53","9.47","2.62","10.51","49.94","16.63"
2025-08-01,"2:00","32.843","49.26","31.95","83","5.03","3.409","7.53","6.75","2.59","10.4","49.92","16.62"
2025-08-01,"2:15","32.841","49.332","32.01","83","5.03","3.428","7.53","4.71","2.52","10.12","49.7","16.55"
2025-08-01,"2:30","32.804","49.357","32.03","82.6","5.01","3.442","7.53","4.73","2.5","10.03","49.46","16.47"
2025-08-01,"2:45","32.791","49.367","32.03","79.8","4.84","3.448","7.51","4.71","2.57","10.34","49.27","16.4"
2025-08-01,"3:00","32.783","49.359","32.03","72.4","4.39","3.443","7.48","4.48","2.96","11.92","47.28","15.74"
2025-08-01,"3:15","32.782","49.275","31.97","79.2","4.81","3.422","7.51","4.11","2.37","9.53","48.5","16.15"
2025-08-01,"3:30","32.75","49.161","31.88","78.2","4.75","3.388","7.51","4.73","2.37","9.53","49.89","16.61"
2025-08-01,"3:45","32.716","49.034","31.79","79.6","4.84","3.341","7.51","6.06","2.38","9.55","50.94","16.96"
2025-08-01,"4:00","32.703","48.925","31.72","79.2","4.82","3.292","7.51","7.63","2.45","9.84","51.38","17.11"
2025-08-01,"4:15","32.615","48.702","31.56","76.4","4.66","3.236","7.5","9.4","2.41","9.69","53.02","17.65"
2025-08-01,"4:30","32.554","48.586","31.47","75","4.58","3.181","7.49","8.01","2.35","9.45","54.1","18.01"
