"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Depth","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-12-01,"00:00","17.615","28.786","17.82","83.7","7.18","2.49","7.54","8.19","4.25","16.88","81.09","27.06"
2025-12-01,"00:15","17.675","29.273","18.15","85.3","7.29","2.57","7.56","11.99","4.29","17.04","78.55","26.22"
2025-12-01,"00:30","17.681","29.217","18.11","85.6","7.31","2.656","7.57","12.89","3.83","15.2","79.01","26.37"
2025-12-01,"00:45","17.692","29.262","18.14","85.8","7.33","2.732","7.57","12.93","3.92","15.56","78.81","26.3"
2025-12-01,"01:00","17.736","29.563","18.35","86","7.34","2.81","7.58","12.03","3.89","15.45","79.29","26.46"
2025-12-01,"01:15","17.739","29.71","18.45","86.5","7.37","2.883","7.59","13.37","3.89","15.46","78.11","26.07"
2025-12-01,"01:30","17.785","30.26","18.82","86.3","7.33","2.955","7.6","12.83","3.52","13.94","78","26.03"
2025-12-01,"01:45","17.807","30.491","18.98","86.5","7.33","3.025","7.61","12.79","3.81","15.13","77.58","25.89"
2025-12-01,"02:00","17.804","30.812","19.2","86.6","7.34","3.101","7.62","9.26","3.86","15.34","77.88","25.99"
2025-12-01,"02:15","17.836","31.038","19.35","86.4","7.31","3.172","7.62","12.07","3.59","14.25","76.5","25.53"
2025-12-01,"02:30","17.864","31.276","19.52","86.4","7.3","3.244","7.62","10.67","3.91","15.54","76.4","25.5"
2025-12-01,"02:45","17.852","31.499","19.67","86.6","7.31","3.307","7.63","12.58","3.3","13.07","75.1","25.07"
2025-12-01,"03:00","17.901","31.962","19.99","86.3","7.26","3.375","7.63","10.47","3.11","12.3","74.93","25.01"
2025-12-01,"03:15","17.902","32.316","20.23","86.4","7.26","3.444","7.64","9.86","3.19","12.64","74.64","24.91"
2025-12-01,"03:30","17.909","32.685","20.48","86.4","7.25","3.51","7.65","8.88","3.16","12.51","73.9","24.67"
2025-12-01,"03:45","17.92","33.19","20.83","86.5","7.24","3.578","7.65","9.81","2.86","11.32","72.28","24.13"
2025-12-01,"04:00","17.936","33.752","21.22","86.5","7.22","3.643","7.66","11.47","3.01","11.91","70.45","23.51"
2025-12-01,"04:15","17.947","34.136","21.49","86.4","7.2","3.704","7.67","11.01","3.32","13.16","69.5","23.2"
