"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Depth","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-07-01,"0:00","28.962","51.784","33.94","79.9","5.1","3.483","7.57","13.85","1.64","6.64","45.39","15.21"
2025-07-01,"0:15","28.96","51.822","33.97","79.8","5.09","3.54","7.58","17.12","1.7","6.89","43.61","14.61"
2025-07-01,"0:30","28.887","51.859","34","80.4","5.13","3.588","7.59","12.14","1.74","7.05","42.49","14.24"
2025-07-01,"0:45","28.815","51.924","34.05","80.9","5.17","3.634","7.61","19.01","2.17","8.79","39.11","13.11"
2025-07-01,"1:00","28.756","51.901","34.03","81","5.18","3.674","7.61","13.14","1.77","7.19","38.94","13.05"
2025-07-01,"1:15","28.732","51.883","34.02","80.7","5.17","3.706","7.62","13.53","1.81","7.35","38.44","12.89"
2025-07-01,"1:30","28.707","51.893","34.03","80.6","5.16","3.73","7.62","12.6","1.47","5.95","38.18","12.8"
2025-07-01,"1:45","28.697","51.897","34.03","80.3","5.14","3.747","7.62","13.12","1.93","7.81","37.88","12.7"
2025-07-01,"2:00","28.661","51.915","34.05","79.6","5.1","3.748","7.62","15.6","2.36","9.57","37.34","12.52"
2025-07-01,"2:15","28.647","51.923","34.05","79.2","5.07","3.734","7.62","6.45","1.6","6.47","37.94","12.72"
2025-07-01,"2:30","28.657","51.918","34.05","76.9","4.92","3.711","7.61","3.94","1.2","4.86","37.06","12.42"
2025-07-01,"2:45","28.633","51.912","34.05","79.2","5.08","3.685","7.62","4.2","1.25","5.06","38.02","12.75"
2025-07-01,"3:00","28.643","51.897","34.03","79.7","5.11","3.647","7.62","11.8","2.66","10.75","37.26","12.49"
2025-07-01,"3:15","28.649","51.889","34.03","79.9","5.12","3.597","7.61","17.59","2.04","8.25","37.46","12.56"
2025-07-01,"3:30","28.66","51.892","34.03","78.6","5.04","3.539","7.59","14.29","1.8","7.3","41.36","13.86"
2025-07-01,"3:45","28.643","51.865","34.01","75.7","4.85","3.476","7.56","8.46","1.44","5.84","46.98","15.73"
2025-07-01,"4:00","28.557","51.777","33.95","73.3","4.71","3.414","7.52","18.04","2.02","8.17","49.7","16.64"
2025-07-01,"4:15","28.658","51.83","33.98","74.6","4.78","3.342","7.53","13.25","1.94","7.85","48.53","16.25"
2025-07-01,"4:30","28.676","51.85","34","74.9","4.8","3.276","7.54","19.06","2.14","8.67","46.75","15.66"
2025-07-01,"4:45","28.72","51.857","34","75.4","4.82","3.201","7.54","23.15","2.11","8.53","45.37","15.2"
2025-07-01,"5:00","28.656","51.865","34.01","74.6","4.78","3.122","7.53","18.79","1.96","7.92","47.88","16.03"
2025-07-01,"5:15","28.646","51.877","34.02","74.2","4.76","3.049","7.52","21.16","2.33","9.42","48.17","16.13"
2025-07-01,"5:30","28.627","51.896","34.03","74.2","4.76","2.974","7.52","23","2.13","8.64","48.31","16.18"
2025-07-01,"5:45","28.57","51.921","34.05","73.7","4.73","2.896","7.51","16.1","1.72","6.95","50.93","17.05"
2025-07-01,"6:00","28.554","51.931","34.06","73.1","4.69","2.816","7.5","15.84","1.72","6.98","51.4","17.21"
2025-07-01,"6:15","28.514","51.919","34.05","72.2","4.64","2.724","7.49","19.39","1.61","6.54","51.88","17.37"
2025-07-01,"6:30","28.463","51.918","34.06","71.6","4.6","2.645","7.48","16.49","1.56","6.31","54.13","18.12"
2025-07-01,"6:45","28.433","51.912","34.05","71","4.57","2.567","7.48","16.24","1.46","5.93","54.61","18.28"
2025-07-01,"7:00","28.402","51.906","34.05","70.3","4.52","2.496","7.47","14.12","1.48","5.99","54.91","18.38"
2025-07-01,"7:15","28.39","51.906","34.05","70.1","4.51","2.433","7.46","13.92","1.39","5.64","55.62","18.62"
2025-07-01,"7:30","28.373","51.904","34.05","69.9","4.5","2.376","7.46","14.03","1.39","5.63","56.86","19.03"
2025-07-01,"7:45","28.334","51.893","34.04","69","4.44","2.338","7.45","16.79","1.37","5.55","55.28","18.51"
2025-07-01,"8:00","28.306","51.886","34.04","68.9","4.44","2.307","7.45","15.37","1.41","5.73","55.94","18.72"
2025-07-01,"8:15","28.307","51.882","34.03","68","4.38","2.306","7.44","7.55","1.45","5.87","58.1","19.45"
2025-07-01,"8:30","28.193","51.831","34","69.6","4.49","2.34","7.47","9.82","1.57","6.35","55.4","18.54"
2025-07-01,"8:45","28.143","51.843","34.01","67.8","4.38","2.41","7.46","14.7","1.51","6.1","55.14","18.46"
2025-07-01,"9:00","28.264","51.851","34.01","68.2","4.4","2.495","7.46","14.36","1.54","6.23","56.34","18.86"
2025-07-01,"9:15","28.303","51.802","33.97","69.1","4.46","2.572","7.46","12.36","1.52","6.15","56.93","19.05"
2025-07-01,"9:30","28.355","51.704","33.9","70.3","4.53","2.649","7.47","13.92","1.67","6.75","56.38","18.87"
2025-07-01,"9:45","28.371","51.673","33.88","70.7","4.56","2.718","7.47","16.67","1.76","7.13","55.06","18.43"
2025-07-01,"10:00","28.445","51.707","33.9","71.7","4.62","2.791","7.48","16.44","1.77","7.16","54.2","18.14"
2025-07-01,"10:15","28.549","51.795","33.96","73.9","4.74","2.859","7.5","16.31","1.8","7.29","52.32","17.52"
2025-07-01,"10:30","28.532","51.769","33.94","74","4.75","2.928","7.5","20.21","1.94","7.86","50.9","17.04"
2025-07-01,"10:45","28.489","51.638","33.85","73.6","4.73","2.991","7.51","18.09","1.97","7.99","50.56","16.93"
2025-07-01,"11:00","28.505","51.63","33.84","74.1","4.77","3.055","7.51","18.54","2.03","8.22","49.67","16.63"
2025-07-01,"11:15","28.575","51.653","33.86","75.3","4.83","3.112","7.52","18.84","1.94","7.86","48.81","16.35"
2025-07-01,"11:30","28.609","51.571","33.79","76","4.88","3.171","7.53","25.49","2.01","8.14","48.35","16.19"
2025-07-01,"11:45","28.671","51.518","33.75","76.4","4.9","3.225","7.53","14.43","1.88","7.63","48.34","16.19"
2025-07-01,"12:00","28.699","51.514","33.75","76.9","4.93","3.283","7.54","17.96","1.86","7.55","47.2","15.81"
2025-07-01,"12:15","28.719","51.54","33.77","77.6","4.97","3.341","7.55","18.88","1.93","7.82","46.04","15.42"
2025-07-01,"12:30","28.737","51.571","33.79","78.5","5.03","3.398","7.55","19.11","1.89","7.68","45.21","15.15"
2025-07-01,"12:45","28.774","51.605","33.81","79.6","5.09","3.449","7.56","19.11","2","8.11","44.61","14.94"
2025-07-01,"13:00","28.795","51.633","33.83","81.1","5.19","3.496","7.58","19.04","2.04","8.26","42.39","14.21"
2025-07-01,"13:15","28.806","51.654","33.85","82.2","5.26","3.537","7.59","19.32","2.13","8.64","41.07","13.76"
2025-07-01,"13:30","28.839","51.691","33.88","84.3","5.39","3.576","7.61","15.7","2.3","9.3","40.2","13.47"
2025-07-01,"13:45","28.85","51.723","33.9","86","5.5","3.606","7.62","16.19","2.36","9.57","39.04","13.09"
2025-07-01,"14:00","28.842","51.728","33.9","86.1","5.5","3.629","7.62","20.43","2.84","11.48","38.76","12.99"
2025-07-01,"14:15","28.831","51.732","33.91","85.9","5.49","3.646","7.62","17.25","2.22","9","38.52","12.91"
2025-07-01,"14:30","28.851","51.751","33.92","86.2","5.51","3.656","7.63","14.15","2.28","9.24","38.08","12.77"
2025-07-01,"14:45","28.861","51.763","33.93","87.1","5.57","3.658","7.63","11.57","1.91","7.72","38.02","12.75"
2025-07-01,"15:00","28.885","51.775","33.94","87.6","5.6","3.649","7.64","8.81","2","8.12","37","12.41"
2025-07-01,"15:15","28.891","51.775","33.94","83","5.3","3.631","7.61","6.36","1.74","7.06","36.26","12.16"
2025-07-01,"15:30","28.908","51.772","33.93","88.1","5.62","3.595","7.62","6.4","1.91","7.74","38.43","12.88"
2025-07-01,"15:45","28.892","51.74","33.91","88","5.62","3.546","7.63","12.37","1.99","8.05","38.46","12.89"
2025-07-01,"16:00","28.924","51.734","33.9","88.6","5.66","3.494","7.63","20.71","2.59","10.47","37.46","12.56"
2025-07-01,"16:15","29.007","51.71","33.88","88.6","5.65","3.434","7.63","22.55","2.44","9.88","38.49","12.9"
2025-07-01,"16:30","29.098","51.702","33.88","87","5.54","3.371","7.6","22.55","2.79","11.29","41.4","13.87"
2025-07-01,"16:45","29.188","51.717","33.88","87.2","5.55","3.305","7.59","18.56","2.08","8.41","44.39","14.87"
2025-07-01,"17:00","29.14","51.695","33.87","85.7","5.45","3.236","7.57","24.95","2.36","9.56","43.84","14.69"
2025-07-01,"17:15","29.227","51.716","33.88","86.6","5.5","3.174","7.57","15.88","2.31","9.36","46.9","15.71"
2025-07-01,"17:30","29.216","51.708","33.88","86.2","5.48","3.108","7.57","16.93","2.32","9.38","46.95","15.73"
2025-07-01,"17:45","29.182","51.693","33.87","85.8","5.45","3.039","7.56","21.77","2.09","8.45","46.28","15.5"
2025-07-01,"18:00","29.183","51.693","33.87","86","5.47","2.969","7.57","21.67","2.54","10.29","46.06","15.43"
