"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Depth","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-10-01,"0:00","26.938","30.619","18.96","74","5.31","3.438","7.48","5.66","1.71","6.99","108.28","36.02"
2025-10-01,"0:15","27.006","32.606","20.32","77.4","5.5","3.466","7.53","8.72","1.65","6.74","103.95","34.57"
2025-10-01,"0:30","27.026","32.552","20.28","78","5.55","3.502","7.54","10.15","1.65","6.74","103.66","34.48"
2025-10-01,"0:45","27.065","32.212","20.05","78","5.55","3.543","7.53","14.25","1.67","6.84","102.48","34.08"
2025-10-01,"1:00","27.079","32.163","20.01","77.4","5.5","3.59","7.53","15.17","1.65","6.78","102.34","34.04"
2025-10-01,"1:15","27.058","32.161","20.01","76.5","5.44","3.636","7.51","8.61","1.52","6.22","105.69","35.15"
2025-10-01,"1:30","27.072","32.581","20.3","77.2","5.49","3.678","7.53","6.36","1.68","6.87","105.99","35.26"
2025-10-01,"1:45","27.018","33.002","20.59","77.2","5.48","3.719","7.53","5.7","1.44","5.92","105.49","35.09"
2025-10-01,"2:00","26.962","33.293","20.79","76.9","5.46","3.759","7.53","6.04","1.45","5.94","104.85","34.87"
2025-10-01,"2:15","26.966","33.575","20.99","76.5","5.42","3.793","7.53","8.49","1.48","6.07","102.83","34.2"
2025-10-01,"2:30","27.002","33.994","21.27","76.6","5.42","3.826","7.54","9.08","1.48","6.06","101.02","33.6"
2025-10-01,"2:45","27.048","34.369","21.53","77.4","5.46","3.854","7.56","7.39","1.41","5.79","100.66","33.48"
2025-10-01,"3:00","27.051","34.643","21.72","77.9","5.49","3.88","7.57","6.56","1.46","6","99.95","33.24"
2025-10-01,"3:15","27.041","34.8","21.83","78","5.49","3.904","7.57","7.18","1.38","5.68","99.26","33.01"
2025-10-01,"3:30","27.043","35.065","22.02","78.4","5.52","3.925","7.58","7.34","1.38","5.67","98.23","32.67"
2025-10-01,"3:45","27.043","35.326","22.2","78.5","5.52","3.947","7.59","7.97","1.38","5.65","97.03","32.27"
2025-10-01,"4:00","27.042","35.58","22.37","78.9","5.55","3.965","7.6","9","1.48","6.08","95.66","31.81"
2025-10-01,"4:15","27.062","35.883","22.59","79.4","5.57","3.983","7.61","8.09","1.39","5.72","94.76","31.51"
2025-10-01,"4:30","27.055","36.124","22.75","79.9","5.6","3.997","7.62","8.31","1.38","5.69","94.13","31.3"
2025-10-01,"4:45","27.042","36.217","22.82","80.1","5.61","4.007","7.63","7.04","1.39","5.72","93.88","31.22"
2025-10-01,"5:00","27.053","36.398","22.94","80.3","5.62","4.009","7.63","7.59","1.34","5.5","93.03","30.94"
2025-10-01,"5:15","27.036","36.559","23.06","80.3","5.62","4.006","7.64","4.58","1.27","5.2","93.34","31.04"
2025-10-01,"5:30","27.043","36.641","23.11","79.6","5.57","3.995","7.64","3.82","1.26","5.16","92.24","30.67"
2025-10-01,"5:45","27.04","36.61","23.09","76.8","5.38","3.971","7.63","4.89","1.25","5.15","89.49","29.76"
2025-10-01,"6:00","27.028","36.451","22.98","78.5","5.49","3.939","7.63","4.93","1.27","5.22","90.32","30.03"
2025-10-01,"6:15","27.047","36.312","22.88","78.2","5.48","3.901","7.63","3.98","1.28","5.25","92.31","30.7"
2025-10-01,"6:30","27.026","36.075","22.72","78.8","5.53","3.863","7.61","6.29","1.34","5.49","93.67","31.15"
2025-10-01,"6:45","27","35.79","22.52","78.6","5.52","3.825","7.61","6.43","1.32","5.42","94.95","31.58"
2025-10-01,"7:00","26.968","35.494","22.32","78.2","5.5","3.787","7.6","6.76","1.34","5.52","95.93","31.9"
2025-10-01,"7:15","26.911","34.902","21.91","77.2","5.45","3.747","7.58","10.33","1.41","5.81","96.32","32.03"
2025-10-01,"7:30","26.884","34.458","21.6","76.5","5.41","3.704","7.56","8.18","1.37","5.63","99.21","33"
2025-10-01,"7:45","26.772","33.693","21.07","75.6","5.37","3.661","7.55","7.58","1.42","5.84","101.89","33.89"
2025-10-01,"8:00","26.699","33.282","20.79","75.2","5.36","3.62","7.54","6.62","1.34","5.52","103.63","34.47"
2025-10-01,"8:15","26.663","32.904","20.53","74.9","5.35","3.57","7.53","8","1.43","5.86","103.98","34.58"
2025-10-01,"8:30","26.654","32.655","20.36","74.4","5.32","3.529","7.52","8.08","1.41","5.79","104.55","34.78"
2025-10-01,"8:45","26.65","32.439","20.21","74","5.3","3.482","7.51","7.83","1.41","5.81","104.91","34.89"
2025-10-01,"9:00","26.634","32.161","20.02","73.8","5.29","3.44","7.5","8.45","1.43","5.86","105.23","35"
2025-10-01,"9:15","26.615","31.93","19.86","73.3","5.26","3.402","7.49","11.07","1.45","5.97","104.37","34.72"
2025-10-01,"9:30","26.57","31.558","19.61","72.8","5.24","3.363","7.48","11.48","1.51","6.19","104.4","34.72"
2025-10-01,"9:45","26.493","31.218","19.38","71.6","5.16","3.331","7.46","11.43","1.53","6.28","104.79","34.85"
2025-10-01,"10:00","26.422","30.958","19.2","69.9","5.05","3.303","7.44","11.56","1.61","6.58","104.45","34.74"
2025-10-01,"10:15","26.352","30.781","19.08","68.1","4.93","3.277","7.42","9.67","1.58","6.49","105.36","35.04"
2025-10-01,"10:30","26.322","30.631","18.98","67.3","4.88","3.252","7.4","11.14","1.61","6.61","104.82","34.87"
2025-10-01,"10:45","26.301","30.535","18.91","66.2","4.8","3.239","7.4","8.91","1.6","6.57","106.46","35.41"
2025-10-01,"11:00","26.292","30.534","18.91","66","4.79","3.238","7.39","6.89","1.6","6.55","105.84","35.21"
2025-10-01,"11:15","26.285","30.405","18.83","64.7","4.69","3.254","7.38","4.88","1.6","6.54","105.53","35.1"
2025-10-01,"11:30","26.297","30.495","18.89","65.2","4.73","3.281","7.39","6.12","1.61","6.59","107.73","35.83"
2025-10-01,"11:45","26.322","31.818","19.79","69.6","5.02","3.316","7.45","7.89","1.61","6.58","105.69","35.16"
2025-10-01,"12:00","26.381","31.862","19.82","70.4","5.07","3.361","7.46","11.5","1.47","6.03","103.81","34.53"
2025-10-01,"12:15","26.408","31.768","19.75","70.3","5.07","3.413","7.46","11.94","1.44","5.91","104.05","34.61"
2025-10-01,"12:30","26.441","31.697","19.7","70.3","5.06","3.47","7.45","13.16","1.41","5.81","103.88","34.55"
2025-10-01,"12:45","26.484","31.723","19.72","70.7","5.09","3.526","7.45","8.23","1.4","5.75","106.25","35.34"
2025-10-01,"13:00","26.56","32.083","19.97","72","5.17","3.583","7.46","8.9","1.4","5.76","105.88","35.22"
2025-10-01,"13:15","26.589","32.521","20.27","72.4","5.19","3.635","7.47","5.75","1.42","5.82","106.55","35.44"
2025-10-01,"13:30","26.593","32.648","20.36","72","5.16","3.691","7.47","7.39","1.42","5.81","105.7","35.16"
2025-10-01,"13:45","26.62","32.87","20.51","73","5.22","3.741","7.48","8.55","1.46","5.97","104.74","34.84"
2025-10-01,"14:00","26.61","33.162","20.71","72.6","5.19","3.787","7.48","10.36","1.43","5.87","102.9","34.23"
2025-10-01,"14:15","26.575","33.559","20.98","71.6","5.11","3.83","7.48","8.4","1.43","5.85","102.3","34.02"
2025-10-01,"14:30","26.64","33.723","21.1","73.7","5.25","3.875","7.5","8.94","1.43","5.85","101.63","33.8"
2025-10-01,"14:45","26.681","34.123","21.37","74.7","5.31","3.916","7.51","8.97","1.4","5.76","100.29","33.36"
2025-10-01,"15:00","26.713","34.63","21.72","75.7","5.37","3.953","7.54","7.36","1.39","5.7","99.04","32.94"
2025-10-01,"15:15","26.745","35.051","22.01","76.2","5.39","3.989","7.55","8.32","1.37","5.63","97.23","32.34"
2025-10-01,"15:30","26.764","35.488","22.32","76.6","5.41","4.024","7.56","12.28","1.39","5.72","93.89","31.23"
2025-10-01,"15:45","26.807","36.033","22.7","78","5.49","4.055","7.59","9.53","1.33","5.45","92.6","30.79"
2025-10-01,"16:00","26.836","36.453","22.99","78.7","5.53","4.086","7.61","9.79","1.4","5.76","91.03","30.27"
2025-10-01,"16:15","26.847","36.912","23.31","79.6","5.58","4.114","7.63","9.44","1.33","5.46","89.14","29.64"
2025-10-01,"16:30","26.844","37.412","23.66","80.2","5.62","4.136","7.64","8.4","1.31","5.39","52.27","17.36"
2025-10-01,"16:45","26.842","37.772","23.91","80.5","5.63","4.157","7.65","7.81","1.33","5.45","86.17","28.65"
2025-10-01,"17:00","26.84","38.185","24.2","80.7","5.63","4.174","7.66","7.99","3.07","12.51","84.21","28"
2025-10-01,"17:15","26.833","38.579","24.48","81.1","5.65","4.186","7.67","8.53","1.33","5.45","81.83","27.21"
2025-10-01,"17:30","26.83","39.052","24.81","81.4","5.66","4.192","7.69","8.85","1.31","5.38","79.51","26.43"
2025-10-01,"17:45","26.822","39.43","25.08","81.5","5.66","4.194","7.7","6.51","1.35","5.55","78.67","26.15"
2025-10-01,"18:00","26.813","39.45","25.09","81.7","5.68","4.189","7.7","5.05","1.26","5.2","78.9","26.23"
2025-10-01,"18:15","26.812","39.61","25.21","80.9","5.62","4.172","7.7","5.11","1.3","5.33","77.68","25.82"
2025-10-01,"18:30","26.814","39.61","25.21","78.7","5.46","4.145","7.69","5.35","1.27","5.24","75.89","25.23"
2025-10-01,"18:45","26.811","38.864","24.68","79.3","5.52","4.113","7.69","4.1","1.09","4.5","78.1","25.96"
2025-10-01,"19:00","26.816","39.043","24.81","80.7","5.61","4.073","7.69","4.7","1.3","5.33","79.15","26.32"
2025-10-01,"19:15","26.823","39.081","24.83","80.9","5.63","4.033","7.69","4.63","1.27","5.21","80.41","26.73"
2025-10-01,"19:30","26.831","38.475","24.41","80.3","5.59","3.99","7.67","5.62","1.29","5.31","83.12","27.64"
2025-10-01,"19:45","26.801","37.473","23.7","79.4","5.56","3.952","7.64","6.83","1.35","5.53","86.26","28.68"
2025-10-01,"20:00","26.804","37.168","23.49","79.1","5.54","3.909","7.64","7.49","1.32","5.43","87.72","29.17"
2025-10-01,"20:15","26.788","36.644","23.12","78.4","5.51","3.865","7.62","7.46","1.35","5.57","89.9","29.9"
2025-10-01,"20:30","26.737","35.983","22.66","77.9","5.49","3.821","7.6","6.18","1.31","5.39","93.05","30.94"
2025-10-01,"20:45","26.684","35.324","22.2","77.3","5.47","3.784","7.58","7.56","1.43","5.88","94.88","31.55"
2025-10-01,"21:00","26.576","34.274","21.48","76.4","5.44","3.745","7.54","8.6","1.49","6.12","97.68","32.49"
2025-10-01,"21:15","26.513","33.764","21.13","75.9","5.42","3.702","7.53","8.73","1.49","6.13","99.82","33.2"
2025-10-01,"21:30","26.504","33.521","20.96","75.3","5.38","3.665","7.52","9.4","1.5","6.16","100.25","33.34"
2025-10-01,"21:45","26.484","33.242","20.77","74.7","5.34","3.618","7.51","9.81","1.51","6.19","101.23","33.67"
2025-10-01,"22:00","26.455","32.895","20.53","74.2","5.32","3.576","7.5","10.93","1.53","6.27","101.73","33.84"
2025-10-01,"22:15","26.409","32.502","20.26","73.8","5.3","3.537","7.49","11.26","1.61","6.61","102.45","34.08"
2025-10-01,"22:30","26.341","32.125","20","73.1","5.27","3.504","7.47","13.09","1.68","6.86","102.78","34.19"
2025-10-01,"22:45","26.281","31.757","19.75","72.1","5.21","3.466","7.46","13.85","1.72","7.05","101.94","33.91"
2025-10-01,"23:00","26.231","31.486","19.56","70.9","5.13","3.433","7.44","12.4","1.69","6.94","103.57","34.45"
2025-10-01,"23:15","26.205","31.35","19.47","70.6","5.12","3.41","7.43","11.18","1.7","6.96","104.07","34.61"
2025-10-01,"23:30","26.16","31.18","19.36","69.4","5.03","3.398","7.42","8.89","1.63","6.67","105.24","35.01"
2025-10-01,"23:45","26.165","31.2","19.37","68.6","4.97","3.403","7.41","7.76","1.62","6.63","105.26","35.01"
2025-10-02,"0:00","26.134","31.097","19.3","66.7","4.84","3.421","7.41","6.47","1.46","5.98","106.25","35.34"
2025-10-02,"0:15","26.115","31.325","19.46","66.4","4.82","3.452","7.43","6.51","1.52","6.24","106.81","35.53"
2025-10-02,"0:30","26.105","32.346","20.16","70.3","5.08","3.493","7.46","8.65","1.51","6.18","104.15","34.64"
2025-10-02,"0:45","26.2","32.877","20.52","73.4","5.29","3.535","7.48","9.49","1.48","6.07","102.52","34.1"
2025-10-02,"1:00","26.196","32.61","20.34","72.4","5.22","3.579","7.47","18.04","1.58","6.46","99.63","33.14"
2025-10-02,"1:15","26.173","32.388","20.18","72.1","5.21","3.629","7.46","13.77","1.54","6.31","102.24","34.01"
2025-10-02,"1:30","26.115","32.325","20.14","72.6","5.25","3.672","7.46","9.36","1.47","6.04","104.75","34.84"
2025-10-02,"1:45","26.146","32.743","20.43","73.2","5.28","3.717","7.47","7.53","1.41","5.79","104.76","34.85"
2025-10-02,"2:00","26.153","33.125","20.69","74.2","5.34","3.762","7.49","7.76","1.38","5.65","103.74","34.51"
2025-10-02,"2:15","26.159","33.549","20.98","74.7","5.37","3.803","7.5","7.84","1.38","5.66","102.7","34.16"
2025-10-02,"2:30","26.117","33.827","21.18","74.4","5.35","3.838","7.49","10.82","1.42","5.81","100.76","33.51"
2025-10-02,"2:45","26.159","33.977","21.28","74.7","5.36","3.876","7.5","12.48","1.46","5.99","99.71","33.16"
