"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Depth","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-08-01,"0:00","30.63","53.913","35.46","82.8","5.1","5.263","7.72","7.31","1.55","6.29","15.02","4.95"
2025-08-01,"0:15","30.444","53.964","35.5","84.8","5.24","5.303","7.73","7.07","1.55","6.29","14.28","4.71"
2025-08-01,"0:30","30.198","54.015","35.55","85.6","5.3","5.334","7.75","5.93","1.55","6.3","13.41","4.41"
2025-08-01,"0:45","30.02","54.058","35.59","86.2","5.35","5.349","7.76","5.39","1.54","6.27","12.73","4.19"
2025-08-01,"1:00","29.745","54.133","35.65","88.1","5.49","5.366","7.77","5.42","1.58","6.42","11.66","3.83"
2025-08-01,"1:15","29.565","54.167","35.69","87.8","5.5","5.38","7.78","4.74","1.45","5.88","11.05","3.63"
2025-08-01,"1:30","29.334","54.201","35.72","88.2","5.54","5.382","7.79","5.59","1.38","5.62","10.09","3.31"
2025-08-01,"1:45","29.198","54.255","35.76","87.5","5.51","5.378","7.8","4.11","1.25","5.09","9.37","3.07"
2025-08-01,"2:00","29.114","54.289","35.79","85.8","5.4","5.373","7.8","3.53","1.27","5.19","8.97","2.94"
2025-08-01,"2:15","29.134","54.284","35.79","81.8","5.15","5.358","7.78","3.36","1.36","5.54","9.09","2.98"
2025-08-01,"2:30","29.642","54.106","35.64","82.1","5.13","5.328","7.75","3.76","1.17","4.76","12.31","4.05"
2025-08-01,"2:45","29.871","54.072","35.6","83.2","5.18","5.296","7.74","3.81","1.35","5.5","13.05","4.29"
2025-08-01,"3:00","30.094","53.99","35.53","81.2","5.04","5.249","7.73","5.78","1.48","6.03","14.47","4.77"
2025-08-01,"3:15","30.163","53.936","35.49","73.9","4.59","5.193","7.7","6.16","1.12","4.55","15.62","5.15"
2025-08-01,"3:30","30.182","53.82","35.41","66.9","4.15","5.136","7.64","6.37","1.08","4.41","18.06","5.96"
2025-08-01,"3:45","30.383","53.746","35.34","69.1","4.28","5.091","7.65","6.8","1.1","4.47","18.61","6.15"
2025-08-01,"4:00","30.705","53.671","35.28","71.6","4.41","5.037","7.65","6.1","1.11","4.52","19.52","6.45"
2025-08-01,"4:15","30.805","53.604","35.22","67.3","4.14","4.996","7.63","6.08","1.01","4.11","20.08","6.64"
2025-08-01,"4:30","30.952","53.534","35.17","67","4.12","4.943","7.62","5.55","0.96","3.92","21.08","6.97"
2025-08-01,"4:45","31.063","53.482","35.12","68.6","4.2","4.885","7.61","7.02","1.1","4.49","22.03","7.29"
2025-08-01,"5:00","31.111","53.457","35.1","65.1","3.99","4.827","7.6","6.07","0.99","4.04","22.41","7.41"
2025-08-01,"5:15","31.177","53.373","35.04","63.8","3.91","4.767","7.59","8.34","1.14","4.65","23.49","7.77"
2025-08-01,"5:30","31.225","53.291","34.98","62.8","3.84","4.715","7.58","7.37","1.01","4.12","24.87","8.23"
2025-08-01,"5:45","31.333","53.148","34.87","61","3.73","4.653","7.56","7.77","1.21","4.95","25.68","8.5"
2025-08-01,"6:00","31.378","53.009","34.76","60.9","3.72","4.608","7.56","7.77","1.1","4.49","27.18","9"
2025-08-01,"6:15","31.568","52.757","34.57","59.3","3.62","4.564","7.54","9.17","1.4","5.7","29.62","9.82"
2025-08-01,"6:30","31.58","52.64","34.48","56.5","3.44","4.527","7.54","8.08","1.22","4.98","30.54","10.12"
