"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Depth","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-12-01,"00:00","18.58","49.744","32.62","91.2","7.02","4.893","7.89","3.83","1.28","5.02","23.28","8.33"
2025-12-01,"00:15","18.574","49.755","32.63","91.6","7.06","4.96","7.89","3.65","1.51","5.93","23.27","8.33"
2025-12-01,"00:30","18.607","49.763","32.63","92.1","7.09","5.032","7.9","10.11","1.53","6.02","23.32","8.35"
2025-12-01,"00:45","18.632","49.774","32.64","92.1","7.09","5.097","7.9","5.34","1.67","6.57","22.57","8.09"
2025-12-01,"01:00","18.699","49.831","32.68","92.2","7.09","5.184","7.91","6.33","1.71","6.74","21.41","7.69"
2025-12-01,"01:15","18.758","49.899","32.73","92.3","7.08","5.272","7.92","6.31","1.87","7.38","20.28","7.31"
2025-12-01,"01:30","18.828","50.011","32.82","92.3","7.07","5.348","7.93","5.52","1.87","7.37","19.19","6.94"
2025-12-01,"01:45","18.79","50.003","32.81","92.5","7.09","5.438","7.93","6.67","1.93","7.59","19.25","6.96"
2025-12-01,"02:00","18.856","50.08","32.87","92.5","7.08","5.521","7.94","5.89","1.72","6.77","18.35","6.66"
2025-12-01,"02:15","18.818","49.969","32.78","92.7","7.1","5.604","7.94","8.43","1.65","6.48","18.81","6.81"
2025-12-01,"02:30","18.905","49.869","32.71","93.3","7.14","5.681","7.95","10.38","1.82","7.17","18.13","6.58"
2025-12-01,"02:45","19.195","49.911","32.74","95.9","7.29","5.756","7.99","9.69","1.77","6.95","16.07","5.88"
2025-12-01,"03:00","19.495","50.357","33.07","97.5","7.36","5.825","8.02","9.38","1.91","7.52","13.34","4.95"
2025-12-01,"03:15","19.835","50.915","33.48","99.3","7.43","5.886","8.06","6.15","1.32","5.17","10.02","3.82"
2025-12-01,"03:30","19.902","50.937","33.49","99.6","7.45","5.945","8.06","4.99","0.98","3.8","9.76","3.73"
2025-12-01,"03:45","19.96","51.038","33.57","99.4","7.42","5.997","8.07","4.56","1.16","4.52","9.23","3.55"
