"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Depth","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-11-01,"0:00","20.815","44.314","28.67","82.5","6.24","5.018","7.73","6.37","1.67","6.65","59.14","19.76"
2025-11-01,"0:15","20.767","44.369","28.71","82.1","6.21","5.069","7.74","4.78","1.63","6.5","59.19","19.78"
2025-11-01,"0:30","20.801","44.334","28.68","82.3","6.23","5.129","7.74","6.15","1.56","6.21","59.04","19.73"
2025-11-01,"0:45","20.862","44.251","28.62","82.6","6.24","5.194","7.73","7.56","1.69","6.73","59.42","19.86"
2025-11-01,"1:00","20.953","44.032","28.46","81.7","6.17","5.245","7.73","12.02","1.84","7.33","58.53","19.56"
2025-11-01,"1:15","20.989","43.977","28.42","81.5","6.16","5.306","7.73","11.55","1.84","7.34","57.76","19.3"
2025-11-01,"1:30","21.048","44.013","28.45","81.7","6.16","5.374","7.74","11.99","1.89","7.54","54.58","18.24"
2025-11-01,"1:45","21.076","44.134","28.53","82.3","6.2","5.444","7.76","10","1.73","6.9","53.51","17.88"
2025-11-01,"2:00","21.056","44.136","28.54","81.9","6.17","5.513","7.75","10.97","1.77","7.05","53.56","17.9"
2025-11-01,"2:15","21.179","44.375","28.71","83","6.24","5.577","7.78","16.03","1.99","7.92","49.5","16.54"
2025-11-01,"2:30","21.199","44.485","28.79","84.1","6.31","5.638","7.79","12.56","1.99","7.93","49.4","16.51"
2025-11-01,"2:45","21.224","44.623","28.88","85.8","6.43","5.694","7.82","14.87","2.25","8.94","44.15","14.75"
2025-11-01,"3:00","21.213","44.891","29.08","88","6.59","5.749","7.86","19.38","2.61","10.36","39.35","13.15"
2025-11-01,"3:15","21.176","45.476","29.5","90.7","6.78","5.801","7.9","11.99","2.5","9.93","36.04","12.04"
2025-11-01,"3:30","21.23","46.215","30.04","91.9","6.84","5.844","7.93","13.79","2.82","11.18","31.86","10.64"
2025-11-01,"3:45","21.332","47.629","31.06","93.4","6.9","5.875","7.97","10.57","2.2","8.76","24.94","8.33"
2025-11-01,"4:00","21.422","48.637","31.8","94.4","6.93","5.898","8","10.15","2.3","9.14","19.65","6.56"
2025-11-01,"4:15","21.55","49.391","32.35","95.1","6.95","5.92","8.02","10.4","1.84","7.33","15.33","5.12"
2025-11-01,"4:30","21.63","49.736","32.6","95.1","6.92","5.933","8.03","10.09","2.29","9.08","13.52","4.51"
2025-11-01,"4:45","21.666","49.855","32.69","94.6","6.88","5.928","8.03","8.42","2.62","10.42","12.88","4.3"
2025-11-01,"5:00","21.681","49.967","32.77","93.4","6.79","5.919","8.03","7.63","1.96","7.78","12","4.01"
2025-11-01,"5:15","21.697","50.019","32.81","92.6","6.73","5.899","8.02","12.95","1.62","6.45","11.92","3.98"
2025-11-01,"5:30","21.701","50.064","32.84","91.9","6.67","5.863","8.02","4.01","1.28","5.1","11.73","3.91"
2025-11-01,"5:45","21.652","49.844","32.68","93.9","6.84","5.823","8.03","5.85","3.52","13.97","13.08","4.37"
2025-11-01,"6:00","21.256","47.855","31.23","91.5","6.76","5.77","7.97","10.52","2.06","8.19","24.64","8.23"
2025-11-01,"6:15","21.032","47.303","30.83","88.4","6.58","5.71","7.94","9.32","2.28","9.05","29.02","9.7"
2025-11-01,"6:30","20.549","45.71","29.68","84","6.35","5.648","7.87","6.79","2.24","8.88","40.63","13.57"
2025-11-01,"6:45","20.491","45.492","29.52","82.7","6.26","5.578","7.85","8.72","1.74","6.91","42.63","14.24"
2025-11-01,"7:00","20.04","44.908","29.1","78.5","6.01","5.51","7.81","8.17","1.71","6.8","46.91","15.67"
2025-11-01,"7:15","20.409","44.561","28.85","79.8","6.07","5.444","7.78","140.44","1.92","7.63","48.64","16.25"
2025-11-01,"7:30","20.315","44.263","28.63","78.4","5.99","5.381","7.77","11.38","1.68","6.67","52.83","17.65"
2025-11-01,"7:45","20.27","44.128","28.54","77.7","5.94","5.325","7.75","10.87","1.63","6.49","53.61","17.91"
2025-11-01,"8:00","20.156","44.137","28.54","77.1","5.91","5.265","7.75","10.8","1.64","6.53","53.18","17.77"
2025-11-01,"8:15","20.262","43.942","28.4","77.5","5.93","5.205","7.75","9.89","1.56","6.2","55.53","18.55"
2025-11-01,"8:30","20.253","43.86","28.34","77.9","5.97","5.147","7.74","9.46","1.5","5.99","55.19","18.44"
2025-11-01,"8:45","20.274","43.608","28.16","77.5","5.94","5.104","7.72","8.28","1.49","5.94","57.75","19.3"
2025-11-01,"9:00","20.241","43.466","28.06","76.6","5.88","5.06","7.72","10.01","2.01","8","58.77","19.64"
