"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Depth","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-09-01,"0:00","29.785","50.73","33.14","95","6.01","5.736","7.92","5.47","1.51","6.05","19.48","6.44"
2025-09-01,"0:15","29.824","51.078","33.39","93.9","5.92","5.783","7.93","5.43","1.39","5.58","17.65","5.83"
2025-09-01,"0:30","29.807","51.24","33.51","93.8","5.92","5.804","7.93","4.93","1.34","5.39","16.6","5.48"
2025-09-01,"0:45","29.773","51.248","33.52","93.4","5.9","5.823","7.93","5.18","1.3","5.23","16.99","5.61"
2025-09-01,"1:00","29.721","51.212","33.49","93.5","5.91","5.857","7.93","4.65","1.27","5.1","16.75","5.53"
2025-09-01,"1:15","29.449","51.063","33.39","94.8","6.02","5.893","7.94","5.09","1.25","5.02","17.9","5.91"
2025-09-01,"1:30","29.532","51.191","33.48","94.4","5.98","5.916","7.94","5.57","1.28","5.12","16.78","5.54"
2025-09-01,"1:45","29.532","51.135","33.44","94","5.96","5.926","7.94","4.53","1.22","4.89","17.08","5.64"
2025-09-01,"2:00","29.475","50.986","33.34","95.2","6.04","5.956","7.95","4.07","1.25","5.01","17.78","5.87"
2025-09-01,"2:15","29.457","50.996","33.34","94.6","6.01","5.962","7.94","3.82","1.18","4.74","17.56","5.8"
2025-09-01,"2:30","29.454","51.075","33.4","93.9","5.96","5.949","7.95","4.04","1.18","4.72","16.93","5.59"
2025-09-01,"2:45","29.44","51.098","33.42","91.7","5.82","5.942","7.94","2.86","1.04","4.17","16.68","5.51"
2025-09-01,"3:00","29.394","51.09","33.41","83.5","5.31","5.929","7.92","2.42","0.88","3.51","16.34","5.39"
2025-09-01,"3:15","29.357","51.088","33.41","80.5","5.12","5.912","7.92","4.39","0.77","3.08","15.73","5.19"
2025-09-01,"3:30","29.342","50.851","33.24","85.4","5.44","5.901","7.92","2.68","0.77","3.05","17.91","5.92"
2025-09-01,"3:45","29.275","50.734","33.16","88.2","5.62","5.886","7.92","2.51","0.91","3.62","18.3","6.04"
2025-09-01,"4:00","29.159","50.559","33.03","86.7","5.54","5.876","7.92","3.01","0.77","3.05","19.52","6.45"
2025-09-01,"4:15","29.127","50.54","33.02","76.6","4.9","5.859","7.89","2.75","0.59","2.32","19.65","6.49"
2025-09-01,"4:30","29.138","50.527","33.01","82.7","5.29","5.823","7.9","2.91","0.69","2.75","19.89","6.57"
2025-09-01,"4:45","28.989","50.216","32.79","88.3","5.66","5.805","7.92","3.94","1.02","4.08","23.14","7.66"
