"Date","Time","F_Record","FILENAME","SITENAME","USERID","FAULTCODE","SpCond","F_SpCond","Sal","F_Sal","Depth","F_Depth","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","fDOMQSU","fDOMRFU","pH","F_pH","pHmV","BATTERY","Temp","F_Temp","Turb","F_Turb","WIPERPOSITIONVOLT","ChlorophyllRFU","ChlFluor","F_ChlFluor","PHMV"
2025-07-01,"0:00","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","54.231","0","35.9","0","2.472","0","66.2","0","4.59","0","5.89","1.86","7.93","0","-71.3","5.88","23.391","0","2.44","0","1.228","0.91","3.72","0",""
2025-07-01,"0:15","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","54.25","0","35.91","0","2.503","0","58.5","0","4.05","0","5.88","1.86","7.9","0","-69.1","5.88","23.327","0","2.15","0","1.219","0.75","3.05","0",""
2025-07-01,"0:30","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","54.227","0","35.9","0","2.541","0","82.7","0","5.73","0","5.53","1.74","7.96","0","-72.8","5.88","23.401","0","2.88","0","1.23","1.58","6.41","0",""
2025-07-01,"0:45","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","54.181","0","35.86","0","2.561","0","82.3","0","5.7","0","5.99","1.89","7.96","0","-73","5.88","23.454","0","2.64","0","1.222","1.36","5.52","0",""
2025-07-01,"1:00","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","54.123","0","35.82","0","2.562","0","83.1","0","5.74","0","6.25","1.98","7.96","0","-73","5.88","23.522","0","3.15","0","1.22","1.58","6.44","0",""
2025-07-01,"1:15","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.988","0","35.71","0","2.563","0","83.9","0","5.78","0","7.16","2.29","7.96","0","-72.8","5.88","23.803","0","3.54","0","1.22","1.47","5.99","0",""
2025-07-01,"1:30","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.944","0","35.67","0","2.572","0","83.8","0","5.76","0","7.35","2.35","7.95","0","-72.6","5.89","23.941","0","3.36","0","1.22","1.53","6.23","0",""
2025-07-01,"1:45","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.924","0","35.64","0","2.567","0","85.1","0","5.77","0","8.43","2.71","7.93","0","-71.6","5.88","24.747","0","3.81","0","1.225","1.23","5","0",""
2025-07-01,"2:00","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.861","0","35.58","0","2.537","0","85.3","0","5.74","0","9.37","3.02","7.92","0","-70.9","5.88","25.254","0","4.04","0","1.232","1.07","4.35","0",""
2025-07-01,"2:15","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.831","0","35.55","0","2.49","0","85.6","0","5.72","0","9.86","3.19","7.91","0","-70.3","5.88","25.58","0","5.22","0","1.226","1.06","4.31","0",""
2025-07-01,"2:30","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.779","0","35.51","0","2.433","0","84.9","0","5.64","0","10.55","3.42","7.9","0","-69.6","5.87","25.91","0","4.62","0","1.22","0.94","3.84","0",""
2025-07-01,"2:45","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.746","0","35.48","0","2.38","0","85.6","0","5.67","0","11.2","3.64","7.89","0","-69.4","5.88","26.08","0","4.8","0","1.217","0.99","4.04","0",""
2025-07-01,"3:00","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.703","0","35.44","0","2.337","0","86.2","0","5.7","0","11.43","3.71","7.88","0","-68.9","5.88","26.282","0","4.95","0","1.222","0.96","3.92","0",""
2025-07-01,"3:15","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.655","0","35.4","0","2.293","0","85.5","0","5.63","0","12.14","3.95","7.88","0","-68.5","5.87","26.522","0","4.92","0","1.232","1","4.07","0",""
2025-07-01,"3:30","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.604","0","35.36","0","2.251","0","84","0","5.52","0","12.69","4.14","7.86","0","-67.7","5.88","26.689","0","5.08","0","1.226","0.84","3.44","0",""
2025-07-01,"3:45","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.588","0","35.34","0","2.207","0","84.2","0","5.53","0","12.92","4.21","7.86","0","-67.7","5.87","26.729","0","5.24","0","1.22","0.89","3.63","0",""
2025-07-01,"4:00","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.564","0","35.32","0","2.166","0","82","0","5.38","0","13.52","4.41","7.85","0","-67.1","5.88","26.795","0","4.79","0","1.221","0.83","3.4","0",""
2025-07-01,"4:15","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.585","0","35.35","0","2.119","0","80.3","0","5.3","0","12.53","4.08","7.85","0","-66.8","5.87","26.415","0","4.49","0","1.225","0.87","3.55","0",""
2025-07-01,"4:30","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.763","0","35.5","0","2.07","0","76.9","0","5.12","0","11.87","3.86","7.86","0","-67.4","5.87","25.836","0","4.08","0","1.226","0.83","3.37","0",""
2025-07-01,"4:45","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.763","0","35.51","0","2.021","0","74","0","4.97","0","10.82","3.51","7.87","0","-67.6","5.88","25.311","0","3.48","0","1.227","0.69","2.81","0",""
2025-07-01,"5:00","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.716","0","35.47","0","1.977","0","66.9","0","4.46","0","11.55","3.76","7.83","0","-65.6","5.87","25.736","0","3.97","0","1.229","0.58","2.38","0",""
2025-07-01,"5:15","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.707","0","35.46","0","1.93","0","65.3","0","4.36","0","11.88","3.86","7.83","0","-65.2","5.88","25.707","0","3.35","0","1.232","0.42","1.72","0",""
2025-07-01,"5:30","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.616","0","35.38","0","1.884","0","78.6","0","5.2","0","12.38","4.03","7.85","0","-66.5","5.87","26.314","0","3.93","0","1.222","0.94","3.84","0",""
2025-07-01,"5:45","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.644","0","35.4","0","1.841","0","78.4","0","5.2","0","12.39","4.03","7.85","0","-66.5","5.87","26.157","0","4.15","0","1.219","0.72","2.94","0",""
2025-07-01,"6:00","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.691","0","35.44","0","1.801","0","78","0","5.19","0","11.91","3.87","7.85","0","-66.7","5.87","25.963","0","3.92","0","1.221","0.56","2.28","0",""
2025-07-01,"6:15","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.684","0","35.44","0","1.762","0","77.4","0","5.15","0","11.67","3.79","7.85","0","-66.5","5.87","25.859","0","4.09","0","1.228","0.64","2.61","0",""
2025-07-01,"6:30","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.72","0","35.47","0","1.723","0","73.7","0","4.93","0","11.28","3.66","7.84","0","-66.2","5.88","25.617","0","3.96","0","1.229","0.64","2.61","0",""
2025-07-01,"6:45","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.738","0","35.49","0","1.683","0","75.2","0","5.04","0","11.56","3.76","7.85","0","-66.6","5.87","25.461","0","4.06","0","1.224","0.63","2.58","0",""
2025-07-01,"7:00","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.728","0","35.48","0","1.644","0","78.3","0","5.25","0","11.22","3.64","7.86","0","-67.2","5.87","25.463","0","4.62","0","1.22","0.57","2.32","0",""
2025-07-01,"7:15","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.787","0","35.53","0","1.607","0","75.1","0","5.05","0","10.9","3.54","7.85","0","-66.6","5.87","25.215","0","3.92","0","1.222","0.52","2.13","0",""
2025-07-01,"7:30","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.812","0","35.56","0","1.575","0","70","0","4.74","0","11.06","3.59","7.84","0","-65.7","5.87","24.805","0","3.75","0","1.228","0.45","1.84","0",""
2025-07-01,"7:45","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.837","0","35.58","0","1.548","0","69.8","0","4.74","0","10.27","3.33","7.84","0","-66","5.88","24.644","0","3.69","0","1.227","0.48","1.96","0",""
2025-07-01,"8:00","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.861","0","35.6","0","1.528","0","71.7","0","4.86","0","10.09","3.27","7.85","0","-66.5","5.87","24.737","0","4.3","0","1.222","0.48","1.98","0",""
2025-07-01,"8:15","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.993","0","35.7","0","1.515","0","74.5","0","5.08","0","8.68","2.79","7.88","0","-68.1","5.87","24.341","0","3.88","0","1.229","0.62","2.53","0",""
2025-07-01,"8:30","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","54.143","0","35.83","0","1.512","0","74","0","5.12","0","6.99","2.23","7.9","0","-69.3","5.87","23.447","0","4.01","0","1.228","0.85","3.49","0",""
2025-07-01,"8:45","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","54.153","0","35.85","0","1.533","0","74.7","0","5.21","0","6.21","1.97","7.92","0","-70.2","5.86","22.955","0","4.14","0","1.225","1.18","4.8","0",""
2025-07-01,"9:00","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","54.06","0","35.78","0","1.562","0","76.2","0","5.31","0","6.83","2.18","7.92","0","-70.6","5.87","23.05","0","4.13","0","1.233","1.28","5.2","0",""
2025-07-01,"9:15","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.936","0","35.68","0","1.613","0","79.4","0","5.51","0","7.19","2.29","7.93","0","-71","5.86","23.339","0","4.06","0","1.229","1.27","5.17","0",""
2025-07-01,"9:30","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.835","0","35.6","0","1.669","0","81.9","0","5.66","0","7.68","2.46","7.93","0","-71.2","5.86","23.606","0","4.09","0","1.23","1.24","5.03","0",""
2025-07-01,"9:45","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.58","0","35.4","0","1.718","0","81.6","0","5.61","0","9.38","3.03","7.92","0","-70.6","5.87","23.981","0","4.79","0","1.214","1.37","5.58","0",""
2025-07-01,"10:00","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.372","0","35.24","0","1.78","0","81.4","0","5.57","0","10.43","3.38","7.91","0","-70.1","5.86","24.297","0","4.97","0","1.221","1.31","5.35","0",""
2025-07-01,"10:15","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.432","0","35.29","0","1.839","0","81.3","0","5.58","0","10.02","3.24","7.91","0","-70","5.87","24.187","0","4.83","0","1.233","1.27","5.17","0",""
2025-07-01,"10:30","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.396","0","35.26","0","1.898","0","81.9","0","5.6","0","10.11","3.27","7.91","0","-70","5.86","24.3","0","4.24","0","1.228","1.17","4.76","0",""
2025-07-01,"10:45","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.583","0","35.41","0","1.96","0","81.5","0","5.6","0","9.2","2.97","7.92","0","-70.4","5.86","24.015","0","3.68","0","1.218","1.25","5.08","0",""
2025-07-01,"11:00","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.745","0","35.53","0","2.022","0","80.6","0","5.56","0","8.15","2.62","7.92","0","-70.5","5.87","23.77","0","3.07","0","1.23","1.32","5.38","0",""
2025-07-01,"11:15","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.883","0","35.64","0","2.087","0","81.2","0","5.61","0","7.25","2.32","7.92","0","-70.8","5.86","23.595","0","4.01","0","1.228","1.3","5.28","0",""
2025-07-01,"11:30","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.974","0","35.71","0","2.143","0","79.8","0","5.52","0","6.82","2.17","7.93","0","-70.9","5.87","23.538","0","3.41","0","1.23","1.26","5.11","0",""
2025-07-01,"11:45","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","54.079","0","35.78","0","2.197","0","81.4","0","5.63","0","6.26","1.98","7.94","0","-71.4","5.86","23.495","0","3.09","0","1.229","1.35","5.49","0",""
2025-07-01,"12:00","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","54.126","0","35.82","0","2.253","0","77.2","0","5.35","0","6.1","1.93","7.93","0","-71","5.86","23.452","0","3.12","0","1.229","1.01","4.12","0",""
2025-07-01,"12:15","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","54.204","0","35.88","0","2.299","0","76.3","0","5.29","0","6.09","1.93","7.93","0","-71","5.87","23.342","0","2.26","0","1.231","1.04","4.25","0",""
2025-07-01,"12:30","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","54.239","0","35.91","0","2.345","0","69.1","0","4.79","0","5.89","1.86","7.92","0","-70.5","5.86","23.305","0","3.5","0","1.229","0.83","3.38","0",""
2025-07-01,"12:45","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","54.243","0","35.91","0","2.381","0","67.5","0","4.68","0","5.88","1.86","7.9","0","-69.1","5.86","23.313","0","2.16","0","1.226","1.3","5.29","0",""
2025-07-01,"13:00","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","54.215","0","35.89","0","2.408","0","87.5","0","6.06","0","5.28","1.66","7.95","0","-72.4","5.85","23.393","0","3.12","0","1.228","1.46","5.95","0",""
2025-07-01,"13:15","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","54.082","0","35.78","0","2.437","0","75.3","0","5.2","0","6.46","2.05","7.94","0","-71.5","5.86","23.592","0","2.59","0","1.231","1.09","4.46","0",""
2025-07-01,"13:30","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.729","0","35.52","0","2.454","0","83.2","0","5.75","0","7.3","2.33","7.94","0","-71.8","5.86","23.726","0","2.82","0","1.233","1.35","5.5","0",""
2025-07-01,"13:45","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.853","0","35.61","0","2.462","0","83.7","0","5.76","0","7.5","2.4","7.94","0","-71.5","5.85","23.914","0","3.36","0","1.224","1.67","6.8","0",""
2025-07-01,"14:00","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.701","0","35.49","0","2.467","0","84.3","0","5.77","0","8.45","2.72","7.93","0","-71.2","5.86","24.188","0","3.74","0","1.219","1.55","6.29","0",""
2025-07-01,"14:15","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.641","0","35.44","0","2.454","0","82.9","0","5.65","0","8.91","2.87","7.92","0","-70.7","5.85","24.497","0","3.38","0","1.215","1.32","5.39","0",""
2025-07-01,"14:30","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.903","0","35.63","0","2.427","0","84.9","0","5.78","0","7.9","2.53","7.92","0","-70.7","5.85","24.5","0","3.79","0","1.217","1.32","5.38","0",""
2025-07-01,"14:45","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.863","0","35.59","0","2.392","0","85.6","0","5.76","0","8.86","2.85","7.9","0","-69.4","5.86","25.231","0","4.08","0","1.226","1.1","4.47","0",""
2025-07-01,"15:00","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.807","0","35.53","0","2.353","0","86","0","5.73","0","9.49","3.06","7.88","0","-68.6","5.85","25.771","0","4.97","0","1.234","1.12","4.55","0",""
2025-07-01,"15:15","","gtmfmwq_24G103006_062625_050000.bin","Fort Matanzas","GTMNERR","0","53.769","0","35.5","0","2.313","0","84.3","0","5.59","0","9.94","3.22","7.87","0","-68.2","5.86","26.044","0","54276.29","-5","1.227","1","4.07","0",""
