"Deploy Date","Deploy Time","Retrieve Date","Retrieve Time","Sonde Model Number (Nickname)","pH Model Number","rpDO Model Number","roxDO Model Number","Turb Model Number","Cond Model Number","Chloro Model Number","EXO Model Number","DATE","TIME","F_Record","FILENAME","SITENAME","USERID","FAULTCODE","SpCond","F_SpCond","Sal","F_Sal","Depth","F_Depth","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","FDOMQSU","FDOMRFU","pH","F_pH","pHmV","BATTERY","Temp","F_Temp","Turb","F_Turb","WIPERPOSITIONVOLT","CHLOROPHYLLRFU","ChlFluor","F_ChlFluor","Date","Time","fDOMQSU","fDOMRFU","ChlorophyllRFU","PHMV"
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.822","0","32.57","0","2.613","0","95.4","0","6.37","0","","","7.99","0","-82","5.95","26.656","0","8.26","0","1.225","","6.17","0",2025-10-01,"0:00","","","1.52",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","50.173","0","32.82","0","2.633","0","96.2","0","6.41","0","","","8.01","0","-83.3","5.95","26.732","0","9.92","0","1.225","","6.9","0",2025-10-01,"0:15","","","1.71",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","50.105","0","32.77","0","2.657","0","95.8","0","6.38","0","","","8.01","0","-83.1","5.94","26.743","0","10.89","0","1.221","","8.51","0",2025-10-01,"0:30","","","2.1",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","50.018","0","32.71","0","2.69","0","95.6","0","6.37","0","","","8","0","-82.8","5.95","26.75","0","12.87","0","1.219","","10.43","0",2025-10-01,"0:45","","","2.58",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.909","0","32.63","0","2.721","0","94.8","0","6.32","0","","","7.99","0","-82.2","5.94","26.7","0","9.13","0","1.22","","6.95","0",2025-10-01,"1:00","","","1.72",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.845","0","32.58","0","2.75","0","94.3","0","6.29","0","","","7.99","0","-82","5.95","26.705","0","8.22","0","1.223","","6.14","0",2025-10-01,"1:15","","","1.52",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.786","0","32.54","0","2.775","0","92.8","0","6.2","0","","","7.99","0","-81.7","5.95","26.697","0","7.94","0","1.223","","6.83","0",2025-10-01,"1:30","","","1.69",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.648","0","32.44","0","2.798","0","90.4","0","6.04","0","","","7.98","0","-81.2","5.94","26.68","0","6.44","0","1.222","","5.1","0",2025-10-01,"1:45","","","1.26",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.497","0","32.33","0","2.822","0","90.6","0","6.06","0","","","7.97","0","-80.6","5.95","26.634","0","5.4","0","1.221","","5.39","0",2025-10-01,"2:00","","","1.33",""
"","","","","","","","","","","","","","","","gtmfmwq_24G103006_092525_091500.bin","Fort Matanzas","GTMNERR","0","49.216","0","32.12","0","2.843","0","88.6","0","5.93","0","","","7.95","0","-79.7","5.94","26.597","0","4.91","0","1.216","","4.75","0",2025-10-01,"2:15","","","1.17",""
