"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Depth","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-10-01,"0:00","26.656","49.822","32.57","95.4","6.37","2.613","7.99","8.26","1.52","6.17","",""
2025-10-01,"0:15","26.732","50.173","32.82","96.2","6.41","2.633","8.01","9.92","1.71","6.9","",""
2025-10-01,"0:30","26.743","50.105","32.77","95.8","6.38","2.657","8.01","10.89","2.1","8.51","",""
2025-10-01,"0:45","26.75","50.018","32.71","95.6","6.37","2.69","8","12.87","2.58","10.43","",""
2025-10-01,"1:00","26.7","49.909","32.63","94.8","6.32","2.721","7.99","9.13","1.72","6.95","",""
2025-10-01,"1:15","26.705","49.845","32.58","94.3","6.29","2.75","7.99","8.22","1.52","6.14","",""
2025-10-01,"1:30","26.697","49.786","32.54","92.8","6.2","2.775","7.99","7.94","1.69","6.83","",""
2025-10-01,"1:45","26.68","49.648","32.44","90.4","6.04","2.798","7.98","6.44","1.26","5.1","",""
2025-10-01,"2:00","26.634","49.497","32.33","90.6","6.06","2.822","7.97","5.4","1.33","5.39","",""
2025-10-01,"2:15","26.597","49.216","32.12","88.6","5.93","2.843","7.95","4.91","1.17","4.75","",""
2025-10-01,"2:30","26.593","49.144","32.07","88.2","5.91","2.87","7.94","4.67","1","4.03","",""
2025-10-01,"2:45","26.588","49.16","32.08","86.9","5.82","2.89","7.94","4.24","0.76","3.07","",""
2025-10-01,"3:00","26.596","49.196","32.11","78.6","5.27","2.909","7.92","4.79","1.14","4.63","",""
2025-10-01,"3:15","26.537","49.11","32.05","75.8","5.09","2.926","7.91","3.81","0.79","3.21","",""
2025-10-01,"3:30","26.616","49.496","32.33","73.9","4.94","2.938","7.93","4.3","1.03","4.17","",""
2025-10-01,"3:45","26.662","49.667","32.45","85.3","5.7","2.942","7.96","4.76","1.07","4.32","",""
2025-10-01,"4:00","26.637","49.646","32.44","88.2","5.9","2.946","7.97","5.79","1.38","5.57","",""
2025-10-01,"4:15","26.61","49.646","32.44","91.8","6.14","2.945","7.97","5.5","1.3","5.27","",""
2025-10-01,"4:30","26.584","49.617","32.42","92.4","6.18","2.934","7.97","5.36","1.29","5.24","",""
2025-10-01,"4:45","26.573","49.597","32.4","91.8","6.14","2.913","7.97","5.75","1.3","5.25","",""
2025-10-01,"5:00","26.561","49.559","32.38","91.8","6.15","2.89","7.97","6.17","1.21","4.9","",""
2025-10-01,"5:15","26.522","49.289","32.18","91.6","6.14","2.863","7.96","7.31","1.24","5.02","",""
2025-10-01,"5:30","26.506","49.073","32.02","90.8","6.1","2.837","7.94","7.34","1.19","4.81","",""
2025-10-01,"5:45","26.485","48.762","31.79","89.9","6.05","2.808","7.93","7.77","1.16","4.68","",""
2025-10-01,"6:00","26.438","48.257","31.43","89","6","2.776","7.91","7.35","1.18","4.77","",""
2025-10-01,"6:15","26.394","47.639","30.98","88.4","5.98","2.742","7.89","7.02","1.13","4.56","",""
2025-10-01,"6:30","26.293","46.804","30.37","87.2","5.93","2.71","7.85","6.18","1.15","4.63","",""
2025-10-01,"6:45","26.316","46.737","30.32","87.1","5.92","2.68","7.85","6.3","1.15","4.66","",""
2025-10-01,"7:00","26","46.154","29.91","83.6","5.73","2.652","7.81","5.41","1.15","4.67","",""
2025-10-01,"7:15","25.901","46.187","29.94","79.6","5.46","2.62","7.81","5.28","1.06","4.29","",""
2025-10-01,"7:30","25.887","46.006","29.8","82.5","5.67","2.591","7.81","5.31","0.95","3.84","",""
2025-10-01,"7:45","26.042","46.68","30.29","75.5","5.16","2.56","7.81","5.81","0.92","3.73","",""
2025-10-01,"8:00","26.24","46.805","30.37","83.4","5.68","2.526","7.84","5.84","0.98","3.95","",""
2025-10-01,"8:15","26.375","47.292","30.73","84.9","5.76","2.498","7.86","4.77","0.97","3.91","",""
2025-10-01,"8:30","26.29","47.21","30.67","84.5","5.74","2.47","7.85","5.27","0.95","3.84","",""
2025-10-01,"8:45","25.983","46.969","30.5","81.6","5.58","2.443","7.82","5.79","0.99","4.02","",""
2025-10-01,"9:00","26.167","47.142","30.62","84","5.71","2.42","7.84","5.52","0.93","3.75","",""
2025-10-01,"9:15","26.105","47.451","30.85","81.6","5.55","2.4","7.84","6.55","0.91","3.7","",""
2025-10-01,"9:30","26.033","47.492","30.88","81.5","5.55","2.382","7.84","6.05","0.98","3.97","",""
2025-10-01,"9:45","25.925","47.581","30.95","81.2","5.54","2.368","7.83","6.18","0.93","3.76","",""
2025-10-01,"10:00","25.941","47.563","30.93","82.1","5.6","2.362","7.84","6.18","0.88","3.57","",""
2025-10-01,"10:15","25.89","47.644","30.99","80.7","5.5","2.363","7.83","7.59","0.89","3.6","",""
2025-10-01,"10:30","25.922","47.922","31.2","81.3","5.54","2.372","7.85","10.74","1.01","4.07","",""
2025-10-01,"10:45","26.082","48.74","31.79","86.3","5.84","2.388","7.91","11.29","1.02","4.11","",""
2025-10-01,"11:00","26.238","49.457","32.31","90.6","6.1","2.402","7.94","9.91","1.07","4.34","",""
2025-10-01,"11:15","26.404","49.77","32.53","94.6","6.34","2.422","7.99","10.8","1.11","4.47","",""
2025-10-01,"11:30","26.42","49.789","32.55","95","6.37","2.452","8","13.31","1.37","5.53","",""
2025-10-01,"11:45","26.465","49.723","32.5","95.5","6.4","2.487","8","13.29","1.41","5.7","",""
2025-10-01,"12:00","26.542","49.782","32.54","97","6.49","2.525","8.01","11.27","1.27","5.14","",""
2025-10-01,"12:15","26.545","49.79","32.55","97","6.49","2.564","8.01","12.5","1.35","5.46","",""
2025-10-01,"12:30","26.54","49.797","32.55","97.3","6.51","2.609","8.01","10.95","1.36","5.52","",""
2025-10-01,"12:45","26.554","49.779","32.54","96.5","6.45","2.66","8.01","13.78","1.28","5.16","",""
2025-10-01,"13:00","26.623","49.782","32.54","98","6.55","2.705","8.02","10.56","1.23","4.98","",""
2025-10-01,"13:15","26.653","49.75","32.51","98.3","6.57","2.751","8.01","9.28","1.26","5.11","",""
2025-10-01,"13:30","26.672","49.686","32.47","97","6.48","2.798","8.01","9.34","1.22","4.93","",""
2025-10-01,"13:45","26.686","49.646","32.44","97.1","6.48","2.845","8","8.48","1.25","5.04","",""
2025-10-01,"14:00","26.766","49.682","32.46","97.4","6.49","2.887","8","10.92","1.45","5.86","",""
2025-10-01,"14:15","26.863","49.775","32.53","96.7","6.43","2.925","8.01","10.71","1.46","5.9","",""
2025-10-01,"14:30","26.902","49.822","32.56","96","6.38","2.965","8.01","7.98","1.21","4.88","",""
2025-10-01,"14:45","26.999","49.821","32.56","82.8","5.5","2.999","7.97","7.26","0.82","3.32","",""
2025-10-01,"15:00","26.938","49.845","32.58","88.5","5.88","3.031","8","5.76","0.73","2.97","",""
2025-10-01,"15:15","26.977","49.835","32.57","101","6.71","3.06","8.03","7.87","1.37","5.56","",""
2025-10-01,"15:30","26.967","49.846","32.57","101.4","6.74","3.087","8.02","7.64","1.11","4.49","",""
2025-10-01,"15:45","26.807","49.741","32.5","97.5","6.49","3.107","8.01","9.8","1.47","5.94","",""
2025-10-01,"16:00","26.721","49.683","32.46","96.1","6.41","3.123","8","8.41","1.39","5.62","",""
2025-10-01,"16:15","26.799","49.693","32.47","99.4","6.63","3.132","8.01","8.14","1.67","6.76","",""
2025-10-01,"16:30","26.83","49.686","32.46","101.2","6.74","3.136","8.01","9.21","1.71","6.93","",""
2025-10-01,"16:45","26.811","49.616","32.41","101.1","6.74","3.136","8.01","7.41","1.87","7.56","",""
2025-10-01,"17:00","26.821","49.282","32.17","100.7","6.72","3.13","7.98","7.16","1.84","7.46","",""
2025-10-01,"17:15","26.771","48.934","31.91","98.5","6.59","3.113","7.96","7.73","1.87","7.57","",""
2025-10-01,"17:30","26.709","48.439","31.55","97","6.51","3.085","7.93","8.06","1.84","7.46","",""
2025-10-01,"17:45","26.656","47.931","31.18","95.3","6.41","3.059","7.91","7.51","1.86","7.51","",""
2025-10-01,"18:00","26.628","47.567","30.92","94.7","6.39","3.024","7.89","7.35","1.73","6.99","",""
2025-10-01,"18:15","26.579","47.151","30.62","93.5","6.32","2.993","7.87","7.65","1.7","6.89","",""
2025-10-01,"18:30","26.554","46.902","30.44","92.8","6.28","2.956","7.86","7.47","1.65","6.66","",""
2025-10-01,"18:45","26.534","46.627","30.24","92","6.24","2.916","7.85","7.37","1.67","6.75","",""
2025-10-01,"19:00","26.523","46.912","30.45","91.3","6.18","2.882","7.85","7.78","1.55","6.29","",""
2025-10-01,"19:15","26.521","46.555","30.19","91.4","6.2","2.845","7.84","7.34","1.58","6.37","",""
2025-10-01,"19:30","26.532","46.436","30.1","91","6.17","2.814","7.84","7.05","1.65","6.65","",""
2025-10-01,"19:45","26.53","46.627","30.24","89.8","6.09","2.781","7.84","6.95","1.56","6.32","",""
2025-10-01,"20:00","26.536","46.979","30.49","89.7","6.07","2.749","7.85","6.84","1.36","5.49","",""
2025-10-01,"20:15","26.526","46.636","30.24","89.3","6.06","2.719","7.84","6.47","1.43","5.79","",""
2025-10-01,"20:30","26.53","46.592","30.21","84.3","5.72","2.687","7.83","5.35","1.1","4.46","",""
2025-10-01,"20:45","26.493","46.31","30.01","88.2","5.99","2.655","7.82","5.52","1.42","5.76","",""
2025-10-01,"21:00","26.502","46.367","30.05","74.3","5.04","2.625","7.77","5.96","0.89","3.61","",""
2025-10-01,"21:15","26.491","46.263","29.98","76.1","5.17","2.591","7.78","4.99","0.87","3.54","",""
2025-10-01,"21:30","26.473","46.24","29.96","84.5","5.74","2.562","7.81","5.23","1.36","5.48","",""
2025-10-01,"21:45","26.462","46.311","30.01","88.6","6.02","2.535","7.83","5.97","1.3","5.28","",""
2025-10-01,"22:00","26.452","46.419","30.09","90.4","6.14","2.511","7.83","5.7","1.47","5.94","",""
2025-10-01,"22:15","26.514","46.8","30.36","90.2","6.11","2.489","7.84","6.07","1.45","5.88","",""
2025-10-01,"22:30","26.496","47","30.51","89.5","6.06","2.474","7.83","5.62","1.43","5.8","",""
2025-10-01,"22:45","26.407","47.421","30.82","90.3","6.12","2.467","7.86","6.53","1.47","5.95","",""
2025-10-01,"23:00","26.427","47.536","30.9","91.3","6.18","2.473","7.87","6.64","1.46","5.89","",""
2025-10-01,"23:15","26.456","47.926","31.18","90.7","6.13","2.49","7.88","8.36","1.47","5.94","",""
2025-10-01,"23:30","26.542","48.211","31.39","91.6","6.17","2.512","7.89","10.05","1.54","6.24","",""
2025-10-01,"23:45","26.599","49.465","32.31","93.3","6.25","2.535","7.96","9.9","1.34","5.41","",""
2025-10-02,"0:00","26.709","49.745","32.51","97.3","6.5","2.57","8.01","12.21","1.42","5.76","",""
2025-10-02,"0:15","26.706","49.634","32.43","97.4","6.5","2.598","8.01","20.6","1.91","7.73","",""
2025-10-02,"0:30","26.739","49.757","32.52","97","6.47","2.632","8.01","14.48","1.53","6.17","",""
2025-10-02,"0:45","26.729","49.754","32.51","97.1","6.48","2.672","8.01","17.03","1.78","7.2","",""
