"Date","Time","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","Level","F_Level","pH","F_pH","Turb","F_Turb","ChlorophyllRFU","ChlFluor","F_ChlFluor","fDOMQSU","fDOMRFU"
2025-10-01,"0:00","","26.373","0","13.331","0","7.66","0","52.2","0","4.03","0","0.525","0","6.82","0","10.57","0","2.96","11.99","0","130.87","43.44"
2025-10-01,"0:15","","26.329","0","12.52","0","7.16","0","51.6","0","4","0","0.516","0","6.8","0","10.61","0","3.01","12.17","0","131.3","43.59"
2025-10-01,"0:30","","26.289","0","11.841","0","6.74","0","51","0","3.96","0","0.509","0","6.79","0","9.13","0","3","12.13","0","132.28","43.91"
2025-10-01,"0:45","","26.237","0","10.873","0","6.15","0","50.4","0","3.94","0","0.51","0","6.78","0","8.33","0","3.03","12.27","0","133.22","44.23"
2025-10-01,"1:00","","26.272","0","11.354","0","6.44","0","49.4","0","3.85","0","0.512","0","6.77","0","8.91","0","3.02","12.22","0","133.13","44.19"
2025-10-01,"1:15","","26.275","0","11.546","0","6.56","0","48.7","0","3.79","0","0.519","0","6.76","0","7.73","0","3.01","12.17","0","133.32","44.26"
2025-10-01,"1:30","","26.273","0","11.683","0","6.64","0","47.2","0","3.67","0","0.528","0","6.77","0","6.46","0","2.95","11.93","0","132.82","44.09"
2025-10-01,"1:45","","26.299","0","12.795","0","7.33","0","49.1","0","3.8","0","0.539","0","6.77","0","7.35","0","2.98","12.07","0","133.02","44.16"
2025-10-01,"2:00","","26.286","0","13.101","0","7.52","0","49.6","0","3.83","0","0.549","0","6.78","0","7.04","0","2.94","11.9","0","132.78","44.08"
2025-10-01,"2:15","","26.307","0","13.445","0","7.73","0","49.3","0","3.81","0","0.559","0","6.77","0","7.02","0","2.9","11.75","0","132.86","44.11"
2025-10-01,"2:30","","26.392","0","16.705","0","9.78","0","48.8","0","3.72","0","0.571","0","6.81","0","7.02","0","2.74","11.11","0","130.13","43.2"
2025-10-01,"2:45","","26.391","0","17.817","0","10.49","0","49.4","0","3.75","0","0.58","0","6.82","0","7.27","0","2.7","10.92","0","128.9","42.79"
2025-10-01,"3:00","","26.419","0","19.143","0","11.34","0","50.4","0","3.81","0","0.592","0","6.84","0","6.9","0","2.62","10.62","0","127.84","42.44"
2025-10-01,"3:15","","26.467","0","20.478","0","12.21","0","51.3","0","3.85","0","0.605","0","6.88","0","7.32","0","2.58","10.46","0","126.29","41.92"
2025-10-01,"3:30","","26.483","0","20.846","0","12.45","0","51.8","0","3.89","0","0.618","0","6.89","0","6.76","0","2.56","10.36","0","126.26","41.91"
