"Date","Time","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","Depth","F_Depth","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor","fDOMQSU","fDOMRFU"
2025-04-01,"00:00","","22.707","0","48.196","0","31.46","0","81.9","0","5.89","0","3.896","0","7.75","0","6.56","0","1.08","0","34.26","11.49"
2025-04-01,"00:15","","22.7","0","48.276","0","31.52","0","78","0","5.61","0","3.88","0","7.72","0","4.44","0","0.78","0","34.34","11.52"
2025-04-01,"00:30","","22.711","0","48.257","0","31.5","0","65.8","0","4.73","0","3.844","0","7.68","0","2.88","0","0.61","0","31.39","10.53"
2025-04-01,"00:45","","22.725","0","47.466","0","30.93","0","67.2","0","4.85","0","3.799","0","7.74","0","3.37","0","0.83","0","31.66","10.62"
2025-04-01,"01:00","","22.7","0","48.298","0","31.53","0","84.2","0","6.06","0","3.738","0","7.73","0","4.65","0","1.2","0","33.78","11.33"
2025-04-01,"01:15","","22.745","0","47.869","0","31.22","0","84.9","0","6.11","0","3.674","0","7.75","0","6.98","0","1.18","0","35.83","12.02"
2025-04-01,"01:30","","22.786","0","47.45","0","30.91","0","84.8","0","6.11","0","3.613","0","7.73","0","7.4","0","1.23","0","37.69","12.64"
2025-04-01,"01:45","","22.895","0","46.466","0","30.2","0","83.6","0","6.04","0","3.541","0","7.7","0","9.53","0","1.33","0","42.02","14.08"
2025-04-01,"02:00","","22.967","0","45.698","0","29.64","0","82.5","0","5.97","0","3.467","0","7.67","0","10.31","0","1.32","0","45.78","15.34"
2025-04-01,"02:15","","23.046","0","44.685","0","28.91","0","82","0","5.95","0","3.388","0","7.64","0","10.65","0","1.33","0","50.96","17.06"
2025-04-01,"02:30","","23.086","0","44.114","0","28.49","0","81.2","0","5.9","0","3.307","0","7.62","0","11.16","0","1.38","0","53.2","17.81"
2025-04-01,"02:45","","23.122","0","43.814","0","28.28","0","81.2","0","5.9","0","3.229","0","7.61","0","12.01","0","1.38","0","54.44","18.22"
2025-04-01,"03:00","","23.162","0","43.404","0","27.98","0","80.2","0","5.83","0","3.146","0","7.59","0","12.05","0","1.43","0","56.47","18.9"
2025-04-01,"03:15","","23.193","0","43.072","0","27.74","0","80.1","0","5.83","0","3.059","0","7.58","0","9.73","0","1.33","0","58.45","19.56"
2025-04-01,"03:30","","23.237","0","42.727","0","27.5","0","79.4","0","5.78","0","2.964","0","7.57","0","10.05","0","1.3","0","59.87","20.03"
2025-04-01,"03:45","","23.268","0","42.33","0","27.21","0","78.9","0","5.75","0","2.862","0","7.55","0","11.79","0","1.38","0","61.14","20.46"
