"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Depth","pH","Turb","ChlFluor","fDOMQSU","fDOMRFU"
2025-04-01,"00:00","22.707","48.196","31.46","81.9","5.89","3.896","7.75","6.56","1.08","34.26","11.49"
2025-04-01,"00:15","22.7","48.276","31.52","78","5.61","3.88","7.72","4.44","0.78","34.34","11.52"
2025-04-01,"00:30","22.711","48.257","31.5","65.8","4.73","3.844","7.68","2.88","0.61","31.39","10.53"
2025-04-01,"00:45","22.725","47.466","30.93","67.2","4.85","3.799","7.74","3.37","0.83","31.66","10.62"
2025-04-01,"01:00","22.7","48.298","31.53","84.2","6.06","3.738","7.73","4.65","1.2","33.78","11.33"
2025-04-01,"01:15","22.745","47.869","31.22","84.9","6.11","3.674","7.75","6.98","1.18","35.83","12.02"
2025-04-01,"01:30","22.786","47.45","30.91","84.8","6.11","3.613","7.73","7.4","1.23","37.69","12.64"
2025-04-01,"01:45","22.895","46.466","30.2","83.6","6.04","3.541","7.7","9.53","1.33","42.02","14.08"
2025-04-01,"02:00","22.967","45.698","29.64","82.5","5.97","3.467","7.67","10.31","1.32","45.78","15.34"
2025-04-01,"02:15","23.046","44.685","28.91","82","5.95","3.388","7.64","10.65","1.33","50.96","17.06"
2025-04-01,"02:30","23.086","44.114","28.49","81.2","5.9","3.307","7.62","11.16","1.38","53.2","17.81"
2025-04-01,"02:45","23.122","43.814","28.28","81.2","5.9","3.229","7.61","12.01","1.38","54.44","18.22"
2025-04-01,"03:00","23.162","43.404","27.98","80.2","5.83","3.146","7.59","12.05","1.43","56.47","18.9"
2025-04-01,"03:15","23.193","43.072","27.74","80.1","5.83","3.059","7.58","9.73","1.33","58.45","19.56"
2025-04-01,"03:30","23.237","42.727","27.5","79.4","5.78","2.964","7.57","10.05","1.3","59.87","20.03"
2025-04-01,"03:45","23.268","42.33","27.21","78.9","5.75","2.862","7.55","11.79","1.38","61.14","20.46"
2025-04-01,"04:00","23.308","41.919","26.92","77.8","5.68","2.756","7.53","13.88","1.43","62.42","20.89"
2025-04-01,"04:15","23.304","41.629","26.71","77","5.63","2.652","7.52","13.17","1.42","63.9","21.38"
2025-04-01,"04:30","23.321","41.374","26.53","76.4","5.6","2.537","7.51","11.67","1.44","65.23","21.82"
2025-04-01,"04:45","23.307","41.165","26.38","74.8","5.48","2.426","7.49","13.9","1.48","66.12","22.12"
2025-04-01,"05:00","23.298","40.939","26.22","73.6","5.4","2.318","7.47","13.32","1.44","67.31","22.52"
2025-04-01,"05:15","23.307","40.736","26.07","72.7","5.34","2.223","7.45","13.86","1.44","67.92","22.72"
2025-04-01,"05:30","23.288","40.577","25.96","71.6","5.26","2.136","7.44","11.69","1.38","69.89","23.38"
