"Date","Time","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","Depth","F_Depth","pH","F_pH","Turb","F_Turb","ChlorophyllRFU","ChlFluor","F_ChlFluor","fDOMQSU","fDOMRFU"
2025-10-01,"0:00","","26.938","0","30.619","0","18.96","0","74","0","5.31","0","3.438","0","7.48","0","5.66","0","","6.99","0","108.28","36.02"
2025-10-01,"0:15","","27.006","0","32.606","0","20.32","0","77.4","0","5.5","0","3.466","0","7.53","0","8.72","0","","6.74","0","103.95","34.57"
2025-10-01,"0:30","","27.026","0","32.552","0","20.28","0","78","0","5.55","0","3.502","0","7.54","0","10.15","0","","6.74","0","103.66","34.48"
2025-10-01,"0:45","","27.065","0","32.212","0","20.05","0","78","0","5.55","0","3.543","0","7.53","0","14.25","0","","6.84","0","102.48","34.08"
2025-10-01,"1:00","","27.079","0","32.163","0","20.01","0","77.4","0","5.5","0","3.59","0","7.53","0","15.17","0","","6.78","0","102.34","34.04"
2025-10-01,"1:15","","27.058","0","32.161","0","20.01","0","76.5","0","5.44","0","3.636","0","7.51","0","8.61","0","","6.22","0","105.69","35.15"
2025-10-01,"1:30","","27.072","0","32.581","0","20.3","0","77.2","0","5.49","0","3.678","0","7.53","0","6.36","0","","6.87","0","105.99","35.26"
2025-10-01,"1:45","","27.018","0","33.002","0","20.59","0","77.2","0","5.48","0","3.719","0","7.53","0","5.7","0","","5.92","0","105.49","35.09"
2025-10-01,"2:00","","26.962","0","33.293","0","20.79","0","76.9","0","5.46","0","3.759","0","7.53","0","6.04","0","","5.94","0","104.85","34.87"
2025-10-01,"2:15","","26.966","0","33.575","0","20.99","0","76.5","0","5.42","0","3.793","0","7.53","0","8.49","0","","6.07","0","102.83","34.2"
2025-10-01,"2:30","","27.002","0","33.994","0","21.27","0","76.6","0","5.42","0","3.826","0","7.54","0","9.08","0","","6.06","0","101.02","33.6"
2025-10-01,"2:45","","27.048","0","34.369","0","21.53","0","77.4","0","5.46","0","3.854","0","7.56","0","7.39","0","","5.79","0","100.66","33.48"
