"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Depth","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-07-01,"0:00","23.885","54.159","35.84","96.3","6.61","5.713","7.98","9.19","2.44","10.06","4.91","1.83"
2025-07-01,"0:15","23.426","54.222","35.89","96.8","6.7","5.745","8.01","9.48","2.53","10.43","3.76","1.45"
2025-07-01,"0:30","23.093","54.279","35.94","97.1","6.76","5.758","8.02","8.16","3.22","13.21","2.98","1.19"
2025-07-01,"0:45","22.941","54.318","35.97","97.3","6.79","5.753","8.03","8.81","3.11","12.75","2.74","1.11"
2025-07-01,"1:00","22.866","54.33","35.98","97.6","6.82","5.747","8.04","7.75","1.87","7.76","2.64","1.07"
2025-07-01,"1:15","22.787","54.357","36","96.4","6.75","5.706","8.04","2.52","2.03","8.4","2.44","1.01"
2025-07-01,"1:30","22.867","54.354","36","95.7","6.69","5.661","8.03","4.52","2","8.28","2.67","1.09"
2025-07-01,"1:45","23.754","54.161","35.84","94.2","6.49","5.633","7.99","9.26","3.62","14.83","4.74","1.77"
2025-07-01,"2:00","24.054","54.085","35.78","91.8","6.29","5.617","7.96","3.86","2.74","11.28","6.08","2.22"
2025-07-01,"2:15","24.184","54.049","35.75","91.2","6.23","5.564","7.96","4.52","2.09","8.64","6.09","2.22"
2025-07-01,"2:30","24.585","53.963","35.68","89.1","6.05","5.501","7.93","6.42","1.52","6.34","7.53","2.7"
2025-07-01,"2:45","24.942","53.85","35.58","86.3","5.83","5.436","7.9","5.12","1.86","7.69","8.91","3.16"
2025-07-01,"3:00","25.399","53.714","35.47","80.1","5.37","5.354","7.84","7.32","1.65","6.87","11.31","3.96"
2025-07-01,"3:15","25.811","53.583","35.36","78.4","5.23","5.27","7.81","8.01","1.44","6.01","12.74","4.44"
2025-07-01,"3:30","26","53.589","35.36","75.4","5.01","5.194","7.78","8.23","1.42","5.93","13.66","4.74"
2025-07-01,"3:45","26.499","53.408","35.22","76.3","5.03","5.13","7.77","8.59","1.32","5.53","14.63","5.07"
2025-07-01,"4:00","26.359","53.394","35.21","72.5","4.79","5.053","7.75","9.47","1.31","5.49","15.24","5.27"
2025-07-01,"4:15","26.583","53.309","35.14","71.3","4.7","4.971","7.73","9","1.12","4.71","16.21","5.6"
2025-07-01,"4:30","26.944","53.196","35.05","70.7","4.63","4.906","7.71","9.68","1.13","4.76","17.4","5.99"
2025-07-01,"4:45","27.267","53.103","34.97","69.9","4.56","4.866","7.69","9.24","1.15","4.86","18.65","6.41"
2025-07-01,"5:00","27.421","53.034","34.91","67.2","4.37","4.812","7.67","10.05","1.09","4.59","20.11","6.89"
2025-07-01,"5:15","27.35","52.957","34.86","65.4","4.26","4.736","7.66","10.69","1.15","4.83","20.59","7.05"
2025-07-01,"5:30","27.561","52.875","34.79","63.8","4.15","4.681","7.63","10.76","1.11","4.7","22.1","7.56"
2025-07-01,"5:45","27.379","52.896","34.81","65.6","4.28","4.634","7.65","9.97","1.21","5.09","21.26","7.28"
2025-07-01,"6:00","27.74","52.715","34.67","61.2","3.97","4.599","7.6","10.6","1.11","4.69","23.93","8.17"
2025-07-01,"6:15","27.642","52.712","34.67","61.6","4","4.563","7.61","8.29","1.02","4.31","23.87","8.15"
2025-07-01,"6:30","27.668","52.637","34.61","59.2","3.85","4.536","7.59","8.65","1.03","4.37","24.52","8.36"
2025-07-01,"6:45","27.732","52.584","34.57","56.6","3.67","4.508","7.58","11.15","0.93","3.94","25.56","8.71"
2025-07-01,"7:00","27.706","52.553","34.55","55.3","3.59","4.482","7.57","10.44","1.08","4.58","24.87","8.48"
2025-07-01,"7:15","27.753","52.583","34.57","56.9","3.69","4.469","7.57","8.39","1.24","5.19","24.6","8.39"
2025-07-01,"7:30","27.776","52.609","34.59","57.1","3.7","4.455","7.58","7.01","0.92","3.93","24.12","8.23"
2025-07-01,"7:45","27.778","52.642","34.61","59.5","3.85","4.469","7.58","7.03","0.93","3.96","24.81","8.46"
2025-07-01,"8:00","27.826","52.706","34.66","60.7","3.93","4.517","7.61","9.81","1.16","4.86","23.3","7.96"
2025-07-01,"8:15","28.004","52.811","34.73","69.7","4.5","4.575","7.65","7.93","2.7","11.1","20.82","7.13"
2025-07-01,"8:30","28.016","52.885","34.78","71.7","4.62","4.625","7.66","8.44","1.35","5.64","20.2","6.93"
2025-07-01,"8:45","27.879","52.909","34.81","72","4.65","4.662","7.66","9.95","1.26","5.28","19.92","6.83"
2025-07-01,"9:00","27.834","52.97","34.85","72.1","4.66","4.723","7.67","9.23","1.3","5.45","19.68","6.75"
2025-07-01,"9:15","27.711","52.982","34.87","72.4","4.69","4.797","7.68","10.67","1.31","5.48","19.15","6.57"
2025-07-01,"9:30","27.737","52.996","34.87","72.9","4.72","4.873","7.68","7.93","1.32","5.54","19.63","6.74"
2025-07-01,"9:45","27.646","53.004","34.88","74","4.8","4.945","7.69","11.3","1.33","5.57","19.31","6.63"
2025-07-01,"10:00","27.669","53.026","34.9","77.5","5.03","5.013","7.7","7.01","1.38","5.79","18.64","6.4"
2025-07-01,"10:15","27.46","53.15","35","79.2","5.15","5.09","7.72","6.55","2.6","10.69","17.55","6.04"
2025-07-01,"10:30","27.261","53.221","35.06","81.3","5.3","5.159","7.74","6.89","1.39","5.82","16.28","5.62"
2025-07-01,"10:45","27.005","53.309","35.13","81.6","5.34","5.217","7.76","7.81","1.37","5.71","15.29","5.29"
2025-07-01,"11:00","26.66","53.368","35.18","78.8","5.19","5.285","7.77","12.32","1.42","5.95","14.34","4.97"
2025-07-01,"11:15","26.541","53.433","35.23","81","5.34","5.352","7.79","11.37","1.65","6.88","13.46","4.68"
2025-07-01,"11:30","25.978","53.58","35.36","85.3","5.67","5.412","7.83","13.38","2.41","9.92","11.41","4"
2025-07-01,"11:45","25.415","53.707","35.47","87.8","5.89","5.468","7.87","10.56","2.08","8.6","9.59","3.39"
2025-07-01,"12:00","24.775","53.919","35.64","92.7","6.28","5.515","7.91","10.48","2.48","10.22","7.85","2.81"
2025-07-01,"12:15","24.371","54.028","35.73","94.3","6.43","5.553","7.94","10.61","1.97","8.17","6.4","2.33"
2025-07-01,"12:30","23.809","54.193","35.86","97","6.67","5.575","7.98","12.04","2.36","9.74","4.94","1.84"
2025-07-01,"12:45","23.388","54.297","35.95","97","6.72","5.601","8","11.63","2.54","10.45","3.74","1.44"
