"DeploymentDateTime","RetrievalDateTime","DatasondeModelNumber","pH.Model.Number","roxDO.Model.Number","Turb.Model.Number","Cond.Model.Number","Chloro.Model.Number"
"01/14/2025, 11:15","02/11/2025, 17:00","EXO2 (Egret) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"02/11/2025, 17:15","03/04/2025, 13:00","EXO2 (Barbossa) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"03/04/2025, 13:15","03/26/2025, 07:45","EXO2 (Egret) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"03/26/2025, 08:00","04/09/2025, 07:30","EXO2 (Barbossa) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"04/09/2025, 07:45","05/02/2025, 10:00","EXO2 (Egret) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"05/02/2025, 10:15","05/13/2025, 12:00","EXO2 (Barbossa) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"05/13/2025, 12:15","05/28/2025, 10:30","EXO2 (Egret) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"05/28/2025, 10:45","06/10/2025, 09:15","EXO2 (Barbossa) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"06/10/2025, 09:30","06/26/2025, 12:30","EXO2 (Egret) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"06/26/2025, 12:45","07/09/2025, 12:15","EXO2 (Barbossa) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"07/09/2025, 12:30","07/25/2025, 10:00","EXO2 (Egret) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"07/25/2025, 10:15","08/06/2025, 07:30","EXO2 (Barbossa) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"08/06/2025, 07:45","08/21/2025, 10:45","EXO2 (Egret) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"08/21/2025, 11:00","09/08/2025, 09:45","EXO2 (Barbossa) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"09/08/2025, 10:00","09/25/2025, 12:45","EXO2 (Egret) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"09/25/2025, 13:00","10/07/2025, 10:00","EXO2 (Barbossa) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"10/07/2025, 10:15","10/23/2025, 11:15","EXO2 (Egret) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"10/23/2025, 11:30","11/05/2025, 09:30","EXO2 (Barbossa) 599090-01","599702","599100-01","599101-01","599827","599103-01"
"11/05/2025, 09:45","12/03/2025, 08:15","EXO2 (Egret) 599090-01","577602","599100-01","599101-01","599827","599103-01"
