"DeploymentDateTime","RetrievalDateTime","DatasondeModelNumber","pH.Model.Number","roxDO.Model.Number","Turb.Model.Number","Cond.Model.Number","Chloro.Model.Number"
"01/14/2025, 14:00","02/11/2025, 11:45","EXO2 (Irma) 599090-01","599701","599100-01","599101-01","599827","599103-01"
"02/11/2025, 12:00","03/04/2025, 11:00","EXO2 (Matthew) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"03/04/2025, 11:15","03/26/2025, 10:30","EXO2 (Irma) 599090-01","599701","599100-01","599101-01","599827","599103-01"
"03/26/2025, 10:45","04/09/2025, 10:30","EXO2 (Matthew) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"04/09/2025, 10:45","05/02/2025, 12:30","EXO2 (Irma) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"05/02/2025, 12:45","05/13/2025, 09:00","EXO2 (Matthew) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"05/13/2025, 09:15","05/28/2025, 12:45","EXO2 (Irma) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"05/28/2025, 13:00","06/10/2025, 12:00","EXO2 (Matthew) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"06/10/2025, 12:15","06/26/2025, 09:45","EXO2 (Megalops) 599090-01","599701","599100-01","599101-01","599827","599103-01"
"06/26/2025, 10:00","07/09/2025, 09:45","EXO2 (Matthew) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"07/09/2025, 10:00","07/25/2025, 11:45","EXO2 (Irma) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"07/25/2025, 12:00","08/06/2025, 10:00","EXO2 (Matthew) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"08/06/2025, 10:15","08/21/2025, 13:15","EXO2 (Irma) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"08/21/2025, 13:30","09/08/2025, 12:00","EXO2 (Matthew) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"09/08/2025, 12:15","09/25/2025, 10:45","EXO2 (Irma) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"09/25/2025, 11:00","10/07/2025, 12:45","EXO2 (Matthew) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"10/07/2025, 13:00","10/23/2025, 14:30","EXO2 (Irma) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"10/23/2025, 14:45","11/05/2025, 12:15","EXO2 (Matthew) 599090-01","577602","599100-01","599101-01","599827","599103-01"
"11/05/2025, 12:30",", ","EXO2 (Irma) 599090-01","577602","599100-01","599101-01","599827","599103-01"
